This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0day00:00:00,4.8800,1.7201,0.0233,0.0048,1.68,1.50
0day00:00:10,4.9400,1.5098,0.0440,0.0090,3.18,2.82
0day00:00:20,4.9190,1.4990,0.0645,0.0131,4.66,4.13
0day00:00:30,4.9370,1.4981,0.0851,0.0173,6.14,5.44
0day00:00:40,4.9380,1.4983,0.1056,0.0215,7.63,6.75
0day00:00:50,4.9390,1.4974,0.1262,0.0256,9.11,8.06
0day00:01:00,2.7890,0.9838,0.1338,0.0284,9.66,8.92
0day00:01:10,2.6650,0.6868,0.1389,0.0303,10.03,9.52
0day00:01:20,3.9220,1.4898,0.1551,0.0344,11.20,10.82
0day00:01:30,4.9450,1.4979,0.1757,0.0386,12.68,12.13
0day00:01:40,4.9430,1.4974,0.1962,0.0427,14.17,13.44
0day00:01:50,4.9430,1.4987,0.2168,0.0469,15.66,14.75
0day00:02:00,4.9440,1.4982,0.2374,0.0510,17.14,16.06
0day00:02:10,4.9310,1.4982,0.2579,0.0552,18.62,17.37
0day00:02:20,4.9120,1.4990,0.2784,0.0594,20.10,18.68
0day00:02:30,4.8960,1.4975,0.2987,0.0635,21.57,19.99
0day00:02:40,4.8800,1.4990,0.3190,0.0677,23.04,21.30
0day00:02:50,4.8690,1.4988,0.3393,0.0719,24.50,22.61
0day00:03:00,4.8570,1.4971,0.3595,0.0760,25.96,23.92
0day00:03:10,4.8360,1.4971,0.3796,0.0802,27.41,25.23
0day00:03:20,4.4500,1.4958,0.3981,0.0843,28.75,26.54
0day00:03:30,4.2880,1.4945,0.4159,0.0885,30.03,27.84
0day00:03:40,4.8690,1.4957,0.4361,0.0926,31.49,29.15
0day00:03:50,4.7720,1.4985,0.4560,0.0968,32.93,30.46
0day00:04:00,4.8340,1.4966,0.4761,0.1010,34.38,31.77
0day00:04:10,4.8260,1.4965,0.4962,0.1051,35.83,33.08
0day00:04:20,4.8220,1.4983,0.5162,0.1093,37.28,34.39
