This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0day00:00:00,4.6410,1.9902,0.0257,0.0055,100.00,2.58
0day00:00:10,0.0000,0.2577,0.0257,0.0062,100.00,2.92
0day00:00:20,0.0000,0.2396,0.0257,0.0069,100.00,3.23
0day00:00:30,0.0000,0.2468,0.0257,0.0076,100.00,3.55
0day00:00:40,0.0000,0.1926,0.0257,0.0081,100.00,3.80
0day00:00:50,0.0000,0.2234,0.0257,0.0088,100.00,4.09
0day00:01:00,0.0000,0.2014,0.0257,0.0093,100.00,4.35
0day00:01:10,0.0000,0.1865,0.0257,0.0098,100.00,4.59
0day00:01:20,0.0000,0.1981,0.0257,0.0104,100.00,4.85
0day00:01:30,0.0000,0.2187,0.0257,0.0110,100.00,5.13
0day00:01:40,0.0000,0.1869,0.0257,0.0115,100.00,5.37
0day00:01:50,0.0000,0.1823,0.0257,0.0120,100.00,5.61
0day00:02:00,0.0000,0.1921,0.0257,0.0125,100.00,5.86
0day00:02:10,0.0000,0.2490,0.0257,0.0132,100.00,6.18
0day00:02:20,0.0000,0.2283,0.0257,0.0139,100.00,6.48
0day00:02:30,0.0000,0.2616,0.0257,0.0146,100.00,6.82
0day00:02:40,0.0000,0.1232,0.0257,0.0149,100.00,6.98
0day00:02:50,0.0000,0.3132,0.0257,0.0158,100.00,7.39
0day00:03:00,0.0000,0.1420,0.0257,0.0162,100.00,7.57
0day00:03:10,0.0000,0.1084,0.0257,0.0165,100.00,7.71
0day00:03:20,0.0000,0.2681,0.0257,0.0173,100.00,8.06
0day00:03:30,0.0000,0.2255,0.0257,0.0179,100.00,8.35
0day00:03:40,0.0000,0.2196,0.0257,0.0185,100.00,8.64
0day00:03:50,0.0000,0.3300,0.0257,0.0194,100.00,9.06
0day00:04:00,0.0000,0.0001,0.0257,0.0194,100.00,9.06
0day00:04:10,0.0000,0.0002,0.0257,0.0194,100.00,9.06
0day00:04:20,0.0000,0.0086,0.0257,0.0194,100.00,9.08
0day00:04:30,0.0000,0.2650,0.0257,0.0202,100.00,9.42
0day00:04:40,0.0000,0.1892,0.0257,0.0207,100.00,9.67
0day00:04:50,0.0000,0.0882,0.0257,0.0209,100.00,9.78
0day00:05:00,0.0000,0.1177,0.0257,0.0213,100.00,9.93
0day00:05:10,0.0000,0.1371,0.0257,0.0216,100.00,10.11
0day00:05:20,0.0000,0.1887,0.0257,0.0222,100.00,10.36
0day00:05:30,0.0000,0.1809,0.0257,0.0227,100.00,10.59
0day00:05:40,0.0000,0.1691,0.0257,0.0231,100.00,10.81
0day00:05:50,0.0000,0.2111,0.0257,0.0237,100.00,11.08
0day00:06:00,0.0000,0.1918,0.0257,0.0243,100.00,11.33
0day00:06:10,0.0000,0.1756,0.0257,0.0247,100.00,11.56
0day00:06:20,0.0000,0.2275,0.0257,0.0254,100.00,11.86
0day00:06:30,0.0000,0.1602,0.0257,0.0258,100.00,12.06
0day00:06:40,0.0000,0.1391,0.0257,0.0262,100.00,12.24
0day00:06:50,0.0000,0.1767,0.0257,0.0267,100.00,12.47
0day00:07:00,0.0000,0.1990,0.0257,0.0273,100.00,12.73
0day00:07:10,0.0000,0.1572,0.0257,0.0277,100.00,12.94
0day00:07:20,0.0000,0.2030,0.0257,0.0283,100.00,13.20
0day00:07:30,0.0000,0.1827,0.0257,0.0288,100.00,13.44
0day00:07:40,0.0000,0.1434,0.0257,0.0292,100.00,13.62
0day00:07:50,0.0000,0.2153,0.0257,0.0298,100.00,13.90
