This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0day00:00:00,5.2230,0.0092,0.0001,0.0000,0.00,0.00
0day00:00:10,5.2220,0.0090,0.0003,0.0001,0.01,0.00
0day00:00:20,5.1580,0.1340,0.0022,0.0004,0.07,0.04
0day00:00:30,4.7790,1.6471,0.0240,0.0050,0.78,0.45
0day00:00:40,5.2230,0.0091,0.0242,0.0050,0.78,0.45
0day00:00:50,5.1610,0.2621,0.0279,0.0058,0.90,0.52
0day00:01:00,5.2220,0.0091,0.0281,0.0058,0.91,0.52
0day00:01:10,5.1870,0.1487,0.0302,0.0062,0.98,0.56
0day00:01:20,5.2090,0.1279,0.0321,0.0065,1.04,0.59
0day00:01:30,5.2080,0.0389,0.0326,0.0067,1.06,0.60
0day00:01:40,4.7920,1.4711,0.0522,0.0107,1.69,0.96
0day00:01:50,5.2230,0.0092,0.0523,0.0108,1.69,0.97
0day00:02:00,5.1260,0.0091,0.0525,0.0108,1.70,0.97
0day00:02:10,5.1070,0.0092,0.0526,0.0108,1.70,0.97
0day00:02:20,5.1160,0.0091,0.0527,0.0108,1.71,0.97
0day00:02:30,4.8220,1.3324,0.0706,0.0145,2.28,1.31
0day00:02:40,5.0650,0.6157,0.0792,0.0163,2.57,1.46
0day00:02:50,5.2230,0.0092,0.0794,0.0163,2.57,1.46
0day00:03:00,5.1580,0.0091,0.0795,0.0163,2.57,1.46
0day00:03:10,4.8800,1.2835,0.0969,0.0199,3.14,1.78
0day00:03:20,5.2230,0.0091,0.0970,0.0199,3.14,1.79
0day00:03:30,5.2230,0.0091,0.0972,0.0199,3.15,1.79
0day00:03:40,5.2230,0.0092,0.0973,0.0199,3.15,1.79
0day00:03:50,5.0740,0.1479,0.0994,0.0204,3.22,1.83
0day00:04:00,5.2230,0.0092,0.0995,0.0204,3.22,1.83
0day00:04:10,5.2100,0.0363,0.1000,0.0205,3.24,1.84
0day00:04:20,4.8700,1.2754,0.1173,0.0240,3.80,2.16
0day00:04:30,4.8880,0.8616,0.1290,0.0264,4.18,2.37
0day00:04:40,3.1070,0.9194,0.1369,0.0290,4.43,2.60
0day00:04:50,2.9030,0.8802,0.1440,0.0314,4.66,2.82
0day00:05:00,2.8140,0.8409,0.1506,0.0338,4.88,3.03
0day00:05:10,2.7770,0.8350,0.1570,0.0361,5.08,3.24
0day00:05:20,2.7880,0.8358,0.1635,0.0384,5.29,3.45
0day00:05:30,2.8970,0.8879,0.1707,0.0409,5.52,3.67
0day00:05:40,5.2200,0.0092,0.1708,0.0409,5.53,3.67
0day00:05:50,5.1100,0.1108,0.1724,0.0412,5.58,3.70
0day00:06:00,4.7770,1.3301,0.1900,0.0449,6.15,4.03
0day00:06:10,5.1060,0.0092,0.1901,0.0449,6.16,4.03
0day00:06:20,3.3060,1.0328,0.1996,0.0478,6.46,4.29
0day00:06:30,5.2090,0.0621,0.2005,0.0480,6.49,4.30
0day00:06:40,4.9200,1.1441,0.2162,0.0511,7.00,4.59
0day00:06:50,5.2210,0.0092,0.2163,0.0512,7.00,4.59
0day00:07:00,5.1680,0.0092,0.2164,0.0512,7.01,4.59
0day00:07:10,3.5410,1.0525,0.2268,0.0541,7.34,4.86
0day00:07:20,5.2230,0.0092,0.2269,0.0541,7.35,4.86
0day00:07:30,4.9630,0.9649,0.2402,0.0568,7.78,5.10
0day00:07:40,5.2230,0.0091,0.2404,0.0568,7.78,5.10
0day00:07:50,4.9750,0.7021,0.2501,0.0588,8.09,5.28
0day00:08:00,5.1600,0.1964,0.2529,0.0593,8.19,5.33
0day00:08:10,5.2230,0.0092,0.2530,0.0594,8.19,5.33
0day00:08:20,4.9550,0.6061,0.2613,0.0610,8.46,5.48
0day00:08:30,5.2230,0.0092,0.2615,0.0611,8.46,5.48
0day00:08:40,5.1030,0.0092,0.2616,0.0611,8.47,5.48
0day00:08:50,4.9130,0.5679,0.2694,0.0627,8.72,5.63
0day00:09:00,5.1070,0.0091,0.2695,0.0627,8.72,5.63
0day00:09:10,4.7440,1.2819,0.2864,0.0663,9.27,5.95
0day00:09:20,5.2230,0.0092,0.2865,0.0663,9.28,5.95
0day00:09:30,5.1040,0.0831,0.2877,0.0665,9.31,5.97
0day00:09:40,5.2210,0.0091,0.2878,0.0665,9.32,5.97
0day00:09:50,5.1030,0.0091,0.2880,0.0666,9.32,5.97
0day00:10:00,4.7930,1.2259,0.3043,0.0700,9.85,6.28
0day00:10:10,5.2190,0.0093,0.3044,0.0700,9.85,6.28
0day00:10:20,5.2210,0.0091,0.3045,0.0700,9.86,6.28
0day00:10:30,5.2230,0.0092,0.3047,0.0700,9.86,6.29
0day00:10:40,5.1110,0.0092,0.3048,0.0701,9.87,6.29
0day00:10:50,4.8810,0.8411,0.3162,0.0724,10.24,6.50
0day00:11:00,4.8480,0.8178,0.3272,0.0747,10.59,6.70
0day00:11:10,5.1140,0.0091,0.3274,0.0747,10.60,6.71
0day00:11:20,5.0800,0.1291,0.3292,0.0751,10.66,6.74
0day00:11:30,5.2160,0.0091,0.3293,0.0751,10.66,6.74
0day00:11:40,5.1120,0.0092,0.3294,0.0751,10.66,6.74
0day00:11:50,2.9640,0.8009,0.3360,0.0773,10.88,6.94
0day00:12:00,5.1180,0.3525,0.3410,0.0783,11.04,7.03
0day00:12:10,3.3010,1.0028,0.3502,0.0811,11.34,7.28
0day00:12:20,2.7020,0.7057,0.3555,0.0831,11.51,7.46
0day00:12:30,2.8110,0.8152,0.3619,0.0853,11.72,7.66
0day00:12:40,2.6520,0.7036,0.3671,0.0873,11.88,7.83
0day00:12:50,2.3110,0.3004,0.3690,0.0881,11.95,7.91
0day00:13:00,2.2850,0.1988,0.3703,0.0887,11.99,7.96
0day00:13:10,2.2750,0.2188,0.3717,0.0893,12.03,8.01
0day00:13:20,2.2900,0.2548,0.3733,0.0900,12.08,8.08
0day00:13:30,2.4440,0.5492,0.3770,0.0915,12.20,8.21
0day00:13:40,2.3060,0.2747,0.3788,0.0923,12.26,8.28
0day00:13:50,2.3210,0.3337,0.3809,0.0932,12.33,8.37
0day00:14:00,2.5860,0.7349,0.3862,0.0952,12.50,8.55
0day00:14:10,2.4140,0.5279,0.3897,0.0967,12.62,8.68
0day00:14:20,2.6580,0.8203,0.3958,0.0990,12.81,8.88
0day00:14:30,2.7930,0.8807,0.4026,0.1014,13.03,9.10
0day00:14:40,2.6700,0.7378,0.4081,0.1035,13.21,9.29
0day00:14:50,4.6700,0.0090,0.4082,0.1035,13.21,9.29
0day00:15:00,2.8550,0.8531,0.4150,0.1059,13.43,9.50
0day00:15:10,4.6030,0.0091,0.4151,0.1059,13.44,9.51
0day00:15:20,2.5880,0.5902,0.4193,0.1075,13.58,9.65
0day00:15:30,3.1630,0.9628,0.4278,0.1102,13.85,9.89
0day00:15:40,2.4100,0.4551,0.4308,0.1115,13.95,10.01
0day00:15:50,2.2480,0.2196,0.4322,0.1121,13.99,10.06
