This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0day00:00:00,4.4370,2.0004,0.0247,0.0056,1.04,0.91
0day00:00:10,5.2970,0.0496,0.0254,0.0057,1.07,0.94
0day00:00:20,4.3780,2.0010,0.0497,0.0113,2.09,1.85
0day00:00:30,5.2980,0.1421,0.0518,0.0116,2.18,1.91
0day00:00:40,4.3100,2.0011,0.0758,0.0172,3.19,2.83
0day00:00:50,4.2870,1.9583,0.0991,0.0226,4.17,3.72
0day00:01:00,4.2320,2.0015,0.1226,0.0282,5.16,4.64
0day00:01:10,4.1660,2.0016,0.1458,0.0338,6.13,5.55
0day00:01:20,4.1800,2.0009,0.1690,0.0393,7.11,6.46
0day00:01:30,4.1760,2.0000,0.1922,0.0449,8.09,7.38
0day00:01:40,4.1820,2.0017,0.2155,0.0504,9.06,8.29
0day00:01:50,5.3060,0.0092,0.2156,0.0505,9.07,8.29
0day00:02:00,4.2580,1.9120,0.2382,0.0558,10.02,9.17
0day00:02:10,5.3070,0.0092,0.2384,0.0558,10.03,9.17
0day00:02:20,4.1240,1.9993,0.2613,0.0614,10.99,10.08
0day00:02:30,4.1120,1.9979,0.2841,0.0669,11.95,11.00
0day00:02:40,5.3050,0.0091,0.2842,0.0669,11.96,11.00
0day00:02:50,5.3040,0.0982,0.2857,0.0672,12.02,11.05
0day00:03:00,5.3040,0.0092,0.2858,0.0672,12.02,11.05
0day00:03:10,5.3050,0.0092,0.2859,0.0673,12.03,11.05
0day00:03:20,4.0950,1.9976,0.3086,0.0728,12.98,11.97
0day00:03:30,5.3040,0.0092,0.3088,0.0728,12.99,11.97
0day00:03:40,4.0720,2.0002,0.3314,0.0784,13.94,12.88
0day00:03:50,5.3050,0.0092,0.3315,0.0784,13.95,12.89
0day00:04:00,5.3060,0.0093,0.3317,0.0784,13.95,12.89
0day00:04:10,4.0870,1.9999,0.3544,0.0840,14.91,13.81
0day00:04:20,4.0600,2.0011,0.3770,0.0896,15.86,14.72
0day00:04:30,5.3040,0.0091,0.3771,0.0896,15.86,14.72
0day00:04:40,4.0300,1.9996,0.3995,0.0951,16.80,15.64
0day00:04:50,5.1110,0.6044,0.4081,0.0968,17.16,15.91
0day00:05:00,5.2730,0.1768,0.4106,0.0973,17.27,15.99
0day00:05:10,5.3030,0.0092,0.4108,0.0973,17.28,16.00
0day00:05:20,5.2980,0.0236,0.4111,0.0974,17.29,16.01
0day00:05:30,3.9650,2.0011,0.4332,0.1029,18.22,16.92
