This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0day00:00:00,4.9800,2.0030,0.0277,0.0056,0.28,0.20
0day00:00:10,5.3440,0.0092,0.0278,0.0056,0.29,0.20
0day00:00:20,3.2560,0.7430,0.0346,0.0077,0.35,0.27
0day00:00:30,4.1190,1.9931,0.0574,0.0132,0.59,0.47
0day00:00:40,4.9890,1.9995,0.0851,0.0187,0.87,0.66
0day00:00:50,4.9880,2.0016,0.1128,0.0243,1.16,0.86
0day00:01:00,3.8060,1.9752,0.1337,0.0298,1.37,1.05
0day00:01:10,3.9010,1.9969,0.1553,0.0353,1.59,1.25
0day00:01:20,3.8510,1.9903,0.1766,0.0409,1.81,1.44
0day00:01:30,3.5530,1.8497,0.1949,0.0460,2.00,1.62
0day00:01:40,3.5120,1.8308,0.2127,0.0511,2.18,1.80
0day00:01:50,3.8520,1.9875,0.2340,0.0566,2.40,2.00
0day00:02:00,4.0580,1.9953,0.2565,0.0622,2.63,2.19
0day00:02:10,4.3100,1.9998,0.2804,0.0677,2.87,2.39
0day00:02:20,4.5440,1.9992,0.3057,0.0733,3.13,2.58
0day00:02:30,4.4850,2.0002,0.3306,0.0788,3.39,2.78
0day00:02:40,4.5970,2.0002,0.3561,0.0844,3.65,2.98
0day00:02:50,4.6250,1.9996,0.3818,0.0899,3.91,3.17
0day00:03:00,4.6420,2.0006,0.4076,0.0955,4.18,3.37
0day00:03:10,4.7180,2.0007,0.4338,0.1010,4.44,3.56
0day00:03:20,4.7090,1.9998,0.4600,0.1066,4.71,3.76
0day00:03:30,4.6910,1.9999,0.4861,0.1122,4.98,3.95
0day00:03:40,4.7120,1.9995,0.5122,0.1177,5.25,4.15
0day00:03:50,4.6680,2.0008,0.5382,0.1233,5.51,4.35
0day00:04:00,4.6270,1.9992,0.5639,0.1288,5.78,4.54
0day00:04:10,4.4450,1.9994,0.5886,0.1344,6.03,4.74
0day00:04:20,4.4460,1.9993,0.6132,0.1399,6.28,4.93
0day00:04:30,3.8270,1.9880,0.6344,0.1454,6.50,5.13
0day00:04:40,3.7890,1.9714,0.6551,0.1509,6.71,5.32
0day00:04:50,3.7970,1.9731,0.6759,0.1564,6.92,5.51
0day00:05:00,3.7870,1.9689,0.6967,0.1619,7.14,5.71
0day00:05:10,3.8490,1.9959,0.7180,0.1674,7.35,5.90
0day00:05:20,3.9400,1.9995,0.7399,0.1730,7.58,6.10
0day00:05:30,3.8030,1.9762,0.7608,0.1785,7.79,6.29
0day00:05:40,3.7570,1.9538,0.7811,0.1839,8.00,6.48
0day00:05:50,3.7600,1.9587,0.8016,0.1893,8.21,6.68
0day00:06:00,3.7960,1.9745,0.8224,0.1948,8.42,6.87
0day00:06:10,3.8100,1.9823,0.8434,0.2003,8.64,7.06
0day00:06:20,3.8050,1.9825,0.8644,0.2058,8.85,7.26
0day00:06:30,3.8080,1.9819,0.8853,0.2113,9.07,7.45
0day00:06:40,3.7920,1.9761,0.9061,0.2168,9.28,7.65
0day00:06:50,3.7810,1.9676,0.9268,0.2223,9.49,7.84
0day00:07:00,3.7750,1.9666,0.9474,0.2278,9.70,8.03
0day00:07:10,3.7770,1.9680,0.9681,0.2332,9.92,8.22
0day00:07:20,3.7960,1.9794,0.9889,0.2387,10.13,8.42
0day00:07:30,3.8160,1.9873,1.0100,0.2442,10.34,8.61
0day00:07:40,3.7930,1.9762,1.0308,0.2497,10.56,8.81
0day00:07:50,3.7720,1.9642,1.0514,0.2552,10.77,9.00
0day00:08:00,3.7450,1.9510,1.0717,0.2606,10.98,9.19
0day00:08:10,3.7100,1.9302,1.0916,0.2660,11.18,9.38
0day00:08:20,3.6560,1.9022,1.1109,0.2712,11.38,9.56
0day00:08:30,3.6310,1.8904,1.1300,0.2765,11.57,9.75
0day00:08:40,3.6410,1.8946,1.1491,0.2818,11.77,9.94
0day00:08:50,3.6530,1.8998,1.1684,0.2870,11.97,10.12
0day00:09:00,3.6570,1.9102,1.1878,0.2923,12.17,10.31
0day00:09:10,3.6670,1.9038,1.2072,0.2976,12.36,10.49
0day00:09:20,3.6000,1.8765,1.2260,0.3028,12.56,10.68
0day00:09:30,3.5670,1.8606,1.2444,0.3080,12.75,10.86
0day00:09:40,3.5880,1.8711,1.2631,0.3132,12.94,11.04
0day00:09:50,3.6050,1.8742,1.2818,0.3184,13.13,11.23
0day00:10:00,3.5850,1.8675,1.3004,0.3236,13.32,11.41
0day00:10:10,3.5800,1.8617,1.3189,0.3288,13.51,11.59
0day00:10:20,3.5860,1.8649,1.3375,0.3340,13.70,11.78
0day00:10:30,3.5600,1.8523,1.3558,0.3391,13.89,11.96
0day00:10:40,3.5110,1.8275,1.3737,0.3442,14.07,12.14
0day00:10:50,3.4810,1.8114,1.3912,0.3492,14.25,12.31
0day00:11:00,3.4880,1.8234,1.4088,0.3543,14.43,12.49
0day00:11:10,3.5090,1.8318,1.4267,0.3594,14.61,12.67
0day00:11:20,3.4960,1.8179,1.4443,0.3644,14.79,12.85
0day00:11:30,3.5010,1.8209,1.4621,0.3695,14.97,13.03
0day00:11:40,3.4930,1.8241,1.4798,0.3745,15.16,13.21
