This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0day00:00:00,3.0250,2.2697,0.0191,0.0063,0.19,0.21
0day00:00:10,3.4920,2.6617,0.0449,0.0137,0.46,0.47
0day00:00:20,3.4340,2.6448,0.0701,0.0210,0.72,0.72
0day00:00:30,3.4370,2.6439,0.0954,0.0284,0.97,0.97
0day00:00:40,3.4340,2.6447,0.1206,0.0357,1.23,1.22
0day00:00:50,3.4360,2.6415,0.1458,0.0431,1.49,1.47
0day00:01:00,3.4300,2.6374,0.1709,0.0504,1.75,1.72
0day00:01:10,3.4300,2.6360,0.1960,0.0577,2.00,1.97
0day00:01:20,3.4250,2.6359,0.2211,0.0650,2.26,2.22
0day00:01:30,3.4180,2.6314,0.2461,0.0724,2.51,2.47
0day00:01:40,3.4130,2.6235,0.2710,0.0796,2.77,2.71
0day00:01:50,3.4080,2.6186,0.2958,0.0869,3.02,2.96
0day00:02:00,3.3950,2.6135,0.3204,0.0942,3.27,3.21
0day00:02:10,3.3900,2.6087,0.3450,0.1014,3.52,3.46
0day00:02:20,3.3780,2.6030,0.3694,0.1087,3.77,3.70
0day00:02:30,3.3750,2.5995,0.3938,0.1159,4.02,3.95
0day00:02:40,3.3620,2.5940,0.4180,0.1231,4.27,4.19
0day00:02:50,3.3600,2.5930,0.4422,0.1303,4.52,4.44
0day00:03:00,3.3570,2.5884,0.4663,0.1375,4.76,4.68
0day00:03:10,3.3540,2.5885,0.4905,0.1447,5.01,4.93
0day00:03:20,3.3500,2.5867,0.5145,0.1518,5.25,5.17
0day00:03:30,3.3510,2.5856,0.5386,0.1590,5.50,5.42
0day00:03:40,3.3510,2.5839,0.5626,0.1662,5.74,5.66
0day00:03:50,3.3530,2.5846,0.5867,0.1734,5.99,5.91
0day00:04:00,3.3490,2.5807,0.6107,0.1806,6.24,6.15
0day00:04:10,3.3510,2.5839,0.6348,0.1877,6.48,6.40
0day00:04:20,3.3600,2.5922,0.6590,0.1949,6.73,6.64
0day00:04:30,3.3590,2.5899,0.6831,0.2021,6.98,6.89
0day00:04:40,3.3590,2.5900,0.7073,0.2093,7.22,7.13
0day00:04:50,3.3600,2.5900,0.7315,0.2165,7.47,7.38
0day00:05:00,3.3640,2.5959,0.7557,0.2237,7.72,7.62
0day00:05:10,3.3680,2.5961,0.7800,0.2309,7.96,7.87
0day00:05:20,3.3680,2.5975,0.8043,0.2382,8.21,8.11
0day00:05:30,3.3780,2.6015,0.8287,0.2454,8.46,8.36
0day00:05:40,3.3810,2.6053,0.8532,0.2526,8.71,8.61
0day00:05:50,3.3950,2.6101,0.8778,0.2599,8.96,8.85
0day00:06:00,3.4010,2.6130,0.9025,0.2671,9.22,9.10
0day00:06:10,3.4050,2.6180,0.9273,0.2744,9.47,9.35
0day00:06:20,3.4140,2.6225,0.9521,0.2817,9.72,9.60
0day00:06:30,3.4150,2.6227,0.9770,0.2890,9.98,9.85
0day00:06:40,3.4210,2.6298,1.0020,0.2963,10.23,10.09
0day00:06:50,3.4290,2.6337,1.0271,0.3036,10.49,10.34
0day00:07:00,3.4270,2.6335,1.0522,0.3109,10.74,10.59
0day00:07:10,3.4280,2.6339,1.0772,0.3182,11.00,10.84
0day00:07:20,3.4270,2.6224,1.1022,0.3255,11.25,11.09
0day00:07:30,3.4280,2.6327,1.1273,0.3328,11.51,11.34
0day00:07:40,3.4290,2.6348,1.1524,0.3401,11.77,11.59
0day00:07:50,3.4230,2.6311,1.1774,0.3474,12.02,11.84
0day00:08:00,3.4240,2.6310,1.2024,0.3548,12.28,12.09
0day00:08:10,3.4260,2.6332,1.2275,0.3621,12.53,12.34
0day00:08:20,3.4220,2.6304,1.2525,0.3694,12.79,12.58
0day00:08:30,3.4230,2.6300,1.2775,0.3767,13.04,12.83
0day00:08:40,3.4180,2.6247,1.3024,0.3840,13.30,13.08
0day00:08:50,3.4150,2.6238,1.3273,0.3913,13.55,13.33
0day00:09:00,3.4160,2.6245,1.3522,0.3985,13.81,13.58
0day00:09:10,3.4060,2.6181,1.3770,0.4058,14.06,13.83
0day00:09:20,3.4020,2.6154,1.4017,0.4131,14.31,14.07
0day00:09:30,3.4030,2.6140,1.4264,0.4203,14.56,14.32
0day00:09:40,3.4100,2.6208,1.4512,0.4276,14.82,14.57
0day00:09:50,3.4130,2.6218,1.4761,0.4349,15.07,14.82
0day00:10:00,3.4150,2.6250,1.5010,0.4422,15.33,15.07
0day00:10:10,3.4180,2.6266,1.5259,0.4495,15.58,15.31
0day00:10:20,3.4210,2.6285,1.5509,0.4568,15.84,15.56
0day00:10:30,3.4280,2.6341,1.5760,0.4641,16.09,15.81
0day00:10:40,3.4320,2.6394,1.6011,0.4714,16.35,16.06
0day00:10:50,3.4410,2.6449,1.6264,0.4788,16.61,16.31
0day00:11:00,3.4610,2.6594,1.6520,0.4862,16.87,16.56
0day00:11:10,3.4770,2.6700,1.6778,0.4936,17.13,16.82
0day00:11:20,3.4870,2.6774,1.7037,0.5010,17.40,17.07
0day00:11:30,3.4920,2.6805,1.7297,0.5085,17.66,17.32
0day00:11:40,3.4930,2.6814,1.7557,0.5159,17.93,17.58
0day00:11:50,3.4900,2.6790,1.7817,0.5234,18.19,17.83
0day00:12:00,3.4900,2.6779,1.8076,0.5308,18.46,18.08
0day00:12:10,3.4910,2.6801,1.8336,0.5383,18.72,18.34
0day00:12:20,3.4930,2.6818,1.8597,0.5457,18.99,18.59
0day00:12:30,3.4940,2.6813,1.8857,0.5532,19.25,18.85
0day00:12:40,0.0000,0.0001,1.8857,0.5532,19.25,18.85
0day00:12:50,0.7950,0.0009,1.8857,0.5532,19.25,18.85
0day00:13:00,2.7920,1.5312,1.8976,0.5574,19.38,18.99
0day00:13:10,2.8260,0.0041,1.8976,0.5574,19.38,18.99
0day00:13:20,2.9580,2.2632,1.9162,0.5637,19.57,19.21
0day00:13:30,3.1650,2.4866,1.9380,0.5706,19.79,19.44
0day00:13:40,2.7430,1.5210,1.9496,0.5748,19.91,19.58
0day00:13:50,2.5130,0.5751,1.9537,0.5764,19.95,19.64
0day00:14:00,2.4850,0.4792,1.9570,0.5778,19.98,19.68
0day00:14:10,2.4790,0.4522,1.9601,0.5790,20.01,19.73
0day00:14:20,2.4780,0.4464,1.9631,0.5803,20.04,19.77
0day00:14:30,2.4790,0.4463,1.9662,0.5815,20.08,19.81
0day00:14:40,2.4810,0.4496,1.9693,0.5828,20.11,19.85
0day00:14:50,2.4840,0.4609,1.9725,0.5840,20.14,19.90
0day00:15:00,2.4880,0.4723,1.9758,0.5853,20.17,19.94
0day00:15:10,2.4920,0.4829,1.9791,0.5867,20.21,19.99
0day00:15:20,2.4930,0.4835,1.9825,0.5880,20.24,20.03
0day00:15:30,2.4900,0.4736,1.9857,0.5893,20.28,20.08
0day00:15:40,2.4870,0.4629,1.9889,0.5906,20.31,20.12
0day00:15:50,2.4850,0.4563,1.9921,0.5919,20.34,20.17
0day00:16:00,2.4850,0.4536,1.9952,0.5932,20.37,20.21
0day00:16:10,2.4860,0.4535,1.9983,0.5944,20.40,20.25
0day00:16:20,2.4870,0.4543,2.0015,0.5957,20.44,20.29
0day00:16:30,2.4880,0.4574,2.0046,0.5969,20.47,20.34
0day00:16:40,2.4900,0.4625,2.0078,0.5982,20.50,20.38
0day00:16:50,2.4930,0.4675,2.0111,0.5995,20.53,20.43
0day00:17:00,2.4950,0.4722,2.0143,0.6008,20.57,20.47
0day00:17:10,2.4970,0.4747,2.0176,0.6022,20.60,20.52
0day00:17:20,2.4980,0.4781,2.0210,0.6035,20.64,20.56
0day00:17:30,2.4990,0.4827,2.0243,0.6048,20.67,20.61
0day00:17:40,2.5000,0.4861,2.0277,0.6062,20.70,20.65
0day00:17:50,2.5000,0.4889,2.0311,0.6075,20.74,20.70
0day00:18:00,2.5010,0.4928,2.0345,0.6089,20.77,20.75
0day00:18:10,2.5010,0.4975,2.0380,0.6103,20.81,20.79
0day00:18:20,2.5060,0.5066,2.0415,0.6117,20.84,20.84
0day00:18:30,2.5110,0.5272,2.0452,0.6132,20.88,20.89
0day00:18:40,2.5200,0.5671,2.0491,0.6147,20.92,20.94
0day00:18:50,2.5550,0.6904,2.0540,0.6167,20.97,21.01
0day00:19:00,2.5710,0.7416,2.0593,0.6187,21.03,21.08
0day00:19:10,2.6770,1.2325,2.0685,0.6221,21.12,21.20
0day00:19:20,2.7220,1.4251,2.0793,0.6261,21.23,21.33
0day00:19:30,2.7020,1.2740,2.0888,0.6296,21.33,21.45
0day00:19:40,3.0170,2.4141,2.1091,0.6363,21.53,21.68
0day00:19:50,2.9570,2.3451,2.1283,0.6429,21.73,21.90
0day00:20:00,3.5530,2.7268,2.1552,0.6504,22.01,22.16
0day00:20:10,3.4840,2.6785,2.1812,0.6579,22.27,22.41
0day00:20:20,3.4540,2.6563,2.2066,0.6653,22.53,22.67
0day00:20:30,3.4300,2.6363,2.2318,0.6726,22.79,22.91
0day00:20:40,3.3980,2.6153,2.2564,0.6798,23.04,23.16
0day00:20:50,3.3820,2.6044,2.2809,0.6871,23.29,23.41
0day00:21:00,3.3610,2.5939,2.3051,0.6943,23.54,23.65
0day00:21:10,3.3520,2.5841,2.3292,0.7015,23.78,23.90
0day00:21:20,3.3420,2.5729,2.3531,0.7086,24.03,24.14
0day00:21:30,3.3310,2.5721,2.3769,0.7157,24.27,24.39
0day00:21:40,3.3320,2.5692,2.4007,0.7229,24.51,24.63
0day00:21:50,3.3240,2.5638,2.4243,0.7300,24.75,24.87
0day00:22:00,3.3280,2.5691,2.4481,0.7371,25.00,25.11
0day00:22:10,3.3270,2.5668,2.4718,0.7443,25.24,25.36
0day00:22:20,3.3270,2.5680,2.4955,0.7514,25.48,25.60
0day00:22:30,3.3280,2.5687,2.5193,0.7585,25.72,25.84
0day00:22:40,3.3320,2.5678,2.5430,0.7657,25.97,26.09
0day00:22:50,3.3300,2.5681,2.5668,0.7728,26.21,26.33
0day00:23:00,3.3320,2.5710,2.5906,0.7799,26.45,26.57
0day00:23:10,3.3360,2.5734,2.6144,0.7871,26.70,26.82
0day00:23:20,3.3340,2.5724,2.6383,0.7942,26.94,27.06
0day00:23:30,3.3340,2.5749,2.6621,0.8014,27.18,27.30
0day00:23:40,3.3280,2.5690,2.6859,0.8085,27.42,27.55
0day00:23:50,3.3340,2.5712,2.7097,0.8157,27.67,27.79
0day00:24:00,3.3380,2.5745,2.7335,0.8228,27.91,28.03
0day00:24:10,3.3390,2.5759,2.7574,0.8300,28.16,28.28
0day00:24:20,3.3390,2.5766,2.7813,0.8371,28.40,28.52
0day00:24:30,3.3370,2.5739,2.8052,0.8443,28.64,28.76
0day00:24:40,3.3390,2.5764,2.8291,0.8514,28.89,29.01
0day00:24:50,3.3380,2.5759,2.8530,0.8586,29.13,29.25
0day00:25:00,3.3410,2.5748,2.8769,0.8658,29.37,29.50
0day00:25:10,3.3370,2.5733,2.9007,0.8729,29.62,29.74
0day00:25:20,3.3420,2.5761,2.9246,0.8801,29.86,29.98
0day00:25:30,3.3430,2.5797,2.9486,0.8872,30.11,30.23
0day00:25:40,3.3420,2.5785,2.9725,0.8944,30.35,30.47
0day00:25:50,3.3440,2.5781,2.9965,0.9015,30.60,30.72
0day00:26:00,3.3460,2.5810,3.0205,0.9087,30.84,30.96
0day00:26:10,3.3510,2.5846,3.0445,0.9159,31.09,31.20
0day00:26:20,3.3500,2.5838,3.0686,0.9231,31.33,31.45
0day00:26:30,3.3500,2.5840,3.0926,0.9302,31.58,31.69
0day00:26:40,3.3560,2.5874,3.1167,0.9374,31.82,31.94
0day00:26:50,3.3590,2.5902,3.1409,0.9446,32.07,32.18
0day00:27:00,3.3600,2.5923,3.1651,0.9518,32.32,32.43
0day00:27:10,3.3640,2.5945,3.1893,0.9590,32.57,32.67
0day00:27:20,3.3730,2.5997,3.2137,0.9663,32.81,32.92
0day00:27:30,3.3810,2.6045,3.2382,0.9735,33.06,33.17
0day00:27:40,3.3870,2.6058,3.2627,0.9807,33.31,33.41
0day00:27:50,3.3960,2.6104,3.2873,0.9880,33.57,33.66
0day00:28:00,3.4010,2.6147,3.3120,0.9952,33.82,33.91
0day00:28:10,3.4080,2.6167,3.3368,1.0025,34.07,34.16
0day00:28:20,3.4140,2.6233,3.3617,1.0098,34.32,34.40
0day00:28:30,3.4220,2.6263,3.3866,1.0171,34.58,34.65
0day00:28:40,3.4250,2.6299,3.4116,1.0244,34.83,34.90
0day00:28:50,3.4250,2.6309,3.4367,1.0317,35.09,35.15
0day00:29:00,3.4260,2.6316,3.4617,1.0390,35.35,35.40
0day00:29:10,3.4300,2.6342,3.4868,1.0463,35.60,35.65
0day00:29:20,3.4300,2.6342,3.5119,1.0537,35.86,35.90
0day00:29:30,3.4310,2.6362,3.5370,1.0610,36.12,36.15
0day00:29:40,3.4440,2.6383,3.5623,1.0683,36.37,36.40
0day00:29:50,1.2240,0.8250,3.5651,1.0706,36.40,36.48
0day00:30:00,3.4360,2.6404,3.5903,1.0779,36.66,36.73
0day00:30:10,3.4350,2.6388,3.6155,1.0853,36.92,36.97
0day00:30:20,3.4390,2.6405,3.6407,1.0926,37.17,37.22
0day00:30:30,3.4410,2.6414,3.6659,1.0999,37.43,37.47
0day00:30:40,3.4560,2.6410,3.6913,1.1073,37.69,37.72
0day00:30:50,3.4640,2.6427,3.7167,1.1146,37.95,37.97
0day00:31:00,3.4620,2.6447,3.7421,1.1220,38.21,38.23
0day00:31:10,3.4560,2.6477,3.7676,1.1293,38.47,38.48
0day00:31:20,3.4470,2.6449,3.7929,1.1367,38.73,38.73
0day00:31:30,3.4430,2.6420,3.8182,1.1440,38.99,38.98
0day00:31:40,3.4510,2.6367,3.8434,1.1513,39.24,39.23
0day00:31:50,3.4580,2.6327,3.8687,1.1586,39.50,39.47
0day00:32:00,5.1320,0.0100,3.8689,1.1587,39.50,39.48
