This file is generated by Kotomi PC software
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0day00:00:00,2.8380,1.4165,0.0022,0.0008,0.03,0.04
0day00:00:02,2.8380,1.4009,0.0044,0.0016,0.06,0.07
0day00:00:04,2.8320,1.3883,0.0066,0.0023,0.09,0.11
0day00:00:06,2.8290,1.3833,0.0088,0.0031,0.12,0.14
0day00:00:08,2.8280,1.3860,0.0110,0.0039,0.15,0.18
0day00:00:10,2.8290,1.3800,0.0131,0.0046,0.18,0.21
0day00:00:12,2.8270,1.3795,0.0153,0.0054,0.21,0.25
0day00:00:14,2.8220,1.3789,0.0175,0.0062,0.24,0.29
0day00:00:16,2.8220,1.3795,0.0196,0.0069,0.27,0.32
0day00:00:18,2.8200,1.3787,0.0218,0.0077,0.30,0.36
0day00:00:20,2.8200,1.3796,0.0240,0.0085,0.33,0.39
0day00:00:22,2.8200,1.3783,0.0261,0.0092,0.36,0.43
0day00:00:24,2.8190,1.3808,0.0283,0.0100,0.39,0.46
0day00:00:26,2.8190,1.3804,0.0304,0.0108,0.42,0.50
0day00:00:28,2.8160,1.3802,0.0326,0.0115,0.45,0.53
0day00:00:30,2.8160,1.3819,0.0348,0.0123,0.48,0.57
0day00:00:32,2.8150,1.3817,0.0369,0.0131,0.51,0.60
0day00:00:34,2.8150,1.3800,0.0391,0.0138,0.54,0.64
0day00:00:36,2.8140,1.3821,0.0412,0.0146,0.57,0.67
0day00:00:38,2.8140,1.3804,0.0434,0.0154,0.60,0.71
0day00:00:40,2.8130,1.3785,0.0456,0.0161,0.63,0.75
0day00:00:42,2.8130,1.3828,0.0477,0.0169,0.65,0.78
0day00:00:44,2.8120,1.3793,0.0499,0.0177,0.68,0.82
0day00:00:46,2.8110,1.3796,0.0520,0.0184,0.71,0.85
0day00:00:48,2.8110,1.3828,0.0542,0.0192,0.74,0.89
0day00:00:50,2.8120,1.3857,0.0564,0.0200,0.77,0.92
0day00:00:52,2.8110,1.3861,0.0585,0.0208,0.80,0.96
0day00:00:54,2.8110,1.3889,0.0607,0.0215,0.83,0.99
0day00:00:56,2.8090,1.3869,0.0628,0.0223,0.86,1.03
0day00:00:58,2.8070,1.3802,0.0650,0.0231,0.89,1.07
0day00:01:00,2.8080,1.3791,0.0672,0.0238,0.92,1.10
0day00:01:02,2.9260,1.3738,0.0694,0.0246,0.95,1.14
