Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Irradiance/100,Power(W),Efficiency(%),Power Score,Sun Score,Efficiency Score
00:00:00,1.0810,0.0006,0.0000,0.0000,0.00,0.00,795,7.95,0.0,0.0,79.5,0.0,79.5
00:00:10,4.9290,1.9938,0.0273,0.0055,0.26,0.26,798,7.98,9.83,0.7,79.8,93.6,-13.8
00:00:20,4.9260,1.9937,0.0546,0.0111,0.53,0.52,799,7.99,9.82,0.7,79.9,93.5,-13.6
00:00:30,4.9310,1.9932,0.0819,0.0166,0.79,0.79,798,7.98,9.83,0.7,79.8,93.6,-13.8
00:00:40,4.9310,1.9928,0.1092,0.0222,1.05,1.05,795,7.95,9.83,0.71,79.5,93.6,-14.1
00:00:50,4.9310,1.9922,0.1365,0.0277,1.31,1.31,794,7.94,9.82,0.71,79.4,93.5,-14.1
00:01:00,4.9310,1.9915,0.1637,0.0332,1.58,1.57,797,7.97,9.82,0.7,79.7,93.5,-13.8
00:01:10,4.9300,1.9914,0.1910,0.0387,1.84,1.84,793,7.93,9.82,0.71,79.3,93.5,-14.2
00:01:20,4.9310,1.9906,0.2183,0.0443,2.10,2.10,792,7.92,9.82,0.71,79.2,93.5,-14.3
00:01:30,4.9330,1.9909,0.2456,0.0498,2.36,2.36,790,7.9,9.82,0.71,79.0,93.5,-14.5
00:01:40,4.9310,2.0016,0.2730,0.0554,2.63,2.62,794,7.94,9.87,0.71,79.4,94.0,-14.6
00:01:50,4.9300,2.0013,0.3004,0.0609,2.89,2.89,793,7.93,9.87,0.71,79.3,94.0,-14.7
00:02:00,4.9300,2.0011,0.3278,0.0665,3.15,3.15,791,7.91,9.87,0.71,79.1,94.0,-14.9
00:02:10,4.9300,2.0016,0.3552,0.0720,3.42,3.41,790,7.9,9.87,0.71,79.0,94.0,-15.0
00:02:20,4.9290,2.0007,0.3826,0.0776,3.68,3.68,791,7.91,9.86,0.71,79.1,93.9,-14.8
00:02:30,4.9300,2.0009,0.4100,0.0832,3.94,3.94,790,7.9,9.86,0.71,79.0,93.9,-14.9
00:02:40,4.9290,1.9987,0.4374,0.0887,4.21,4.20,786,7.86,9.85,0.72,78.6,93.8,-15.2
00:02:50,4.9300,1.9983,0.4647,0.0943,4.47,4.46,788,7.88,9.85,0.71,78.8,93.8,-15.0
00:03:00,4.9310,1.9998,0.4921,0.0998,4.73,4.73,789,7.89,9.86,0.71,78.9,93.9,-15.0
00:03:10,4.9270,2.0001,0.5195,0.1054,5.00,4.99,792,7.92,9.85,0.71,79.2,93.8,-14.6
00:03:20,4.9290,2.0018,0.5469,0.1109,5.26,5.25,793,7.93,9.87,0.71,79.3,94.0,-14.7
00:03:30,4.9300,2.0013,0.5743,0.1165,5.52,5.52,791,7.91,9.87,0.71,79.1,94.0,-14.9
00:03:40,4.9310,1.9995,0.6017,0.1220,5.79,5.78,789,7.89,9.86,0.71,78.9,93.9,-15.0
00:03:50,4.9310,2.0008,0.6291,0.1276,6.05,6.04,787,7.87,9.87,0.72,78.7,94.0,-15.3
00:04:00,4.9320,2.0010,0.6565,0.1332,6.31,6.31,793,7.93,9.87,0.71,79.3,94.0,-14.7
00:04:10,4.9320,2.0001,0.6839,0.1387,6.58,6.57,792,7.92,9.86,0.71,79.2,93.9,-14.7
00:04:20,4.9320,1.9997,0.7113,0.1443,6.84,6.83,790,7.9,9.86,0.71,79.0,93.9,-14.9
00:04:30,4.9320,2.0002,0.7387,0.1498,7.11,7.10,793,7.93,9.86,0.71,79.3,93.9,-14.6
00:04:40,4.9310,1.9997,0.7661,0.1554,7.37,7.36,798,7.98,9.86,0.71,79.8,93.9,-14.1
00:04:50,4.9300,2.0010,0.7935,0.1609,7.63,7.62,796,7.96,9.86,0.71,79.6,93.9,-14.3
00:05:00,4.9300,2.0009,0.8209,0.1665,7.90,7.89,794,7.94,9.86,0.71,79.4,93.9,-14.5
00:05:10,4.9300,1.9992,0.8483,0.1721,8.16,8.15,796,7.96,9.86,0.71,79.6,93.9,-14.3
00:05:20,4.9300,1.9997,0.8757,0.1776,8.42,8.41,794,7.94,9.86,0.71,79.4,93.9,-14.5
00:05:30,4.9310,1.9997,0.9031,0.1832,8.69,8.67,794,7.94,9.86,0.71,79.4,93.9,-14.5
00:05:40,4.9310,1.9999,0.9305,0.1887,8.95,8.94,793,7.93,9.86,0.71,79.3,93.9,-14.6
