Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Sunlight Level
00:00:00,5.1410,0.1387,0.0020,0.0004,0.59,0.37,844.0,0.71,8.44
00:00:10,3.0420,1.4406,0.0142,0.0044,4.25,4.23,848.0,4.38,8.48
00:00:20,2.9700,1.4403,0.0260,0.0084,7.82,8.09,841.0,4.28,8.41
00:00:30,2.9540,1.4461,0.0379,0.0124,11.38,11.96,840.0,4.27,8.4
00:00:40,2.9350,1.4453,0.0497,0.0164,14.92,15.83,837.0,4.24,8.37
00:00:50,2.9290,1.4488,0.0615,0.0204,18.46,19.71,844.0,4.24,8.44
00:01:00,2.9220,1.4530,0.0733,0.0245,22.00,23.60,841.0,4.25,8.41
00:01:10,2.9180,1.4590,0.0851,0.0285,25.55,27.51,842.0,4.26,8.42
00:01:20,2.9140,1.4620,0.0969,0.0326,29.10,31.42,840.0,4.26,8.4
00:01:30,2.9090,1.4669,0.1088,0.0367,32.66,35.35,843.0,4.27,8.43
00:01:40,2.9040,1.4689,0.1206,0.0407,36.22,39.29,840.0,4.27,8.4
00:01:50,2.8980,1.4702,0.1325,0.0448,39.77,43.22,841.0,4.26,8.41
00:02:00,2.8950,1.4707,0.1443,0.0489,43.32,47.16,842.0,4.26,8.42
00:02:10,2.8790,1.4706,0.1561,0.0530,46.85,51.10,842.0,4.23,8.42
00:02:20,2.8730,1.4710,0.1678,0.0571,50.38,55.04,843.0,4.23,8.43
00:02:30,2.8680,1.4706,0.1795,0.0612,53.89,58.98,840.0,4.22,8.4
00:02:40,2.8660,1.4709,0.1912,0.0653,57.41,62.92,841.0,4.22,8.41
00:02:50,2.8630,1.4712,0.2029,0.0693,60.92,66.86,840.0,4.21,8.4
00:03:00,2.8620,1.4721,0.2146,0.0734,64.44,70.80,838.0,4.21,8.38
00:03:10,2.8620,1.4716,0.2263,0.0775,67.95,74.74,838.0,4.21,8.38
00:03:20,2.8610,1.4713,0.2380,0.0816,71.46,78.68,841.0,4.21,8.41
00:03:30,2.8610,1.4713,0.2497,0.0857,74.97,82.62,837.0,4.21,8.37
00:03:40,2.8610,1.4707,0.2614,0.0898,78.48,86.56,839.0,4.21,8.39
00:03:50,5.1250,0.1427,0.2634,0.0902,79.09,86.94,839.0,0.73,8.39
00:04:00,5.1260,0.1418,0.2654,0.0906,79.70,87.32,841.0,0.73,8.41
00:04:10,5.1270,0.1413,0.2675,0.0910,80.30,87.70,834.0,0.72,8.34
00:04:20,5.1270,0.1380,0.2694,0.0913,80.89,88.07,836.0,0.71,8.36
00:04:30,5.1270,0.1377,0.2714,0.0917,81.48,88.44,840.0,0.71,8.4
00:04:40,5.1270,0.1403,0.2734,0.0921,82.08,88.81,839.0,0.72,8.39
00:04:50,5.1270,0.1380,0.2753,0.0925,82.67,89.18,836.0,0.71,8.36
00:05:00,5.1270,0.1380,0.2773,0.0929,83.26,89.55,838.0,0.71,8.38
00:05:10,5.1260,0.1412,0.2793,0.0933,83.86,89.93,835.0,0.72,8.35
00:05:20,5.1260,0.1414,0.2813,0.0937,84.47,90.31,841.0,0.72,8.41
00:05:30,5.1260,0.1375,0.2833,0.0941,85.05,90.68,836.0,0.7,8.36
00:05:40,5.1260,0.1383,0.2853,0.0944,85.65,91.05,837.0,0.71,8.37
00:05:50,5.1310,0.0082,0.2854,0.0945,85.68,91.07,836.0,0.04,8.36
00:06:00,5.1630,0.0098,0.2855,0.0945,85.72,91.10,837.0,0.05,8.37
00:06:10,5.1630,0.0066,0.2856,0.0945,85.75,91.11,842.0,0.03,8.42
00:06:20,5.1630,0.0097,0.2858,0.0945,85.79,91.14,834.0,0.05,8.34
00:06:30,5.1630,0.0098,0.2859,0.0946,85.84,91.17,838.0,0.05,8.38
00:06:40,5.1620,0.0089,0.2860,0.0946,85.87,91.19,837.0,0.05,8.37
00:06:50,5.1620,0.0066,0.2861,0.0946,85.90,91.21,836.0,0.03,8.36
00:07:00,5.1620,0.0087,0.2862,0.0946,85.94,91.23,835.0,0.04,8.35
00:07:10,5.1620,0.0098,0.2864,0.0947,85.98,91.26,838.0,0.05,8.38
00:07:20,5.1620,0.0066,0.2865,0.0947,86.01,91.27,838.0,0.03,8.38
00:07:30,5.1620,0.0067,0.2866,0.0947,86.04,91.29,834.0,0.03,8.34
00:07:40,5.1620,0.0083,0.2867,0.0947,86.08,91.31,836.0,0.04,8.36
00:07:50,5.1620,0.0098,0.2868,0.0947,86.12,91.34,832.0,0.05,8.32
00:08:00,5.1610,0.0066,0.2869,0.0948,86.15,91.36,832.0,0.03,8.32
00:08:10,5.1610,0.0099,0.2871,0.0948,86.19,91.38,833.0,0.05,8.33
00:08:20,5.1610,0.0099,0.2872,0.0948,86.23,91.41,830.0,0.05,8.3
00:08:30,5.1610,0.0088,0.2873,0.0948,86.27,91.43,834.0,0.05,8.34
00:08:40,2.3670,0.0032,0.2874,0.0948,86.28,91.44,833.0,0.01,8.33
00:08:50,5.1600,0.0099,0.2875,0.0949,86.32,91.47,834.0,0.05,8.34
00:09:00,5.1610,0.0065,0.2876,0.0949,86.35,91.49,831.0,0.03,8.31
00:09:10,5.1600,0.0065,0.2877,0.0949,86.37,91.50,833.0,0.03,8.33
00:09:20,5.1600,0.0098,0.2878,0.0949,86.42,91.53,830.0,0.05,8.3
00:09:30,5.1600,0.0099,0.2880,0.0950,86.46,91.56,834.0,0.05,8.34
00:09:40,5.1600,0.0066,0.2881,0.0950,86.49,91.58,827.0,0.03,8.27
00:09:50,5.1590,0.0097,0.2882,0.0950,86.53,91.60,828.0,0.05,8.28
00:10:00,5.1590,0.0098,0.2883,0.0950,86.57,91.63,832.0,0.05,8.32
00:10:10,5.1590,0.0095,0.2885,0.0951,86.61,91.65,827.0,0.05,8.27
00:10:20,5.1590,0.0066,0.2886,0.0951,86.64,91.67,829.0,0.03,8.29
00:10:30,5.1590,0.0084,0.2887,0.0951,86.68,91.69,832.0,0.04,8.32
00:10:40,5.1590,0.0099,0.2888,0.0951,86.72,91.72,832.0,0.05,8.32
00:10:50,5.1590,0.0098,0.2890,0.0952,86.76,91.75,833.0,0.05,8.33
00:11:00,5.1580,0.0066,0.2891,0.0952,86.79,91.76,832.0,0.03,8.32
00:11:10,5.1580,0.0099,0.2892,0.0952,86.83,91.79,835.0,0.05,8.35
00:11:20,5.1580,0.0092,0.2893,0.0952,86.87,91.81,829.0,0.05,8.29
00:11:30,5.1580,0.0065,0.2894,0.0953,86.90,91.83,831.0,0.03,8.31
00:11:40,5.1580,0.0066,0.2895,0.0953,86.93,91.85,828.0,0.03,8.28
00:11:50,5.1580,0.0098,0.2897,0.0953,86.97,91.88,825.0,0.05,8.25
00:12:00,5.1580,0.0096,0.2898,0.0953,87.01,91.90,826.0,0.05,8.26
00:12:10,5.1580,0.0066,0.2899,0.0953,87.04,91.92,827.0,0.03,8.27
00:12:20,5.1580,0.0099,0.2900,0.0954,87.08,91.95,827.0,0.05,8.27
00:12:30,5.1580,0.0098,0.2902,0.0954,87.12,91.97,829.0,0.05,8.29
00:12:40,5.1580,0.0066,0.2903,0.0954,87.15,91.99,827.0,0.03,8.27
00:12:50,5.1580,0.0065,0.2904,0.0954,87.18,92.01,831.0,0.03,8.31
00:13:00,5.1580,0.0099,0.2905,0.0955,87.22,92.03,828.0,0.05,8.28
00:13:10,5.1580,0.0099,0.2907,0.0955,87.27,92.06,828.0,0.05,8.28
00:13:20,5.1580,0.0077,0.2908,0.0955,87.30,92.08,832.0,0.04,8.32
00:13:30,5.1580,0.0066,0.2909,0.0955,87.33,92.10,834.0,0.03,8.34
00:13:40,5.1580,0.0099,0.2910,0.0956,87.37,92.13,832.0,0.05,8.32
00:13:50,5.1580,0.0099,0.2911,0.0956,87.41,92.15,828.0,0.05,8.28
00:14:00,5.1580,0.0098,0.2913,0.0956,87.45,92.18,826.0,0.05,8.26
00:14:10,5.1580,0.0066,0.2914,0.0956,87.48,92.20,823.0,0.03,8.23
