Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance (Wh/m2),Irradiance/100
00:00:00,2.9350,1.4364,0.0117,0.0040,0.23,0.23,853,8.53
00:00:10,2.8970,1.3235,0.0224,0.0077,0.44,0.44,819,8.19
00:00:20,2.9250,1.4737,0.0343,0.0118,0.68,0.67,764,7.64
00:00:30,2.9620,1.4535,0.0463,0.0158,0.92,0.90,856,8.56
00:00:40,2.9400,1.4273,0.0580,0.0198,1.15,1.13,842,8.42
00:00:50,2.9260,1.4203,0.0695,0.0237,1.38,1.35,825,8.25
00:01:00,2.9060,1.3776,0.0806,0.0275,1.60,1.57,820,8.2
00:01:10,2.9080,1.4101,0.0920,0.0315,1.82,1.79,788,7.88
00:01:20,2.8920,1.3831,0.1031,0.0353,2.04,2.01,818,8.18
00:01:30,2.8450,1.2419,0.1129,0.0387,2.24,2.21,772,7.72
00:01:40,2.8060,1.0741,0.1213,0.0417,2.40,2.38,698,6.98
00:01:50,3.8470,0.7082,0.1289,0.0437,2.55,2.49,574,5.74
00:02:00,3.3140,0.3238,0.1319,0.0446,2.61,2.54,535,5.35
00:02:10,2.7790,1.0279,0.1398,0.0474,2.77,2.70,490,4.9
00:02:20,2.8060,1.0924,0.1483,0.0505,2.94,2.88,598,5.98
00:02:30,2.8350,1.2478,0.1581,0.0539,3.13,3.07,621,6.21
00:02:40,2.8330,1.2495,0.1680,0.0574,3.33,3.27,687,6.87
00:02:50,2.8660,1.4003,0.1791,0.0613,3.55,3.49,681,6.81
00:03:00,2.8330,1.2968,0.1893,0.0649,3.75,3.70,795,7.95
00:03:10,2.8230,1.2848,0.1994,0.0685,3.95,3.90,708,7.08
00:03:20,2.8270,1.3160,0.2097,0.0721,4.16,4.11,722,7.22
00:03:30,2.8010,1.2460,0.2194,0.0756,4.35,4.31,734,7.34
00:03:40,4.3140,0.2350,0.2222,0.0763,4.40,4.34,659,6.59
00:03:50,2.7540,1.0503,0.2303,0.0792,4.56,4.51,499,4.99
00:04:00,5.1600,0.0568,0.2311,0.0793,4.58,4.52,582,5.82
00:04:10,2.7520,1.0441,0.2391,0.0822,4.74,4.68,515,5.15
00:04:20,4.3680,0.1514,0.2409,0.0826,4.77,4.71,564,5.64
00:04:30,2.8670,1.4076,0.2521,0.0866,5.00,4.93,415,4.15
00:04:40,2.8670,1.4282,0.2635,0.0905,5.22,5.16,803,8.03
00:04:50,2.8790,1.4614,0.2752,0.0946,5.45,5.39,787,7.87
00:05:00,2.8900,1.4834,0.2871,0.0987,5.69,5.62,824,8.24
00:05:10,2.8910,1.5069,0.2992,0.1029,5.93,5.86,854,8.54
00:05:20,2.8810,1.4929,0.3111,0.1070,6.17,6.10,861,8.61
00:05:30,2.8720,1.4838,0.3230,0.1112,6.40,6.33,852,8.52
00:05:40,2.8630,1.4801,0.3347,0.1153,6.63,6.56,848,8.48
00:05:50,2.8530,1.4741,0.3464,0.1194,6.87,6.80,842,8.42
00:06:00,2.8580,1.4847,0.3582,0.1235,7.10,7.03,842,8.42
00:06:10,2.8500,1.4869,0.3700,0.1276,7.33,7.27,845,8.45
00:06:20,2.8420,1.4785,0.3816,0.1317,7.56,7.50,843,8.43
00:06:30,2.8290,1.4570,0.3931,0.1358,7.79,7.73,840,8.4
00:06:40,2.7970,1.4121,0.4041,0.1397,8.01,7.96,825,8.25
00:06:50,2.7500,1.2769,0.4138,0.1432,8.20,8.16,793,7.93
00:07:00,2.7690,1.3502,0.4242,0.1470,8.41,8.37,703,7.03
00:07:10,2.7740,1.3623,0.4347,0.1508,8.62,8.59,757,7.57
00:07:20,2.7600,1.3317,0.4449,0.1545,8.82,8.80,763,7.63
00:07:30,2.7850,1.3866,0.4556,0.1583,9.03,9.02,746,7.46
00:07:40,2.8090,1.4346,0.4668,0.1623,9.25,9.24,781,7.81
00:07:50,2.8360,1.4798,0.4785,0.1664,9.48,9.48,818,8.18
00:08:00,2.8090,1.4408,0.4897,0.1704,9.71,9.71,841,8.41
00:08:10,2.7350,1.2717,0.4994,0.1740,9.90,9.91,806,8.06
00:08:20,2.7390,1.2817,0.5091,0.1775,10.09,10.11,700,7.0
00:08:30,2.7470,1.3079,0.5191,0.1812,10.29,10.32,723,7.23
00:08:40,2.7680,1.3788,0.5297,0.1850,10.50,10.53,739,7.39
00:08:50,2.7520,1.3538,0.5401,0.1887,10.70,10.75,779,7.79
00:09:00,2.7210,1.2588,0.5496,0.1922,10.89,10.95,751,7.51
00:09:10,2.8290,1.4746,0.5612,0.1963,11.12,11.18,708,7.08
