Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Irradiance/100,Power(W),Efficiency(%)
00:00:00,4.6620,2.0042,0.0260,0.0056,0.26,0.26,855,8.55,9.34,0.85
00:00:10,4.6570,2.0031,0.0519,0.0111,0.51,0.51,854,8.54,9.33,0.85
00:00:20,4.6680,2.0022,0.0778,0.0167,0.77,0.77,849,8.49,9.35,0.85
00:00:30,4.6680,2.0022,0.1038,0.0223,1.03,1.03,850,8.5,9.35,0.85
00:00:40,4.6670,2.0018,0.1297,0.0278,1.29,1.28,853,8.53,9.34,0.85
00:00:50,4.6650,2.0016,0.1557,0.0334,1.55,1.54,849,8.49,9.34,0.85
00:01:00,4.6650,2.0011,0.1816,0.0389,1.80,1.80,847,8.47,9.34,0.85
00:01:10,4.6640,2.0008,0.2075,0.0445,2.06,2.05,850,8.5,9.33,0.85
00:01:20,4.6640,2.0010,0.2335,0.0501,2.32,2.31,848,8.48,9.33,0.85
00:01:30,4.6630,1.9997,0.2594,0.0556,2.57,2.57,846,8.46,9.32,0.85
00:01:40,4.6620,2.0009,0.2853,0.0612,2.83,2.82,844,8.44,9.33,0.86
00:01:50,4.6620,2.0000,0.3112,0.0667,3.09,3.08,845,8.45,9.32,0.86
00:02:00,4.6620,2.0000,0.3371,0.0723,3.35,3.34,846,8.46,9.32,0.85
00:02:10,4.6610,2.0000,0.3630,0.0778,3.60,3.59,840,8.4,9.32,0.86
00:02:20,4.6600,1.9990,0.3888,0.0834,3.86,3.85,839,8.39,9.32,0.86
00:02:30,4.6600,1.9995,0.4147,0.0889,4.12,4.10,840,8.4,9.32,0.86
00:02:40,4.6600,1.9984,0.4406,0.0945,4.37,4.36,837,8.37,9.31,0.86
00:02:50,4.6590,2.0015,0.4665,0.1000,4.63,4.62,838,8.38,9.32,0.86
00:03:00,4.6590,2.0009,0.4924,0.1056,4.89,4.87,836,8.36,9.32,0.86
00:03:10,4.6590,2.0004,0.5183,0.1112,5.14,5.13,840,8.4,9.32,0.86
00:03:20,4.6590,1.9999,0.5442,0.1167,5.40,5.39,839,8.39,9.32,0.86
00:03:30,4.6590,2.0005,0.5700,0.1223,5.66,5.64,836,8.36,9.32,0.86
00:03:40,4.6590,2.0010,0.5959,0.1278,5.92,5.90,837,8.37,9.32,0.86
00:03:50,4.6580,1.9991,0.6218,0.1334,6.17,6.16,839,8.39,9.31,0.86
00:04:00,4.6570,2.0004,0.6477,0.1389,6.43,6.41,837,8.37,9.32,0.86
00:04:10,4.6570,1.9997,0.6736,0.1445,6.69,6.67,838,8.38,9.31,0.86
00:04:20,4.6560,2.0007,0.6994,0.1501,6.94,6.93,838,8.38,9.32,0.86
00:04:30,4.6560,1.9998,0.7253,0.1556,7.20,7.18,834,8.34,9.31,0.87
00:04:40,4.6560,1.9998,0.7512,0.1612,7.46,7.44,839,8.39,9.31,0.86
00:04:50,4.6550,2.0002,0.7770,0.1667,7.71,7.69,838,8.38,9.31,0.86
00:05:00,4.6550,1.9999,0.8029,0.1723,7.97,7.95,835,8.35,9.31,0.86
00:05:10,4.6550,1.9998,0.8287,0.1778,8.23,8.21,836,8.36,9.31,0.86
00:05:20,4.6550,1.9994,0.8546,0.1834,8.48,8.46,838,8.38,9.31,0.86
00:05:30,4.6560,1.9995,0.8805,0.1889,8.74,8.72,840,8.4,9.31,0.86
00:05:40,4.6560,2.0000,0.9063,0.1945,9.00,8.98,838,8.38,9.31,0.86
00:05:50,4.6560,1.9999,0.9322,0.2000,9.25,9.23,840,8.4,9.31,0.86
00:06:00,4.6560,2.0003,0.9581,0.2056,9.51,9.49,839,8.39,9.31,0.86
00:06:10,4.6560,2.0000,0.9839,0.2112,9.77,9.75,833,8.33,9.31,0.87
00:06:20,4.6550,2.0006,1.0098,0.2167,10.02,10.00,835,8.35,9.31,0.86
00:06:30,4.6560,1.9988,1.0356,0.2223,10.28,10.26,837,8.37,9.31,0.86
00:06:40,4.6570,1.9991,1.0615,0.2278,10.54,10.51,837,8.37,9.31,0.86
00:06:50,4.6580,1.9993,1.0874,0.2334,10.79,10.77,838,8.38,9.31,0.86
00:07:00,4.6570,1.9999,1.1132,0.2389,11.05,11.03,834,8.34,9.31,0.87
00:07:10,4.6570,2.0000,1.1391,0.2445,11.31,11.28,833,8.33,9.31,0.87
00:07:20,4.6570,1.9999,1.1650,0.2500,11.56,11.54,832,8.32,9.31,0.87
00:07:30,4.6560,1.9995,1.1908,0.2556,11.82,11.80,834,8.34,9.31,0.87
00:07:40,4.6560,1.9993,1.2167,0.2612,12.08,12.05,832,8.32,9.31,0.87
00:07:50,4.6550,2.0004,1.2426,0.2667,12.33,12.31,833,8.33,9.31,0.87
00:08:00,4.6550,2.0011,1.2684,0.2723,12.59,12.57,833,8.33,9.32,0.87
00:08:10,4.6550,1.9993,1.2943,0.2778,12.85,12.82,836,8.36,9.31,0.86
00:08:20,4.6550,2.0001,1.3202,0.2834,13.10,13.08,832,8.32,9.31,0.87
00:08:30,4.6550,2.0009,1.3460,0.2889,13.36,13.34,837,8.37,9.31,0.86
00:08:40,4.6550,2.0000,1.3719,0.2945,13.62,13.59,836,8.36,9.31,0.86
00:08:50,4.6540,2.0000,1.3978,0.3000,13.87,13.85,829,8.29,9.31,0.87
00:09:00,4.6540,1.9998,1.4236,0.3056,14.13,14.10,830,8.3,9.31,0.87
00:09:10,4.6540,2.0008,1.4495,0.3112,14.39,14.36,829,8.29,9.31,0.87
00:09:20,4.6540,2.0005,1.4753,0.3167,14.64,14.62,831,8.31,9.31,0.87
00:09:30,4.6540,2.0003,1.5012,0.3223,14.90,14.87,835,8.35,9.31,0.86
00:09:40,4.6540,2.0009,1.5271,0.3278,15.16,15.13,838,8.38,9.31,0.86
00:09:50,4.6550,1.9995,1.5529,0.3334,15.41,15.39,835,8.35,9.31,0.86
00:10:00,4.6550,2.0005,1.5788,0.3389,15.67,15.64,833,8.33,9.31,0.87
00:10:10,4.6540,2.0005,1.6046,0.3445,15.93,15.90,834,8.34,9.31,0.87
00:10:20,4.6550,1.9983,1.6305,0.3500,16.18,16.16,837,8.37,9.3,0.86
00:10:30,4.6550,1.9992,1.6563,0.3556,16.44,16.41,833,8.33,9.31,0.87
00:10:40,4.6550,1.9998,1.6822,0.3612,16.70,16.67,833,8.33,9.31,0.87
00:10:50,4.6550,2.0001,1.7081,0.3667,16.95,16.92,832,8.32,9.31,0.87
00:11:00,4.6550,2.0006,1.7339,0.3723,17.21,17.18,832,8.32,9.31,0.87
00:11:10,4.6540,1.9991,1.7598,0.3778,17.47,17.44,830,8.3,9.3,0.87
00:11:20,4.6550,1.9995,1.7856,0.3834,17.72,17.69,829,8.29,9.31,0.87
00:11:30,4.6550,2.0000,1.8115,0.3889,17.98,17.95,836,8.36,9.31,0.86
00:11:40,4.6540,2.0009,1.8373,0.3945,18.24,18.21,831,8.31,9.31,0.87
00:11:50,4.6530,2.0008,1.8632,0.4000,18.49,18.46,830,8.3,9.31,0.87
00:12:00,4.6530,1.9998,1.8891,0.4056,18.75,18.72,831,8.31,9.31,0.87
00:12:10,4.6520,2.0009,1.9149,0.4112,19.01,18.98,832,8.32,9.31,0.87
00:12:20,4.6520,1.9994,1.9408,0.4167,19.26,19.23,833,8.33,9.3,0.87
00:12:30,4.6520,2.0010,1.9666,0.4223,19.52,19.49,835,8.35,9.31,0.86
