Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Sunlight Level
00:00:00,3.7820,1.8794,0.0197,0.0052,0.37,0.32,882.0,7.11,8.82
00:00:10,3.8020,1.8930,0.0397,0.0105,0.75,0.65,810.0,7.2,8.1
00:00:20,3.6760,1.8120,0.0582,0.0155,1.10,0.96,838.0,6.66,8.38
00:00:30,3.3000,1.6739,0.0736,0.0202,1.38,1.25,870.0,5.52,8.7
00:00:40,3.7230,1.8602,0.0928,0.0253,1.75,1.57,863.0,6.93,8.63
00:00:50,3.7320,1.8696,0.1122,0.0305,2.11,1.89,870.0,6.98,8.7
00:01:00,3.7360,1.8700,0.1316,0.0357,2.48,2.22,847.0,6.99,8.47
00:01:10,3.5490,1.7909,0.1493,0.0407,2.81,2.52,867.0,6.36,8.67
00:01:20,3.1520,1.6558,0.1638,0.0453,3.08,2.81,562.0,5.22,5.62
00:01:30,2.9570,1.5132,0.1762,0.0495,3.31,3.07,615.0,4.47,6.15
00:01:40,2.8960,1.3201,0.1868,0.0532,3.51,3.30,267.0,3.82,2.67
00:01:50,2.4080,0.3814,0.1894,0.0542,3.56,3.36,651.0,0.92,6.51
00:02:00,2.9580,1.5467,0.2021,0.0585,3.80,3.63,806.0,4.58,8.06
00:02:10,3.5270,1.7783,0.2195,0.0635,4.13,3.94,771.0,6.27,7.71
00:02:20,3.0950,1.5907,0.2332,0.0679,4.38,4.21,595.0,4.92,5.95
00:02:30,5.3160,0.0522,0.2339,0.0680,4.40,4.22,660.0,0.28,6.6
00:02:40,2.9010,1.3053,0.2445,0.0716,4.60,4.44,321.0,3.79,3.21
00:02:50,3.1720,0.6088,0.2498,0.0733,4.70,4.55,862.0,1.93,8.62
00:03:00,3.7550,1.8798,0.2694,0.0786,5.07,4.87,867.0,7.06,8.67
00:03:10,3.7620,1.8864,0.2891,0.0838,5.44,5.20,722.0,7.1,7.22
00:03:20,2.9490,1.4364,0.3009,0.0878,5.66,5.45,785.0,4.24,7.85
00:03:30,3.5080,1.7493,0.3180,0.0926,5.98,5.75,840.0,6.14,8.4
00:03:40,3.6390,1.8228,0.3364,0.0977,6.33,6.06,833.0,6.63,8.33
00:03:50,3.6230,1.8143,0.3546,0.1028,6.67,6.37,833.0,6.57,8.33
00:04:00,3.6090,1.8071,0.3728,0.1078,7.01,6.68,832.0,6.52,8.32
00:04:10,3.6090,1.8027,0.3908,0.1128,7.35,7.00,830.0,6.51,8.3
00:04:20,3.6020,1.8049,0.4089,0.1178,7.69,7.31,828.0,6.5,8.28
00:04:30,3.6030,1.8056,0.4270,0.1228,8.03,7.62,830.0,6.51,8.3
00:04:40,3.5990,1.8038,0.4450,0.1278,8.37,7.93,830.0,6.49,8.3
00:04:50,3.5960,1.8009,0.4630,0.1328,8.71,8.24,830.0,6.48,8.3
00:05:00,3.6010,1.8042,0.4810,0.1378,9.05,8.55,829.0,6.5,8.29
00:05:10,3.5950,1.8015,0.4990,0.1428,9.38,8.86,829.0,6.48,8.29
00:05:20,3.6010,1.8028,0.5170,0.1478,9.72,9.17,832.0,6.49,8.32
00:05:30,3.6110,1.8082,0.5352,0.1529,10.06,9.48,834.0,6.53,8.34
00:05:40,3.6160,1.8110,0.5534,0.1579,10.41,9.79,834.0,6.55,8.34
00:05:50,3.6120,1.8107,0.5715,0.1629,10.75,10.11,832.0,6.54,8.32
00:06:00,3.6100,1.8108,0.5897,0.1680,11.09,10.42,831.0,6.54,8.31
00:06:10,3.6110,1.8119,0.6079,0.1730,11.43,10.73,836.0,6.54,8.36
00:06:20,3.6130,1.8096,0.6260,0.1780,11.77,11.04,837.0,6.54,8.37
00:06:30,3.6140,1.8119,0.6442,0.1831,12.12,11.35,836.0,6.55,8.36
00:06:40,3.6210,1.8160,0.6625,0.1881,12.46,11.67,836.0,6.58,8.36
00:06:50,3.6240,1.8160,0.6808,0.1931,12.80,11.98,839.0,6.58,8.39
00:07:00,3.6220,1.8170,0.6991,0.1982,13.15,12.29,837.0,6.58,8.37
00:07:10,3.6250,1.8170,0.7174,0.2032,13.49,12.61,837.0,6.59,8.37
00:07:20,3.6160,1.8143,0.7356,0.2083,13.83,12.92,840.0,6.56,8.4
00:07:30,3.6200,1.8156,0.7538,0.2133,14.18,13.23,840.0,6.57,8.4
00:07:40,3.6260,1.8167,0.7721,0.2184,14.52,13.54,839.0,6.59,8.39
00:07:50,3.6290,1.8197,0.7905,0.2234,14.87,13.86,843.0,6.6,8.43
00:08:00,3.6310,1.8217,0.8088,0.2285,15.21,14.17,844.0,6.61,8.44
00:08:10,3.6360,1.8238,0.8273,0.2335,15.56,14.49,848.0,6.63,8.48
00:08:20,3.6530,1.8313,0.8459,0.2386,15.91,14.80,853.0,6.69,8.53
00:08:30,3.6340,1.8257,0.8643,0.2437,16.25,15.12,863.0,6.63,8.63
00:08:40,3.7060,1.8599,0.8834,0.2489,16.61,15.44,644.0,6.89,6.44
00:08:50,2.9480,1.3692,0.8946,0.2527,16.82,15.67,494.0,4.04,4.94
00:09:00,5.3160,0.0092,0.8948,0.2527,16.83,15.67,867.0,0.05,8.67
00:09:10,3.7080,1.8582,0.9139,0.2579,17.19,15.99,870.0,6.89,8.7
00:09:20,3.7170,1.8628,0.9331,0.2630,17.55,16.32,871.0,6.92,8.71
00:09:30,3.7090,1.8634,0.9523,0.2682,17.91,16.64,868.0,6.91,8.68
00:09:40,3.6610,1.8396,0.9711,0.2733,18.26,16.95,844.0,6.73,8.44
00:09:50,3.3670,1.7139,0.9871,0.2781,18.56,17.25,613.0,5.77,6.13
00:10:00,2.9380,1.3907,0.9984,0.2819,18.78,17.49,602.0,4.09,6.02
00:10:10,2.8860,1.3899,1.0096,0.2858,18.99,17.73,892.0,4.01,8.92
00:10:20,3.7800,1.8940,1.0295,0.2911,19.36,18.05,896.0,7.16,8.96
00:10:30,3.7900,1.9026,1.0495,0.2964,19.74,18.38,698.0,7.21,6.98
00:10:40,2.9690,1.4480,1.0614,0.3004,19.96,18.63,575.0,4.3,5.75
00:10:50,2.8910,1.2815,1.0717,0.3039,20.15,18.85,738.0,3.7,7.38
00:11:00,2.9720,1.5346,1.0844,0.3082,20.39,19.12,759.0,4.56,7.59
