Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Sunlight Level
00:00:00,4.9280,0.9991,0.0137,0.0028,0.15,0.13,833.0,4.92,8.33
00:00:10,4.9260,0.9991,0.0273,0.0056,0.30,0.27,843.0,4.92,8.43
00:00:20,4.9250,0.9989,0.0410,0.0083,0.45,0.40,842.0,4.92,8.42
00:00:30,4.9250,0.9989,0.0547,0.0111,0.59,0.54,841.0,4.92,8.41
00:00:40,4.9240,0.9987,0.0683,0.0139,0.74,0.67,842.0,4.92,8.42
00:00:50,4.9240,0.9988,0.0820,0.0166,0.89,0.81,840.0,4.92,8.4
00:01:00,4.9220,0.9988,0.0957,0.0194,1.04,0.94,840.0,4.92,8.4
00:01:10,4.9220,0.9989,0.1093,0.0222,1.19,1.08,838.0,4.92,8.38
00:01:20,4.9210,0.9987,0.1230,0.0250,1.34,1.21,838.0,4.91,8.38
00:01:30,4.9200,0.9981,0.1366,0.0277,1.49,1.35,838.0,4.91,8.38
00:01:40,4.9200,0.9985,0.1503,0.0305,1.63,1.48,834.0,4.91,8.34
00:01:50,4.9190,0.9986,0.1639,0.0333,1.78,1.62,831.0,4.91,8.31
00:02:00,4.9180,0.9986,0.1775,0.0361,1.93,1.75,827.0,4.91,8.27
00:02:10,4.9170,0.9984,0.1912,0.0388,2.08,1.88,822.0,4.91,8.22
00:02:20,4.9160,0.9987,0.2048,0.0416,2.23,2.02,821.0,4.91,8.21
00:02:30,4.9160,0.9985,0.2184,0.0444,2.38,2.15,816.0,4.91,8.16
00:02:40,4.9150,0.9986,0.2321,0.0472,2.53,2.29,815.0,4.91,8.15
00:02:50,4.9150,0.9983,0.2457,0.0499,2.67,2.42,814.0,4.91,8.14
00:03:00,4.9140,0.9985,0.2593,0.0527,2.82,2.56,815.0,4.91,8.15
00:03:10,4.9140,0.9985,0.2730,0.0555,2.97,2.69,813.0,4.91,8.13
00:03:20,4.9140,0.9986,0.2866,0.0583,3.12,2.83,811.0,4.91,8.11
00:03:30,4.9130,0.9984,0.3002,0.0610,3.27,2.96,809.0,4.91,8.09
00:03:40,4.9120,0.9986,0.3139,0.0638,3.42,3.10,810.0,4.91,8.1
00:03:50,4.9120,0.9983,0.3275,0.0666,3.56,3.23,807.0,4.9,8.07
00:04:00,4.9120,0.9986,0.3411,0.0693,3.71,3.36,806.0,4.91,8.06
00:04:10,4.9110,0.9985,0.3547,0.0721,3.86,3.50,807.0,4.9,8.07
00:04:20,4.9110,0.9986,0.3683,0.0749,4.01,3.63,803.0,4.9,8.03
00:04:30,4.9100,0.9984,0.3820,0.0777,4.16,3.77,803.0,4.9,8.03
00:04:40,4.9100,0.9986,0.3956,0.0804,4.30,3.90,803.0,4.9,8.03
00:04:50,4.9220,0.9691,0.4088,0.0831,4.45,4.03,802.0,4.77,8.02
00:05:00,4.9100,0.9984,0.4224,0.0859,4.60,4.17,801.0,4.9,8.01
00:05:10,4.9100,0.9985,0.4361,0.0887,4.75,4.30,799.0,4.9,7.99
00:05:20,4.9100,0.9983,0.4497,0.0915,4.89,4.44,801.0,4.9,8.01
00:05:30,4.9090,0.9985,0.4633,0.0942,5.04,4.57,799.0,4.9,7.99
00:05:40,4.9090,0.9987,0.4769,0.0970,5.19,4.71,796.0,4.9,7.96
00:05:50,4.9080,0.9986,0.4905,0.0998,5.34,4.84,792.0,4.9,7.92
00:06:00,4.9080,0.9984,0.5041,0.1026,5.49,4.98,791.0,4.9,7.91
00:06:10,4.9070,0.9991,0.5178,0.1053,5.63,5.11,789.0,4.9,7.89
00:06:20,4.9070,0.9987,0.5314,0.1081,5.78,5.24,790.0,4.9,7.9
00:06:30,4.9070,0.9987,0.5450,0.1109,5.93,5.38,788.0,4.9,7.88
00:06:40,4.9070,0.9988,0.5586,0.1136,6.08,5.51,787.0,4.9,7.87
00:06:50,4.9070,0.9985,0.5722,0.1164,6.23,5.65,785.0,4.9,7.85
00:07:00,4.9060,0.9985,0.5858,0.1192,6.37,5.78,785.0,4.9,7.85
00:07:10,4.9060,0.9989,0.5994,0.1220,6.52,5.92,781.0,4.9,7.81
00:07:20,4.9060,0.9985,0.6130,0.1247,6.67,6.05,782.0,4.9,7.82
00:07:30,4.9060,0.9984,0.6266,0.1275,6.82,6.19,781.0,4.9,7.81
00:07:40,4.9050,0.9987,0.6402,0.1303,6.97,6.32,782.0,4.9,7.82
00:07:50,4.9050,0.9987,0.6539,0.1331,7.11,6.46,782.0,4.9,7.82
00:08:00,4.9050,0.9985,0.6675,0.1358,7.26,6.59,782.0,4.9,7.82
00:08:10,4.9050,0.9984,0.6811,0.1386,7.41,6.72,781.0,4.9,7.81
00:08:20,4.9040,0.9986,0.6947,0.1414,7.56,6.86,780.0,4.9,7.8
00:08:30,4.9040,0.9985,0.7083,0.1442,7.71,6.99,782.0,4.9,7.82
00:08:40,4.9040,0.9984,0.7219,0.1469,7.85,7.13,780.0,4.9,7.8
00:08:50,4.9040,0.9985,0.7355,0.1497,8.00,7.26,782.0,4.9,7.82
00:09:00,4.9030,0.9987,0.7491,0.1525,8.15,7.40,771.0,4.9,7.71
00:09:10,4.9030,0.9985,0.7627,0.1553,8.30,7.53,770.0,4.9,7.7
00:09:20,4.9030,0.9984,0.7763,0.1580,8.45,7.67,769.0,4.9,7.69
00:09:30,4.9030,0.9985,0.7899,0.1608,8.59,7.80,768.0,4.9,7.68
00:09:40,4.9030,0.9985,0.8035,0.1636,8.74,7.94,772.0,4.9,7.72
00:09:50,0.5400,0.0000,0.8035,0.1636,8.74,7.94,767.0,0.0,7.67
00:10:00,4.9030,0.9986,0.8171,0.1663,8.89,8.07,770.0,4.9,7.7
00:10:10,4.9030,0.9985,0.8307,0.1691,9.04,8.20,779.0,4.9,7.79
00:10:20,4.9030,0.9983,0.8443,0.1719,9.19,8.34,776.0,4.89,7.76
00:10:30,4.9020,0.9986,0.8579,0.1747,9.33,8.47,788.0,4.9,7.88
00:10:40,4.9020,0.9983,0.8715,0.1774,9.48,8.61,793.0,4.89,7.93
00:10:50,5.1560,0.0170,0.8717,0.1775,9.49,8.61,134.7,0.09,1.347
00:11:00,5.1600,0.0090,0.8718,0.1775,9.49,8.61,124.2,0.05,1.242
00:11:10,5.1600,0.0090,0.8720,0.1775,9.49,8.61,125.3,0.05,1.253
00:11:20,4.2500,0.0635,0.8727,0.1777,9.50,8.62,107.8,0.27,1.078
00:11:30,5.0240,0.0417,0.8733,0.1778,9.50,8.63,104.8,0.21,1.048
00:11:40,5.1610,0.0090,0.8734,0.1779,9.50,8.63,103.0,0.05,1.03
00:11:50,5.1610,0.0090,0.8735,0.1779,9.51,8.63,103.6,0.05,1.036
00:12:00,5.1620,0.0090,0.8737,0.1779,9.51,8.63,105.8,0.05,1.058
00:12:10,5.1620,0.0090,0.8738,0.1779,9.51,8.63,102.0,0.05,1.02
00:12:20,5.1620,0.0090,0.8739,0.1780,9.51,8.63,100.2,0.05,1.002
00:12:30,5.1630,0.0088,0.8741,0.1780,9.51,8.63,99.1,0.05,0.991
00:12:40,5.1630,0.0090,0.8742,0.1780,9.51,8.64,95.9,0.05,0.959
