Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Sunlight Level
00:00:00,5.1480,0.0090,0.0001,0.0000,0.01,0.00,833.0,0.05,8.33
00:00:10,4.7800,0.0432,0.0007,0.0001,0.03,0.03,843.0,0.21,8.43
00:00:20,4.9170,0.9989,0.0143,0.0029,0.61,0.54,842.0,4.91,8.42
00:00:30,4.9310,0.9992,0.0280,0.0057,1.19,1.05,841.0,4.93,8.41
00:00:40,4.9240,0.9991,0.0417,0.0085,1.77,1.56,842.0,4.92,8.42
00:00:50,4.2680,0.9657,0.0531,0.0112,2.25,2.06,840.0,4.12,8.4
00:01:00,4.4740,0.1385,0.0549,0.0115,2.33,2.13,840.0,0.62,8.4
00:01:10,5.1490,0.0092,0.0550,0.0116,2.33,2.14,838.0,0.05,8.38
00:01:20,5.1490,0.0091,0.0551,0.0116,2.34,2.14,838.0,0.05,8.38
00:01:30,4.6100,0.0694,0.0560,0.0118,2.38,2.18,838.0,0.32,8.38
00:01:40,5.1490,0.0091,0.0561,0.0118,2.38,2.18,834.0,0.05,8.34
00:01:50,2.5300,0.2044,0.0576,0.0124,2.44,2.29,831.0,0.52,8.31
00:02:00,2.5220,0.2000,0.0590,0.0129,2.50,2.39,827.0,0.5,8.27
00:02:10,2.5210,0.1981,0.0604,0.0135,2.56,2.49,822.0,0.5,8.22
00:02:20,2.5190,0.2004,0.0618,0.0140,2.62,2.59,821.0,0.5,8.21
00:02:30,3.6900,0.1460,0.0633,0.0144,2.68,2.67,816.0,0.54,8.16
00:02:40,5.1480,0.0092,0.0634,0.0145,2.69,2.67,815.0,0.05,8.15
00:02:50,4.9320,0.9990,0.0771,0.0172,3.27,3.18,814.0,4.93,8.14
00:03:00,4.9310,0.9990,0.0908,0.0200,3.85,3.70,815.0,4.93,8.15
00:03:10,4.9320,0.9991,0.1045,0.0228,4.43,4.21,813.0,4.93,8.13
00:03:20,4.9350,0.9993,0.1182,0.0256,5.01,4.72,811.0,4.93,8.11
00:03:30,4.9340,0.9992,0.1319,0.0283,5.59,5.24,809.0,4.93,8.09
00:03:40,4.9330,0.9987,0.1455,0.0311,6.18,5.75,810.0,4.93,8.1
00:03:50,4.9330,0.9991,0.1592,0.0339,6.76,6.26,807.0,4.93,8.07
00:04:00,4.9320,0.9993,0.1729,0.0367,7.34,6.77,806.0,4.93,8.06
00:04:10,4.9320,0.9995,0.1866,0.0394,7.92,7.29,807.0,4.93,8.07
00:04:20,4.9320,0.9994,0.2003,0.0422,8.50,7.80,803.0,4.93,8.03
00:04:30,4.9340,0.9998,0.2140,0.0450,9.08,8.31,803.0,4.93,8.03
00:04:40,4.9350,0.9990,0.2277,0.0478,9.66,8.82,803.0,4.93,8.03
00:04:50,4.9530,0.9992,0.2414,0.0506,10.24,9.34,802.0,4.95,8.02
00:05:00,5.1490,0.0084,0.2416,0.0506,10.25,9.34,801.0,0.04,8.01
00:05:10,4.1630,0.0756,0.2424,0.0508,10.29,9.38,799.0,0.31,7.99
00:05:20,2.5980,0.2254,0.2441,0.0514,10.36,9.50,801.0,0.59,8.01
00:05:30,5.1480,0.0091,0.2442,0.0514,10.36,9.50,799.0,0.05,7.99
