Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Sunlight Level
00:00:00,3.3500,2.4219,0.0225,0.0067,0.71,0.66,834.0,8.11,8.34
00:00:10,3.1950,2.3308,0.0432,0.0132,1.36,1.29,90.9,7.45,0.909
00:00:20,3.0300,2.2018,0.0618,0.0193,1.95,1.89,837.0,6.67,8.37
00:00:30,3.3380,2.4039,0.0840,0.0260,2.65,2.54,841.0,8.02,8.41
00:00:40,3.3880,2.4068,0.1067,0.0327,3.36,3.19,849.0,8.15,8.49
00:00:50,3.3440,2.4163,0.1291,0.0394,4.07,3.84,809.0,8.08,8.09
00:01:00,3.3430,2.4188,0.1516,0.0461,4.77,4.50,842.0,8.09,8.42
00:01:10,3.3410,2.4151,0.1740,0.0528,5.48,5.15,844.0,8.07,8.44
00:01:20,3.3620,2.4283,0.1967,0.0596,6.20,5.81,848.0,8.16,8.48
00:01:30,3.3620,2.4283,0.2194,0.0663,6.91,6.47,852.0,8.16,8.52
00:01:40,3.3680,2.4313,0.2421,0.0731,7.63,7.13,852.0,8.19,8.52
00:01:50,3.3760,2.4358,0.2650,0.0798,8.35,7.79,856.0,8.22,8.56
00:02:00,3.3730,2.4327,0.2878,0.0866,9.06,8.45,858.0,8.21,8.58
00:02:10,3.3630,2.4260,0.3104,0.0933,9.78,9.11,858.0,8.16,8.58
00:02:20,3.3680,2.4296,0.3331,0.1001,10.49,9.77,860.0,8.18,8.6
00:02:30,3.2580,2.3690,0.3546,0.1067,11.17,10.41,856.0,7.72,8.56
00:02:40,2.6900,1.0207,0.3622,0.1095,11.41,10.68,573.0,2.75,5.73
00:02:50,2.8080,1.5597,0.3744,0.1138,11.79,11.11,656.0,4.38,6.56
00:03:00,2.6220,0.8951,0.3809,0.1163,12.00,11.35,281.0,2.35,2.81
00:03:10,2.6120,0.8532,0.3871,0.1187,12.19,11.58,300.0,2.23,3.0
00:03:20,2.6090,0.8371,0.3932,0.1210,12.38,11.81,228.0,2.18,2.28
00:03:30,2.8230,1.8943,0.4080,0.1263,12.85,12.32,686.0,5.35,6.86
00:03:40,3.3510,2.4138,0.4305,0.1330,13.56,12.98,861.0,8.09,8.61
00:03:50,3.3780,2.4309,0.4533,0.1397,14.28,13.64,865.0,8.21,8.65
00:04:00,2.8940,1.8939,0.4685,0.1450,14.76,14.15,767.0,5.48,7.67
00:04:10,2.5550,0.6433,0.4731,0.1468,14.90,14.32,225.0,1.64,2.25
00:04:20,2.5710,0.7248,0.4783,0.1488,15.06,14.52,167.3,1.86,1.673
00:04:30,2.5700,0.7198,0.4834,0.1508,15.23,14.71,214.0,1.85,2.14
00:04:40,2.5750,0.7364,0.4887,0.1528,15.39,14.91,313.0,1.9,3.13
00:04:50,2.5700,0.7100,0.4937,0.1548,15.55,15.11,204.0,1.82,2.04
00:05:00,2.5300,0.5818,0.4978,0.1564,15.68,15.26,157.9,1.47,1.579
00:05:10,2.5350,0.5945,0.5020,0.1581,15.81,15.43,159.3,1.51,1.593
00:05:20,2.5700,0.7130,0.5071,0.1601,15.97,15.62,237.0,1.83,2.37
00:05:30,2.5970,0.8349,0.5131,0.1624,16.16,15.85,246.0,2.17,2.46
00:05:40,2.5850,0.7983,0.5188,0.1646,16.34,16.06,227.0,2.06,2.27
00:05:50,2.6640,1.1485,0.5273,0.1678,16.61,16.37,324.0,3.06,3.24
00:06:00,3.0280,2.2799,0.5465,0.1741,17.21,16.99,699.0,6.9,6.99
00:06:10,3.3630,2.3896,0.5688,0.1807,17.92,17.64,759.0,8.04,7.59
00:06:20,3.2260,2.3551,0.5899,0.1873,18.58,18.28,876.0,7.6,8.76
00:06:30,2.5310,0.5841,0.5941,0.1889,18.71,18.44,345.0,1.48,3.45
00:06:40,2.5210,0.5622,0.5980,0.1905,18.83,18.59,155.5,1.42,1.555
00:06:50,2.5210,0.5643,0.6019,0.1920,18.96,18.74,152.4,1.42,1.524
00:07:00,2.5970,0.8829,0.6083,0.1945,19.16,18.98,202.0,2.29,2.02
00:07:10,2.5430,0.6760,0.6131,0.1964,19.31,19.16,190.5,1.72,1.905
00:07:20,2.6440,1.1102,0.6212,0.1995,19.57,19.46,336.0,2.94,3.36
00:07:30,2.6570,1.1661,0.6298,0.2027,19.84,19.78,400.0,3.1,4.0
00:07:40,2.8710,2.1182,0.6467,0.2086,20.37,20.35,600.0,6.08,6.0
00:07:50,2.5290,0.6867,0.6516,0.2105,20.52,20.54,259.0,1.74,2.59
00:08:00,2.7310,1.5389,0.6632,0.2148,20.89,20.96,571.0,4.2,5.71
