Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Power Score,Sun Score,Irradiance/100,Efficiency(%),Efficiency Score
00:00:00,4.5630,1.9989,0.0253,0.0056,0.37,0.36,669.0,9.12,91.2,66.9,6.69,0.83,-24.3
00:00:10,4.5630,2.0001,0.0507,0.0111,0.74,0.73,667.0,9.13,91.3,66.7,6.67,0.83,-24.6
00:00:20,4.5720,1.9994,0.0761,0.0167,1.12,1.09,662.0,9.14,91.4,66.2,6.62,0.84,-25.2
00:00:30,4.5760,1.9993,0.1015,0.0222,1.49,1.46,660.0,9.15,91.5,66.0,6.6,0.84,-25.5
00:00:40,4.5680,1.9986,0.1269,0.0278,1.86,1.82,656.0,9.13,91.3,65.6,6.56,0.84,-25.7
00:00:50,4.5650,1.9999,0.1522,0.0333,2.23,2.19,655.0,9.13,91.3,65.5,6.55,0.84,-25.8
00:01:00,4.5630,1.9986,0.1775,0.0389,2.61,2.55,654.0,9.12,91.2,65.4,6.54,0.85,-25.8
00:01:10,4.5630,1.9981,0.2029,0.0444,2.98,2.92,654.0,9.12,91.2,65.4,6.54,0.85,-25.8
00:01:20,4.5600,1.9990,0.2282,0.0500,3.35,3.28,657.0,9.12,91.2,65.7,6.57,0.84,-25.5
00:01:30,4.5580,1.9979,0.2535,0.0555,3.72,3.65,657.0,9.11,91.1,65.7,6.57,0.84,-25.4
00:01:40,4.5540,1.9992,0.2788,0.0611,4.09,4.01,657.0,9.1,91.0,65.7,6.57,0.84,-25.3
00:01:50,4.5510,1.9982,0.3040,0.0666,4.46,4.38,658.0,9.09,90.9,65.8,6.58,0.84,-25.1
00:02:00,4.5500,1.9985,0.3293,0.0722,4.83,4.74,658.0,9.09,90.9,65.8,6.58,0.84,-25.1
00:02:10,4.5480,1.9987,0.3545,0.0777,5.21,5.11,659.0,9.09,90.9,65.9,6.59,0.84,-25.0
00:02:20,4.5480,1.9976,0.3798,0.0833,5.58,5.47,659.0,9.09,90.9,65.9,6.59,0.84,-25.0
00:02:30,4.5440,1.9987,0.4050,0.0888,5.95,5.84,659.0,9.08,90.8,65.9,6.59,0.84,-24.9
00:02:40,4.5420,1.9987,0.4302,0.0944,6.32,6.20,658.0,9.08,90.8,65.8,6.58,0.84,-25.0
00:02:50,4.5410,1.9982,0.4554,0.0999,6.69,6.56,662.0,9.07,90.7,66.2,6.62,0.83,-24.5
00:03:00,4.5380,2.0001,0.4806,0.1055,7.06,6.93,662.0,9.08,90.8,66.2,6.62,0.83,-24.6
00:03:10,4.5360,1.9991,0.5058,0.1110,7.43,7.29,662.0,9.07,90.7,66.2,6.62,0.83,-24.5
00:03:20,4.5340,1.9985,0.5310,0.1166,7.80,7.66,661.0,9.06,90.6,66.1,6.61,0.83,-24.5
00:03:30,4.5310,1.9987,0.5562,0.1222,8.17,8.02,660.0,9.06,90.6,66.0,6.6,0.83,-24.6
00:03:40,4.5310,1.9984,0.5813,0.1277,8.53,8.39,660.0,9.05,90.5,66.0,6.6,0.83,-24.5
00:03:50,4.5290,1.9972,0.6064,0.1332,8.90,8.75,662.0,9.05,90.5,66.2,6.62,0.83,-24.3
00:04:00,4.5250,1.9991,0.6316,0.1388,9.27,9.12,665.0,9.05,90.5,66.5,6.65,0.82,-24.0
00:04:10,4.5220,1.9981,0.6567,0.1444,9.64,9.48,666.0,9.04,90.4,66.6,6.66,0.82,-23.8
00:04:20,0.5780,0.0000,0.6567,0.1444,9.64,9.48,666.0,0.0,0.0,66.6,6.66,0.0,66.6
00:04:30,4.5270,1.9978,0.6818,0.1499,10.01,9.85,666.0,9.04,90.4,66.6,6.66,0.82,-23.8
00:04:40,4.5210,1.9979,0.7069,0.1555,10.38,10.21,664.0,9.03,90.3,66.4,6.64,0.82,-23.9
00:04:50,4.5180,1.9981,0.7320,0.1610,10.75,10.58,666.0,9.03,90.3,66.6,6.66,0.82,-23.7
00:05:00,4.5160,1.9990,0.7570,0.1666,11.11,10.94,666.0,9.03,90.3,66.6,6.66,0.82,-23.7
00:05:10,4.5130,1.9982,0.7821,0.1721,11.48,11.31,665.0,9.02,90.2,66.5,6.65,0.82,-23.7
00:05:20,4.5100,1.9984,0.8071,0.1777,11.85,11.67,664.0,9.01,90.1,66.4,6.64,0.82,-23.7
00:05:30,4.5060,1.9987,0.8321,0.1832,12.22,12.03,666.0,9.01,90.1,66.6,6.66,0.82,-23.5
00:05:40,4.5060,1.9984,0.8571,0.1888,12.58,12.40,666.0,9.0,90.0,66.6,6.66,0.82,-23.4
00:05:50,4.5020,1.9983,0.8821,0.1943,12.95,12.76,667.0,9.0,90.0,66.7,6.67,0.82,-23.3
00:06:00,4.4990,1.9985,0.9071,0.1999,13.32,13.13,667.0,8.99,89.9,66.7,6.67,0.82,-23.2
00:06:10,4.4960,1.9985,0.9321,0.2054,13.68,13.49,670.0,8.99,89.9,67.0,6.7,0.81,-22.9
00:06:20,4.4950,1.9986,0.9570,0.2110,14.05,13.86,670.0,8.98,89.8,67.0,6.7,0.81,-22.8
00:06:30,4.4920,1.9984,0.9820,0.2165,14.42,14.22,671.0,8.98,89.8,67.1,6.71,0.81,-22.7
00:06:40,4.4900,1.9982,1.0069,0.2221,14.78,14.59,670.0,8.97,89.7,67.0,6.7,0.81,-22.7
00:06:50,4.4900,1.9982,1.0318,0.2276,15.15,14.95,671.0,8.97,89.7,67.1,6.71,0.81,-22.6
00:07:00,4.4890,1.9978,1.0567,0.2332,15.51,15.32,670.0,8.97,89.7,67.0,6.7,0.81,-22.7
00:07:10,4.4870,1.9982,1.0816,0.2387,15.88,15.68,672.0,8.97,89.7,67.2,6.72,0.81,-22.5
00:07:20,4.4850,1.9983,1.1065,0.2443,16.25,16.05,672.0,8.96,89.6,67.2,6.72,0.81,-22.4
00:07:30,4.4850,1.9980,1.1314,0.2498,16.61,16.41,672.0,8.96,89.6,67.2,6.72,0.81,-22.4
00:07:40,4.4830,1.9983,1.1563,0.2554,16.98,16.77,674.0,8.96,89.6,67.4,6.74,0.81,-22.2
00:07:50,4.4810,1.9969,1.1811,0.2609,17.34,17.14,673.0,8.95,89.5,67.3,6.73,0.81,-22.2
00:08:00,4.4790,1.9985,1.2060,0.2665,17.71,17.50,672.0,8.95,89.5,67.2,6.72,0.81,-22.3
00:08:10,4.4780,1.9986,1.2309,0.2720,18.07,17.87,673.0,8.95,89.5,67.3,6.73,0.81,-22.2
00:08:20,4.4770,1.9986,1.2557,0.2776,18.44,18.23,676.0,8.95,89.5,67.6,6.76,0.8,-21.9
00:08:30,4.4750,1.9987,1.2806,0.2831,18.80,18.60,676.0,8.94,89.4,67.6,6.76,0.8,-21.8
00:08:40,4.4750,1.9983,1.3054,0.2887,19.17,18.96,676.0,8.94,89.4,67.6,6.76,0.8,-21.8
00:08:50,4.4730,1.9984,1.3302,0.2942,19.53,19.33,675.0,8.94,89.4,67.5,6.75,0.8,-21.9
00:09:00,4.4710,1.9985,1.3551,0.2998,19.89,19.69,676.0,8.94,89.4,67.6,6.76,0.8,-21.8
00:09:10,4.4690,1.9984,1.3799,0.3053,20.26,20.06,681.0,8.93,89.3,68.1,6.81,0.79,-21.2
00:09:20,0.5520,0.0000,1.3799,0.3053,20.26,20.06,678.0,0.0,0.0,67.8,6.78,0.0,67.8
00:09:30,4.4810,1.9994,1.4048,0.3109,20.62,20.42,678.0,8.96,89.6,67.8,6.78,0.8,-21.8
00:09:40,4.4780,1.9975,1.4296,0.3164,20.99,20.79,676.0,8.94,89.4,67.6,6.76,0.8,-21.8
00:09:50,4.4730,1.9986,1.4544,0.3220,21.35,21.15,675.0,8.94,89.4,67.5,6.75,0.8,-21.9
00:10:00,4.4730,1.9981,1.4793,0.3275,21.72,21.51,683.0,8.94,89.4,68.3,6.83,0.79,-21.1
00:10:10,4.4710,1.9982,1.5041,0.3331,22.08,21.88,680.0,8.93,89.3,68.0,6.8,0.8,-21.3
00:10:20,4.4700,1.9981,1.5289,0.3386,22.45,22.24,678.0,8.93,89.3,67.8,6.78,0.8,-21.5
00:10:30,4.4720,1.9976,1.5537,0.3442,22.81,22.61,677.0,8.93,89.3,67.7,6.77,0.8,-21.6
00:10:40,4.4950,1.9977,1.5786,0.3497,23.18,22.97,681.0,8.98,89.8,68.1,6.81,0.8,-21.7
00:10:50,1.9690,0.2190,1.5798,0.3503,23.19,23.01,681.0,0.43,4.3,68.1,6.81,0.04,63.8
00:11:00,4.4740,1.9992,1.6047,0.3559,23.56,23.38,680.0,8.94,89.4,68.0,6.8,0.8,-21.4
00:11:10,4.4810,1.9980,1.6296,0.3614,23.92,23.74,677.0,8.95,89.5,67.7,6.77,0.8,-21.8
00:11:20,4.5090,1.9974,1.6546,0.3670,24.29,24.11,683.0,9.01,90.1,68.3,6.83,0.8,-21.8
00:11:30,4.5280,1.9972,1.6797,0.3725,24.66,24.47,687.0,9.04,90.4,68.7,6.87,0.8,-21.7
00:11:40,4.9830,0.9054,1.6922,0.3751,24.84,24.64,682.0,4.51,45.1,68.2,6.82,0.4,23.1
00:11:50,4.7180,1.7792,1.7155,0.3800,25.19,24.96,682.0,8.39,83.9,68.2,6.82,0.75,-15.7
00:12:00,4.5760,1.9814,1.7407,0.3855,25.56,25.32,679.0,9.07,90.7,67.9,6.79,0.81,-22.8
00:12:10,4.5190,1.9975,1.7658,0.3910,25.92,25.69,684.0,9.03,90.3,68.4,6.84,0.8,-21.9
00:12:20,4.5080,1.9987,1.7908,0.3966,26.29,26.05,682.0,9.01,90.1,68.2,6.82,0.8,-21.9
00:12:30,4.4990,1.9984,1.8158,0.4022,26.66,26.42,685.0,8.99,89.9,68.5,6.85,0.8,-21.4
00:12:40,4.4980,1.9974,1.8408,0.4077,27.02,26.78,686.0,8.98,89.8,68.6,6.86,0.79,-21.2
00:12:50,4.4890,2.0002,1.8657,0.4133,27.39,27.15,685.0,8.98,89.8,68.5,6.85,0.79,-21.3
00:13:00,5.2260,0.0099,1.8659,0.4133,27.39,27.15,684.0,0.05,0.5,68.4,6.84,0.0,67.9
00:13:10,4.8610,1.3758,1.8844,0.4171,27.67,27.40,686.0,6.69,66.9,68.6,6.86,0.59,1.7
00:13:20,4.5210,1.9983,1.9095,0.4227,28.03,27.76,685.0,9.03,90.3,68.5,6.85,0.8,-21.8
00:13:30,4.5030,1.9977,1.9345,0.4282,28.40,28.13,683.0,9.0,90.0,68.3,6.83,0.8,-21.7
00:13:40,4.4940,1.9984,1.9595,0.4338,28.77,28.49,685.0,8.98,89.8,68.5,6.85,0.79,-21.3
00:13:50,5.2270,0.0099,1.9596,0.4338,28.77,28.49,688.0,0.05,0.5,68.8,6.88,0.0,68.3
00:14:00,4.5320,1.9967,1.9847,0.4393,29.14,28.86,687.0,9.05,90.5,68.7,6.87,0.8,-21.8
00:14:10,4.5030,1.9975,2.0097,0.4449,29.51,29.22,685.0,8.99,89.9,68.5,6.85,0.8,-21.4
00:14:20,4.7990,1.6129,2.0312,0.4494,29.82,29.52,688.0,7.74,77.4,68.8,6.88,0.68,-8.6
00:14:30,2.0280,0.2297,2.0325,0.4500,29.84,29.56,687.0,0.47,4.7,68.7,6.87,0.04,64.0
00:14:40,5.0620,0.6338,2.0414,0.4518,29.97,29.67,688.0,3.21,32.1,68.8,6.88,0.28,36.7
00:14:50,4.5130,1.9987,2.0665,0.4573,30.34,30.04,689.0,9.02,90.2,68.9,6.89,0.79,-21.3
00:15:00,4.4980,1.9979,2.0915,0.4629,30.71,30.40,683.0,8.99,89.9,68.3,6.83,0.8,-21.6
00:15:10,4.6710,1.9105,2.1162,0.4682,31.07,30.75,685.0,8.92,89.2,68.5,6.85,0.79,-20.7
00:15:20,4.5020,1.9991,2.1412,0.4737,31.44,31.12,690.0,9.0,90.0,69.0,6.9,0.79,-21.0
00:15:30,4.7660,1.7041,2.1638,0.4785,31.77,31.43,689.0,8.12,81.2,68.9,6.89,0.71,-12.3
00:15:40,4.5030,1.9987,2.1888,0.4840,32.13,31.79,687.0,9.0,90.0,68.7,6.87,0.79,-21.3
00:15:50,4.5780,1.9908,2.2141,0.4895,32.51,32.16,686.0,9.11,91.1,68.6,6.86,0.8,-22.5
00:16:00,4.5020,1.9982,2.2391,0.4951,32.87,32.52,686.0,9.0,90.0,68.6,6.86,0.8,-21.4
00:16:10,4.5380,1.9976,2.2643,0.5006,33.24,32.89,690.0,9.07,90.7,69.0,6.9,0.8,-21.7
00:16:20,2.0210,0.2767,2.2658,0.5014,33.27,32.94,696.0,0.56,5.6,69.6,6.96,0.05,64.0
00:16:30,4.5240,1.9990,2.2910,0.5070,33.63,33.30,691.0,9.04,90.4,69.1,6.91,0.79,-21.3
00:16:40,5.2290,0.0098,2.2911,0.5070,33.64,33.30,689.0,0.05,0.5,68.9,6.89,0.0,68.4
