Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Power Score,Sun Score,Irradiance/100,Efficiency(%)
00:00:00,2.8130,0.8339,0.0065,0.0023,0.09,0.12,273.0,2.35,15.7,27.3,2.73,0.71
00:00:10,5.1640,0.0092,0.0066,0.0023,0.10,0.12,408.0,0.05,0.3,40.8,4.08,0.01
00:00:20,2.9600,1.4266,0.0184,0.0063,0.27,0.32,491.0,4.22,28.1,49.1,4.91,0.7
00:00:30,2.9620,1.4742,0.0305,0.0104,0.44,0.53,515.0,4.37,29.1,51.5,5.15,0.7
00:00:40,2.9310,1.3897,0.0418,0.0143,0.60,0.73,428.0,4.07,27.1,42.8,4.28,0.78
00:00:50,2.9570,1.5285,0.0544,0.0185,0.79,0.95,486.0,4.52,30.1,48.6,4.86,0.76
00:01:00,2.9520,1.5385,0.0670,0.0228,0.97,1.17,504.0,4.54,30.3,50.4,5.04,0.74
00:01:10,2.9030,1.3998,0.0783,0.0267,1.13,1.37,463.0,4.06,27.1,46.3,4.63,0.72
00:01:20,2.8700,1.1232,0.0872,0.0298,1.26,1.53,303.0,3.22,21.5,30.3,3.03,0.87
00:01:30,2.9000,1.1847,0.0968,0.0331,1.40,1.69,375.0,3.44,22.9,37.5,3.75,0.75
00:01:40,2.8330,1.0003,0.1046,0.0359,1.51,1.84,310.0,2.83,18.9,31.0,3.1,0.75
00:01:50,2.9310,1.3523,0.1157,0.0396,1.67,2.03,437.0,3.96,26.4,43.7,4.37,0.74
00:02:00,2.9940,1.5546,0.1286,0.0439,1.86,2.25,521.0,4.65,31.0,52.1,5.21,0.73
00:02:10,2.9600,1.5054,0.1410,0.0481,2.04,2.46,485.0,4.46,29.7,48.5,4.85,0.75
00:02:20,3.0110,1.5844,0.1542,0.0525,2.23,2.69,495.0,4.77,31.8,49.5,4.95,0.79
00:02:30,3.0400,1.6041,0.1678,0.0570,2.43,2.92,522.0,4.88,32.5,52.2,5.22,0.77
00:02:40,3.0020,1.5858,0.1810,0.0614,2.62,3.14,520.0,4.76,31.7,52.0,5.2,0.75
00:02:50,2.9930,1.5775,0.1941,0.0658,2.81,3.37,515.0,4.72,31.5,51.5,5.15,0.75
00:03:00,2.9590,1.5544,0.2069,0.0701,2.99,3.59,505.0,4.6,30.7,50.5,5.05,0.75
00:03:10,2.9350,1.5315,0.2194,0.0743,3.17,3.81,499.0,4.49,29.9,49.9,4.99,0.74
00:03:20,2.8590,1.4153,0.2306,0.0783,3.33,4.01,467.0,4.05,27.0,46.7,4.67,0.71
00:03:30,2.8240,1.2913,0.2407,0.0818,3.48,4.19,415.0,3.65,24.3,41.5,4.15,0.72
00:03:40,2.8180,1.3041,0.2509,0.0855,3.63,4.38,408.0,3.67,24.5,40.8,4.08,0.74
00:03:50,2.8220,1.3300,0.2614,0.0892,3.78,4.57,420.0,3.75,25.0,42.0,4.2,0.73
00:04:00,2.7940,1.2474,0.2710,0.0926,3.92,4.74,401.0,3.49,23.3,40.1,4.01,0.71
00:04:10,2.7970,1.2799,0.2810,0.0962,4.06,4.93,417.0,3.58,23.9,41.7,4.17,0.7
00:04:20,2.7850,1.2553,0.2907,0.0997,4.20,5.11,397.0,3.5,23.3,39.7,3.97,0.72
00:04:30,2.7660,1.2184,0.3001,0.1031,4.34,5.28,393.0,3.37,22.5,39.3,3.93,0.7
00:04:40,2.7280,1.0669,0.3082,0.1060,4.45,5.43,333.0,2.91,19.4,33.3,3.33,0.72
00:04:50,2.7380,1.1332,0.3168,0.1092,4.58,5.59,341.0,3.1,20.7,34.1,3.41,0.75
00:05:00,2.7530,1.1923,0.3259,0.1125,4.71,5.76,368.0,3.28,21.9,36.8,3.68,0.73
00:05:10,2.7750,1.2732,0.3357,0.1160,4.85,5.94,394.0,3.53,23.5,39.4,3.94,0.73
00:05:20,2.8360,1.4525,0.3471,0.1201,5.02,6.15,460.0,4.12,27.5,46.0,4.6,0.73
00:05:30,2.8530,1.4829,0.3589,0.1242,5.19,6.36,475.0,4.23,28.2,47.5,4.75,0.73
00:05:40,2.8000,1.3860,0.3697,0.1280,5.34,6.56,448.0,3.88,25.9,44.8,4.48,0.71
00:05:50,2.7790,1.3357,0.3800,0.1317,5.49,6.75,427.0,3.71,24.7,42.7,4.27,0.71
00:06:00,2.7950,1.3935,0.3908,0.1356,5.65,6.95,443.0,3.89,25.9,44.3,4.43,0.72
00:06:10,2.8210,1.4524,0.4022,0.1396,5.81,7.15,463.0,4.1,27.3,46.3,4.63,0.73
00:06:20,2.9250,1.5341,0.4147,0.1439,5.99,7.37,492.0,4.49,29.9,49.2,4.92,0.75
00:06:30,3.0450,1.6023,0.4282,0.1483,6.19,7.60,519.0,4.88,32.5,51.9,5.19,0.77
00:06:40,3.1090,1.6271,0.4423,0.1529,6.39,7.83,529.0,5.06,33.7,52.9,5.29,0.78
00:06:50,3.1260,1.6342,0.4564,0.1574,6.60,8.06,533.0,5.11,34.1,53.3,5.33,0.79
00:07:00,3.0960,1.6215,0.4704,0.1619,6.80,8.29,527.0,5.02,33.5,52.7,5.27,0.78
00:07:10,3.1200,1.6318,0.4845,0.1664,7.00,8.53,531.0,5.09,33.9,53.1,5.31,0.79
00:07:20,3.1310,1.6361,0.4988,0.1710,7.21,8.76,532.0,5.12,34.1,53.2,5.32,0.79
00:07:30,3.0990,1.6183,0.5127,0.1755,7.41,8.99,531.0,5.02,33.5,53.1,5.31,0.77
00:07:40,3.0400,1.5977,0.5262,0.1799,7.61,9.22,523.0,4.86,32.4,52.3,5.23,0.76
00:07:50,3.0140,1.5856,0.5395,0.1843,7.80,9.44,514.0,4.78,31.9,51.4,5.14,0.76
00:08:00,3.0140,1.5848,0.5527,0.1887,7.99,9.67,518.0,4.78,31.9,51.8,5.18,0.76
00:08:10,2.9540,1.5530,0.5655,0.1930,8.17,9.89,506.0,4.59,30.6,50.6,5.06,0.74
00:08:20,3.0530,1.6021,0.5791,0.1975,8.37,10.12,517.0,4.89,32.6,51.7,5.17,0.78
00:08:30,3.0700,1.6100,0.5928,0.2020,8.57,10.34,521.0,4.94,32.9,52.1,5.21,0.78
00:08:40,3.0860,1.6177,0.6067,0.2065,8.77,10.57,527.0,4.99,33.3,52.7,5.27,0.78
00:08:50,3.0910,1.6196,0.6206,0.2110,8.97,10.81,526.0,5.01,33.4,52.6,5.26,0.78
00:09:00,3.0770,1.6131,0.6343,0.2154,9.17,11.03,525.0,4.96,33.1,52.5,5.25,0.77
00:09:10,3.0780,1.6143,0.6482,0.2199,9.37,11.26,523.0,4.97,33.1,52.3,5.23,0.78
00:09:20,3.0650,1.6089,0.6619,0.2244,9.57,11.49,521.0,4.93,32.9,52.1,5.21,0.78
00:09:30,3.0810,1.6146,0.6757,0.2289,9.77,11.72,524.0,4.97,33.1,52.4,5.24,0.78
00:09:40,3.1130,1.6284,0.6897,0.2334,9.97,11.95,528.0,5.07,33.8,52.8,5.28,0.79
00:09:50,3.1780,1.6490,0.7043,0.2380,10.18,12.19,533.0,5.24,34.9,53.3,5.33,0.81
00:10:00,3.3010,1.6589,0.7195,0.2426,10.40,12.43,537.0,5.48,36.5,53.7,5.37,0.84
00:10:10,3.3150,1.6674,0.7349,0.2472,10.62,12.66,538.0,5.53,36.9,53.8,5.38,0.84
00:10:20,3.3210,1.6717,0.7503,0.2519,10.85,12.90,542.0,5.55,37.0,54.2,5.42,0.84
00:10:30,3.3220,1.6732,0.7657,0.2565,11.07,13.14,541.0,5.56,37.1,54.1,5.41,0.84
00:10:40,3.3230,1.6734,0.7812,0.2612,11.29,13.38,542.0,5.56,37.1,54.2,5.42,0.84
00:10:50,3.3210,1.6737,0.7966,0.2658,11.52,13.61,542.0,5.56,37.1,54.2,5.42,0.84
00:11:00,3.3060,1.6683,0.8119,0.2704,11.74,13.85,540.0,5.52,36.8,54.0,5.4,0.84
00:11:10,3.2990,1.6647,0.8272,0.2751,11.96,14.09,537.0,5.49,36.6,53.7,5.37,0.84
00:11:20,3.2870,1.6612,0.8424,0.2797,12.18,14.33,538.0,5.46,36.4,53.8,5.38,0.83
00:11:30,3.2820,1.6604,0.8575,0.2843,12.40,14.56,538.0,5.45,36.3,53.8,5.38,0.83
00:11:40,3.2830,1.6612,0.8726,0.2889,12.61,14.80,538.0,5.45,36.3,53.8,5.38,0.83
00:11:50,3.2850,1.6631,0.8878,0.2935,12.83,15.03,536.0,5.46,36.4,53.6,5.36,0.83
00:12:00,3.2790,1.6593,0.9029,0.2981,13.05,15.27,535.0,5.44,36.3,53.5,5.35,0.83
00:12:10,3.2790,1.6605,0.9181,0.3028,13.27,15.51,541.0,5.44,36.3,54.1,5.41,0.82
00:12:20,3.2700,1.6579,0.9331,0.3074,13.49,15.74,538.0,5.42,36.1,53.8,5.38,0.83
00:12:30,3.2650,1.6562,0.9481,0.3120,13.71,15.98,536.0,5.41,36.1,53.6,5.36,0.83
00:12:40,3.2630,1.6548,0.9631,0.3166,13.92,16.21,533.0,5.4,36.0,53.3,5.33,0.83
00:12:50,3.2740,1.6574,0.9782,0.3212,14.14,16.45,535.0,5.43,36.2,53.5,5.35,0.83
00:13:00,3.2690,1.6541,0.9932,0.3258,14.36,16.68,534.0,5.41,36.1,53.4,5.34,0.83
00:13:10,3.2540,1.6502,1.0082,0.3303,14.57,16.92,533.0,5.37,35.8,53.3,5.33,0.83
00:13:20,3.2580,1.6516,1.0231,0.3349,14.79,17.15,534.0,5.38,35.9,53.4,5.34,0.83
00:13:30,3.2480,1.6485,1.0380,0.3395,15.00,17.39,535.0,5.35,35.7,53.5,5.35,0.82
00:13:40,3.2410,1.6476,1.0528,0.3441,15.22,17.62,532.0,5.34,35.6,53.2,5.32,0.82
00:13:50,3.2300,1.6441,1.0676,0.3486,15.43,17.86,530.0,5.31,35.4,53.0,5.3,0.82
00:14:00,3.2300,1.6445,1.0823,0.3532,15.64,18.09,528.0,5.31,35.4,52.8,5.28,0.82
00:14:10,3.2360,1.6435,1.0971,0.3578,15.86,18.33,530.0,5.32,35.5,53.0,5.3,0.82
00:14:20,3.2130,1.6373,1.1117,0.3623,16.07,18.56,531.0,5.26,35.1,53.1,5.31,0.81
00:14:30,3.1030,1.6314,1.1258,0.3669,16.27,18.79,527.0,5.06,33.7,52.7,5.27,0.79
00:14:40,3.0890,1.6272,1.1397,0.3714,16.47,19.02,527.0,5.03,33.5,52.7,5.27,0.78
00:14:50,3.0840,1.6234,1.1536,0.3759,16.68,19.25,525.0,5.01,33.4,52.5,5.25,0.78
00:15:00,3.0840,1.6235,1.1675,0.3804,16.88,19.48,524.0,5.01,33.4,52.4,5.24,0.78
00:15:10,3.0890,1.6255,1.1815,0.3849,17.08,19.71,525.0,5.02,33.5,52.5,5.25,0.78
00:15:20,3.0800,1.6226,1.1954,0.3894,17.28,19.95,525.0,5.0,33.3,52.5,5.25,0.78
00:15:30,3.0920,1.6278,1.2093,0.3939,17.48,20.18,525.0,5.03,33.5,52.5,5.25,0.79
00:15:40,3.1020,1.6319,1.2234,0.3985,17.68,20.41,526.0,5.06,33.7,52.6,5.26,0.79
00:15:50,3.0990,1.6302,1.2374,0.4030,17.89,20.64,524.0,5.05,33.7,52.4,5.24,0.79
00:16:00,3.1030,1.6316,1.2515,0.4075,18.09,20.87,524.0,5.06,33.7,52.4,5.24,0.79
00:16:10,3.1470,1.6498,1.2659,0.4121,18.30,21.11,529.0,5.19,34.6,52.9,5.29,0.8
00:16:20,3.2000,1.6653,1.2807,0.4167,18.51,21.35,536.0,5.33,35.5,53.6,5.36,0.82
00:16:30,3.3130,1.6691,1.2961,0.4214,18.73,21.58,537.0,5.53,36.9,53.7,5.37,0.84
00:16:40,3.3400,1.6814,1.3117,0.4261,18.96,21.82,543.0,5.62,37.5,54.3,5.43,0.85
00:16:50,3.3550,1.6894,1.3274,0.4307,19.19,22.06,544.0,5.67,37.8,54.4,5.44,0.85
00:17:00,3.3690,1.6961,1.3433,0.4355,19.42,22.30,546.0,5.71,38.1,54.6,5.46,0.86
00:17:10,3.3840,1.7018,1.3593,0.4402,19.65,22.55,548.0,5.76,38.4,54.8,5.48,0.86
00:17:20,3.3920,1.7089,1.3754,0.4449,19.88,22.79,552.0,5.8,38.7,55.2,5.52,0.86
00:17:30,3.3970,1.7119,1.3916,0.4497,20.11,23.03,553.0,5.82,38.8,55.3,5.53,0.86
00:17:40,3.4100,1.7160,1.4078,0.4545,20.35,23.28,554.0,5.85,39.0,55.4,5.54,0.87
00:17:50,3.4160,1.7180,1.4241,0.4592,20.59,23.52,555.0,5.87,39.1,55.5,5.55,0.87
00:18:00,3.4230,1.7213,1.4405,0.4640,20.82,23.77,556.0,5.89,39.3,55.6,5.56,0.87
00:18:10,3.4350,1.7266,1.4570,0.4688,21.06,24.01,558.0,5.93,39.5,55.8,5.58,0.87
00:18:20,3.4430,1.7306,1.4735,0.4736,21.30,24.26,556.0,5.96,39.7,55.6,5.56,0.88
00:18:30,3.4520,1.7347,1.4901,0.4784,21.54,24.50,558.0,5.99,39.9,55.8,5.58,0.88
00:18:40,3.4670,1.7399,1.5069,0.4833,21.78,24.75,562.0,6.03,40.2,56.2,5.62,0.88
00:18:50,3.4710,1.7418,1.5237,0.4881,22.02,25.00,565.0,6.05,40.3,56.5,5.65,0.88
00:19:00,3.4710,1.7438,1.5405,0.4929,22.27,25.25,564.0,6.05,40.3,56.4,5.64,0.88
