Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance
0day00:00:00,4.7810,2.0000,0.0266,0.0056,1.37,1.37,762
0day00:00:10,4.7930,2.0001,0.0532,0.0111,2.75,2.74,763
0day00:00:20,4.7890,1.9998,0.0798,0.0167,4.12,4.11,763
0day00:00:30,4.7880,1.9996,0.1064,0.0222,5.50,5.49,764
0day00:00:40,4.7880,1.9993,0.1330,0.0278,6.87,6.86,765
0day00:00:50,4.7870,1.9938,0.1595,0.0333,8.24,8.22,763
0day00:01:00,4.7860,1.9986,0.1861,0.0389,9.62,9.60,760
0day00:01:10,4.7860,1.9981,0.2126,0.0444,10.99,10.97,763
0day00:01:20,4.7870,1.9912,0.2391,0.0499,12.36,12.33,759
0day00:01:30,4.7870,1.9987,0.2657,0.0555,13.73,13.70,757
0day00:01:40,4.7860,1.9988,0.2923,0.0611,15.10,15.07,761
0day00:01:50,4.7870,1.9983,0.3188,0.0666,16.48,16.44,759
0day00:02:00,4.7870,1.9984,0.3454,0.0722,17.85,17.81,763
0day00:02:10,4.7860,1.9977,0.3720,0.0777,19.22,19.18,762
0day00:02:20,4.7860,1.9979,0.3985,0.0833,20.60,20.55,762
0day00:02:30,4.7860,1.9943,0.4250,0.0888,21.97,21.92,762
0day00:02:40,4.7850,1.9978,0.4516,0.0943,23.34,23.29,765
0day00:02:50,4.7830,1.9983,0.4781,0.0999,24.71,24.66,760
0day00:03:00,4.7840,1.9980,0.5047,0.1054,26.08,26.03,762
0day00:03:10,4.7830,1.9981,0.5312,0.1110,27.46,27.40,761
0day00:03:20,4.7820,1.9985,0.5578,0.1165,28.83,28.77,762
0day00:03:30,4.7810,1.9992,0.5843,0.1221,30.20,30.14,760
0day00:03:40,4.7800,1.9984,0.6109,0.1276,31.57,31.51,767
0day00:03:50,4.7800,1.9983,0.6374,0.1332,32.94,32.89,766
0day00:04:00,4.7780,1.9983,0.6639,0.1387,34.31,34.26,765
0day00:04:10,4.7780,1.9983,0.6904,0.1443,35.68,35.63,770
0day00:04:20,4.7770,1.9972,0.7169,0.1498,37.05,37.00,767
0day00:04:30,4.7770,1.9983,0.7435,0.1554,38.42,38.37,768
0day00:04:40,4.7770,1.9973,0.7700,0.1609,39.79,39.74,769
0day00:04:50,4.7780,1.9986,0.7965,0.1665,41.16,41.11,768
0day00:05:00,4.7770,1.9983,0.8230,0.1720,42.53,42.48,772
0day00:05:10,4.7760,1.9938,0.8495,0.1776,43.90,43.84,769
0day00:05:20,4.7750,1.9980,0.8760,0.1831,45.27,45.21,772
0day00:05:30,4.7740,1.9980,0.9025,0.1887,46.64,46.59,768
0day00:05:40,4.7740,1.9980,0.9289,0.1942,48.01,47.96,769
0day00:05:50,4.7740,1.9976,0.9554,0.1998,49.38,49.33,769
