Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance (Wh/m2),Irradiance/100
00:00:00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,120.0,1.2
00:00:10,0.0000,0.0000,0.0000,0.0000,0.00,0.00,119.1,1.1909999999999998
00:00:20,2.7640,0.6779,0.0052,0.0019,0.04,0.05,119.3,1.193
00:00:30,2.7590,0.6783,0.0104,0.0038,0.08,0.11,119.4,1.194
00:00:40,2.7530,0.6756,0.0156,0.0056,0.12,0.16,119.5,1.195
00:00:50,2.7480,0.6755,0.0207,0.0075,0.15,0.22,119.3,1.193
00:01:00,2.7410,0.6706,0.0258,0.0094,0.19,0.27,118.1,1.181
00:01:10,2.7340,0.6619,0.0309,0.0112,0.23,0.33,116.7,1.167
00:01:20,2.7250,0.6512,0.0358,0.0130,0.27,0.38,114.3,1.143
00:01:30,2.7190,0.6426,0.0406,0.0148,0.30,0.43,112.5,1.125
00:01:40,2.7130,0.6387,0.0455,0.0166,0.34,0.48,111.6,1.1159999999999999
00:01:50,2.7100,0.6389,0.0503,0.0184,0.37,0.54,111.2,1.112
00:02:00,2.7060,0.6395,0.0551,0.0201,0.41,0.59,111.5,1.115
00:02:10,2.7020,0.6398,0.0599,0.0219,0.44,0.64,111.5,1.115
00:02:20,2.6990,0.6423,0.0647,0.0237,0.48,0.69,110.9,1.109
00:02:30,2.6970,0.6463,0.0695,0.0255,0.52,0.74,111.4,1.114
00:02:40,2.6940,0.6493,0.0744,0.0273,0.55,0.80,112.4,1.124
00:02:50,2.6910,0.6523,0.0793,0.0291,0.59,0.85,112.9,1.129
00:03:00,2.6890,0.6561,0.0842,0.0309,0.62,0.90,112.7,1.127
00:03:10,2.7060,0.6567,0.0891,0.0328,0.66,0.96,113.5,1.135
00:03:20,2.7010,0.6531,0.0940,0.0346,0.70,1.01,113.3,1.133
00:03:30,2.6980,0.6521,0.0989,0.0364,0.73,1.06,113.1,1.131
00:03:40,2.6940,0.6519,0.1038,0.0382,0.77,1.11,112.7,1.127
00:03:50,2.6910,0.6502,0.1086,0.0400,0.81,1.17,112.5,1.125
00:04:00,2.6870,0.6482,0.1135,0.0418,0.84,1.22,112.0,1.12
00:04:10,2.6850,0.6482,0.1183,0.0436,0.88,1.27,111.6,1.1159999999999999
00:04:20,2.6830,0.6508,0.1232,0.0454,0.91,1.32,112.1,1.121
00:04:30,2.6820,0.6552,0.1280,0.0472,0.95,1.38,112.4,1.124
00:04:40,2.6800,0.6569,0.1329,0.0491,0.99,1.43,112.3,1.123
00:04:50,2.6760,0.6552,0.1378,0.0509,1.02,1.48,112.1,1.121
00:05:00,2.6730,0.6538,0.1426,0.0527,1.06,1.54,110.8,1.1079999999999999
00:05:10,2.6710,0.6507,0.1475,0.0545,1.09,1.59,109.8,1.0979999999999999
00:05:20,2.6680,0.6488,0.1523,0.0563,1.13,1.64,109.2,1.092
00:05:30,2.6650,0.6474,0.1571,0.0581,1.16,1.69,108.8,1.088
00:05:40,2.6630,0.6443,0.1618,0.0599,1.20,1.75,107.9,1.079
00:05:50,2.6610,0.6421,0.1666,0.0617,1.24,1.80,107.8,1.078
00:06:00,2.6600,0.6445,0.1714,0.0635,1.27,1.85,108.0,1.08
00:06:10,2.6600,0.6481,0.1761,0.0653,1.31,1.90,108.4,1.084
00:06:20,2.6590,0.6543,0.1810,0.0671,1.34,1.96,109.5,1.095
00:06:30,2.6590,0.6597,0.1858,0.0689,1.38,2.01,110.6,1.1059999999999999
00:06:40,2.6570,0.6617,0.1907,0.0708,1.41,2.06,110.9,1.109
00:06:50,2.6560,0.6653,0.1956,0.0726,1.45,2.12,111.0,1.11
00:07:00,2.6560,0.6715,0.2006,0.0745,1.49,2.17,112.2,1.122
00:07:10,2.6570,0.6859,0.2057,0.0764,1.52,2.23,113.8,1.138
00:07:20,2.6630,0.7156,0.2109,0.0784,1.56,2.28,118.6,1.186
00:07:30,2.6770,0.7724,0.2167,0.0805,1.61,2.35,125.5,1.255
00:07:40,2.7550,1.0376,0.2246,0.0834,1.67,2.43,183.2,1.8319999999999999
00:07:50,2.7000,0.8774,0.2312,0.0858,1.71,2.50,146.3,1.463
00:08:00,2.7400,1.0156,0.2389,0.0886,1.77,2.58,163.8,1.6380000000000001
00:08:10,2.6920,0.8700,0.2454,0.0911,1.82,2.65,147.2,1.472
00:08:20,2.6920,0.8811,0.2520,0.0935,1.87,2.73,146.5,1.465
00:08:30,2.8080,1.2645,0.2619,0.0970,1.94,2.83,188.4,1.8840000000000001
00:08:40,2.8610,1.4367,0.2733,0.1010,2.03,2.94,252,2.52
00:08:50,2.7560,1.1414,0.2821,0.1042,2.09,3.04,213,2.13
00:09:00,2.7040,0.9815,0.2894,0.1069,2.15,3.12,167.7,1.6769999999999998
00:09:10,2.6930,0.9572,0.2966,0.1096,2.20,3.19,162.7,1.6269999999999998
00:09:20,2.6880,0.9544,0.3037,0.1122,2.25,3.27,161.3,1.6130000000000002
00:09:30,2.6790,0.9393,0.3107,0.1148,2.30,3.35,159.1,1.591
00:09:40,2.6680,0.9133,0.3175,0.1174,2.35,3.42,153.8,1.538
00:09:50,2.6550,0.8870,0.3240,0.1198,2.40,3.49,147.8,1.4780000000000002
00:10:00,2.6480,0.8660,0.3304,0.1222,2.45,3.56,143.3,1.433
00:10:10,2.6430,0.8508,0.3366,0.1246,2.50,3.63,140.5,1.405
00:10:20,2.6390,0.8435,0.3428,0.1269,2.54,3.70,138.4,1.3840000000000001
00:10:30,2.6390,0.8466,0.3490,0.1293,2.59,3.77,138.4,1.3840000000000001
00:10:40,2.6390,0.8548,0.3553,0.1317,2.63,3.84,139.3,1.393
00:10:50,2.6460,0.8807,0.3618,0.1341,2.68,3.91,142.9,1.429
00:11:00,2.6480,0.8955,0.3683,0.1366,2.73,3.98,147.4,1.474
00:11:10,2.6450,0.8879,0.3749,0.1391,2.78,4.05,146.3,1.463
