Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Irradiance/100,Power(W),Efficiency(%),Power Score,Sun Score,Efficiency Score
00:00:00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,120.0,1.2,0.0,0.0,12.0,0.0,12.0
00:00:10,0.0000,0.0000,0.0000,0.0000,0.00,0.00,119.1,1.191,0.0,0.0,11.9,0.0,11.9
00:00:20,2.7640,0.6779,0.0052,0.0019,0.04,0.05,119.3,1.193,1.87,0.9,11.9,17.8,-5.9
00:00:30,2.7590,0.6783,0.0104,0.0038,0.08,0.11,119.4,1.194,1.87,0.89,11.9,17.8,-5.9
00:00:40,2.7530,0.6756,0.0156,0.0056,0.12,0.16,119.5,1.195,1.86,0.89,12.0,17.7,-5.7
00:00:50,2.7480,0.6755,0.0207,0.0075,0.15,0.22,119.3,1.193,1.86,0.89,11.9,17.7,-5.8
00:01:00,2.7410,0.6706,0.0258,0.0094,0.19,0.27,118.1,1.181,1.84,0.89,11.8,17.5,-5.7
00:01:10,2.7340,0.6619,0.0309,0.0112,0.23,0.33,116.7,1.167,1.81,0.89,11.7,17.2,-5.5
00:01:20,2.7250,0.6512,0.0358,0.0130,0.27,0.38,114.3,1.143,1.77,0.88,11.4,16.9,-5.5
00:01:30,2.7190,0.6426,0.0406,0.0148,0.30,0.43,112.5,1.125,1.75,0.89,11.3,16.7,-5.4
00:01:40,2.7130,0.6387,0.0455,0.0166,0.34,0.48,111.6,1.116,1.73,0.89,11.2,16.5,-5.3
00:01:50,2.7100,0.6389,0.0503,0.0184,0.37,0.54,111.2,1.112,1.73,0.89,11.1,16.5,-5.4
00:02:00,2.7060,0.6395,0.0551,0.0201,0.41,0.59,111.5,1.115,1.73,0.89,11.2,16.5,-5.3
00:02:10,2.7020,0.6398,0.0599,0.0219,0.44,0.64,111.5,1.115,1.73,0.89,11.2,16.5,-5.3
00:02:20,2.6990,0.6423,0.0647,0.0237,0.48,0.69,110.9,1.109,1.73,0.89,11.1,16.5,-5.4
00:02:30,2.6970,0.6463,0.0695,0.0255,0.52,0.74,111.4,1.114,1.74,0.89,11.1,16.6,-5.5
00:02:40,2.6940,0.6493,0.0744,0.0273,0.55,0.80,112.4,1.124,1.75,0.89,11.2,16.7,-5.5
00:02:50,2.6910,0.6523,0.0793,0.0291,0.59,0.85,112.9,1.129,1.76,0.89,11.3,16.8,-5.5
00:03:00,2.6890,0.6561,0.0842,0.0309,0.62,0.90,112.7,1.127,1.76,0.89,11.3,16.8,-5.5
00:03:10,2.7060,0.6567,0.0891,0.0328,0.66,0.96,113.5,1.135,1.78,0.9,11.4,17.0,-5.6
00:03:20,2.7010,0.6531,0.0940,0.0346,0.70,1.01,113.3,1.133,1.76,0.89,11.3,16.8,-5.5
00:03:30,2.6980,0.6521,0.0989,0.0364,0.73,1.06,113.1,1.131,1.76,0.89,11.3,16.8,-5.5
00:03:40,2.6940,0.6519,0.1038,0.0382,0.77,1.11,112.7,1.127,1.76,0.89,11.3,16.8,-5.5
00:03:50,2.6910,0.6502,0.1086,0.0400,0.81,1.17,112.5,1.125,1.75,0.89,11.3,16.7,-5.4
00:04:00,2.6870,0.6482,0.1135,0.0418,0.84,1.22,112.0,1.12,1.74,0.89,11.2,16.6,-5.4
00:04:10,2.6850,0.6482,0.1183,0.0436,0.88,1.27,111.6,1.116,1.74,0.89,11.2,16.6,-5.4
00:04:20,2.6830,0.6508,0.1232,0.0454,0.91,1.32,112.1,1.121,1.75,0.89,11.2,16.7,-5.5
00:04:30,2.6820,0.6552,0.1280,0.0472,0.95,1.38,112.4,1.124,1.76,0.89,11.2,16.8,-5.6
00:04:40,2.6800,0.6569,0.1329,0.0491,0.99,1.43,112.3,1.123,1.76,0.9,11.2,16.8,-5.6
00:04:50,2.6760,0.6552,0.1378,0.0509,1.02,1.48,112.1,1.121,1.75,0.89,11.2,16.7,-5.5
00:05:00,2.6730,0.6538,0.1426,0.0527,1.06,1.54,110.8,1.108,1.75,0.9,11.1,16.7,-5.6
00:05:10,2.6710,0.6507,0.1475,0.0545,1.09,1.59,109.8,1.098,1.74,0.91,11.0,16.6,-5.6
00:05:20,2.6680,0.6488,0.1523,0.0563,1.13,1.64,109.2,1.092,1.73,0.91,10.9,16.5,-5.6
00:05:30,2.6650,0.6474,0.1571,0.0581,1.16,1.69,108.8,1.088,1.73,0.91,10.9,16.5,-5.6
00:05:40,2.6630,0.6443,0.1618,0.0599,1.20,1.75,107.9,1.079,1.72,0.91,10.8,16.4,-5.6
00:05:50,2.6610,0.6421,0.1666,0.0617,1.24,1.80,107.8,1.078,1.71,0.91,10.8,16.3,-5.5
00:06:00,2.6600,0.6445,0.1714,0.0635,1.27,1.85,108.0,1.08,1.71,0.9,10.8,16.3,-5.5
00:06:10,2.6600,0.6481,0.1761,0.0653,1.31,1.90,108.4,1.084,1.72,0.91,10.8,16.4,-5.6
00:06:20,2.6590,0.6543,0.1810,0.0671,1.34,1.96,109.5,1.095,1.74,0.91,11.0,16.6,-5.6
00:06:30,2.6590,0.6597,0.1858,0.0689,1.38,2.01,110.6,1.106,1.75,0.9,11.1,16.7,-5.6
00:06:40,2.6570,0.6617,0.1907,0.0708,1.41,2.06,110.9,1.109,1.76,0.91,11.1,16.8,-5.7
