Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Power Score,Watts/oz,cW/oz,Sun Score,Irradiance/100,Efficiency(%)
00:00:00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,893.0,0.0,0.0,0.0,0.0,89.3,8.93,0.0
00:00:10,5.1540,0.1023,0.0015,0.0003,0.02,0.01,889.0,0.53,3.5,0.03,0.3,88.9,8.89,0.05
00:00:20,4.5810,1.9954,0.0269,0.0058,0.28,0.27,895.0,9.14,60.9,0.54,5.4,89.5,8.95,0.84
00:00:30,4.5790,1.9948,0.0522,0.0114,0.54,0.53,892.0,9.13,60.9,0.54,5.4,89.2,8.92,0.84
00:00:40,4.5840,1.9934,0.0776,0.0169,0.81,0.79,899.0,9.14,60.9,0.54,5.4,89.9,8.99,0.83
00:00:50,4.5920,1.9926,0.1030,0.0224,1.07,1.05,897.0,9.15,61.0,0.54,5.4,89.7,8.97,0.84
00:01:00,4.5910,1.9929,0.1284,0.0280,1.34,1.31,900.0,9.15,61.0,0.54,5.4,90.0,9.0,0.83
00:01:10,4.5940,1.9925,0.1539,0.0335,1.60,1.57,898.0,9.15,61.0,0.54,5.4,89.8,8.98,0.84
00:01:20,4.5900,1.9919,0.1793,0.0390,1.87,1.83,902.0,9.14,60.9,0.54,5.4,90.2,9.02,0.83
00:01:30,4.5880,1.9919,0.2047,0.0446,2.13,2.09,898.0,9.14,60.9,0.54,5.4,89.8,8.98,0.83
00:01:40,4.5870,1.9913,0.2300,0.0501,2.39,2.35,895.0,9.13,60.9,0.54,5.4,89.5,8.95,0.84
00:01:50,4.5870,1.9912,0.2554,0.0556,2.66,2.61,898.0,9.13,60.9,0.54,5.4,89.8,8.98,0.83
00:02:00,4.5860,1.9903,0.2807,0.0612,2.92,2.87,901.0,9.13,60.9,0.54,5.4,90.1,9.01,0.83
00:02:10,4.5850,1.9907,0.3061,0.0667,3.19,3.13,894.0,9.13,60.9,0.54,5.4,89.4,8.94,0.84
00:02:20,4.5840,1.9904,0.3314,0.0722,3.45,3.39,895.0,9.12,60.8,0.54,5.4,89.5,8.95,0.84
00:02:30,4.5830,1.9911,0.3568,0.0778,3.71,3.65,895.0,9.13,60.9,0.54,5.4,89.5,8.95,0.84
00:02:40,4.5810,1.9906,0.3821,0.0833,3.98,3.91,894.0,9.12,60.8,0.54,5.4,89.4,8.94,0.84
00:02:50,4.5800,1.9897,0.4074,0.0888,4.24,4.17,890.0,9.11,60.7,0.54,5.4,89.0,8.9,0.84
00:03:00,4.5790,1.9901,0.4328,0.0943,4.50,4.43,884.0,9.11,60.7,0.54,5.4,88.4,8.84,0.84
00:03:10,4.5780,1.9903,0.4581,0.0999,4.77,4.69,882.0,9.11,60.7,0.54,5.4,88.2,8.82,0.85
00:03:20,4.5770,1.9906,0.4834,0.1054,5.03,4.95,880.0,9.11,60.7,0.54,5.4,88.0,8.8,0.85
00:03:30,4.5760,1.9905,0.5087,0.1109,5.29,5.21,866.0,9.11,60.7,0.54,5.4,86.6,8.66,0.86
00:03:40,3.9200,1.9743,0.5302,0.1164,5.52,5.47,697.0,7.74,51.6,0.46,4.6,69.7,6.97,0.91
00:03:50,4.5750,1.9904,0.5555,0.1219,5.78,5.73,809.0,9.11,60.7,0.54,5.4,80.9,8.09,0.92
00:04:00,4.5740,1.9900,0.5807,0.1275,6.05,5.99,886.0,9.1,60.7,0.54,5.4,88.6,8.86,0.84
00:04:10,4.5740,1.9890,0.6060,0.1330,6.31,6.25,894.0,9.1,60.7,0.54,5.4,89.4,8.94,0.83
00:04:20,4.5730,1.9896,0.6313,0.1385,6.57,6.51,897.0,9.1,60.7,0.54,5.4,89.7,8.97,0.83
00:04:30,4.5720,1.9902,0.6566,0.1441,6.83,6.77,895.0,9.1,60.7,0.54,5.4,89.5,8.95,0.83
00:04:40,4.5710,1.9886,0.6818,0.1496,7.10,7.03,902.0,9.09,60.6,0.54,5.4,90.2,9.02,0.83
00:04:50,4.5700,1.9900,0.7071,0.1551,7.36,7.29,907.0,9.09,60.6,0.54,5.4,90.7,9.07,0.82
00:05:00,4.5690,1.9889,0.7323,0.1606,7.62,7.55,908.0,9.09,60.6,0.54,5.4,90.8,9.08,0.82
00:05:10,3.7100,1.8605,0.7515,0.1658,7.82,7.79,684.0,6.9,46.0,0.41,4.1,68.4,6.84,0.83
00:05:20,3.8110,1.9150,0.7718,0.1711,8.03,8.04,678.0,7.3,48.7,0.43,4.3,67.8,6.78,0.88
00:05:30,4.5700,1.9901,0.7970,0.1766,8.30,8.30,769.0,9.09,60.6,0.54,5.4,76.9,7.69,0.97
00:05:40,4.2870,1.9900,0.8207,0.1822,8.54,8.56,611.0,8.53,56.9,0.5,5.0,61.1,6.11,1.14
00:05:50,2.9070,1.3677,0.8318,0.1860,8.66,8.74,675.0,3.98,26.5,0.23,2.3,67.5,6.75,0.48
00:06:00,4.5760,1.9889,0.8571,0.1915,8.92,9.00,570.0,9.1,60.7,0.54,5.4,57.0,5.7,1.31
00:06:10,3.0260,1.5658,0.8702,0.1958,9.06,9.20,750.0,4.74,31.6,0.28,2.8,75.0,7.5,0.52
00:06:20,2.6970,0.8722,0.8768,0.1983,9.13,9.32,319.0,2.35,15.7,0.14,1.4,31.9,3.19,0.6
00:06:30,2.8600,1.4399,0.8882,0.2023,9.25,9.50,349.0,4.12,27.5,0.24,2.4,34.9,3.49,0.97
00:06:40,2.7050,0.9415,0.8953,0.2049,9.32,9.63,383.0,2.55,17.0,0.15,1.5,38.3,3.83,0.55
00:06:50,4.5780,1.9887,0.9206,0.2104,9.58,9.89,376.0,9.1,60.7,0.54,5.4,37.6,3.76,1.98
00:07:00,4.5680,1.9879,0.9458,0.2159,9.84,10.15,879.0,9.08,60.5,0.54,5.4,87.9,8.79,0.85
00:07:10,2.7630,0.9853,0.9533,0.2187,9.92,10.27,584.0,2.72,18.1,0.16,1.6,58.4,5.84,0.38
00:07:20,3.0580,1.5746,0.9667,0.2230,10.06,10.48,234.0,4.82,32.1,0.28,2.8,23.4,2.34,1.69
00:07:30,4.5680,1.9883,0.9919,0.2286,10.33,10.74,855.0,9.08,60.5,0.54,5.4,85.5,8.55,0.87
00:07:40,4.5660,1.9910,1.0172,0.2341,10.59,11.00,852.0,9.09,60.6,0.54,5.4,85.2,8.52,0.87
00:07:50,4.5640,1.9890,1.0424,0.2396,10.85,11.26,821.0,9.08,60.5,0.54,5.4,82.1,8.21,0.91
00:08:00,4.5640,1.9896,1.0676,0.2451,11.11,11.52,861.0,9.08,60.5,0.54,5.4,86.1,8.61,0.86
00:08:10,4.5640,1.9890,1.0929,0.2507,11.38,11.78,860.0,9.08,60.5,0.54,5.4,86.0,8.6,0.87
00:08:20,4.5620,1.9891,1.1181,0.2562,11.64,12.04,844.0,9.07,60.5,0.53,5.3,84.4,8.44,0.88
00:08:30,4.5620,1.9891,1.1433,0.2617,11.90,12.30,864.0,9.07,60.5,0.53,5.3,86.4,8.64,0.86
00:08:40,4.5610,1.9891,1.1685,0.2672,12.16,12.56,864.0,9.07,60.5,0.53,5.3,86.4,8.64,0.86
00:08:50,4.5600,1.9893,1.1937,0.2728,12.43,12.82,864.0,9.07,60.5,0.53,5.3,86.4,8.64,0.86
00:09:00,4.5600,1.9899,1.2189,0.2783,12.69,13.08,860.0,9.07,60.5,0.53,5.3,86.0,8.6,0.86
00:09:10,4.5590,1.9890,1.2441,0.2838,12.95,13.34,861.0,9.07,60.5,0.53,5.3,86.1,8.61,0.86
00:09:20,4.5590,1.9890,1.2692,0.2893,13.21,13.59,862.0,9.07,60.5,0.53,5.3,86.2,8.62,0.86
00:09:30,4.5590,1.9894,1.2944,0.2949,13.47,13.85,863.0,9.07,60.5,0.53,5.3,86.3,8.63,0.86
00:09:40,4.5580,1.9890,1.3196,0.3004,13.74,14.11,864.0,9.07,60.5,0.53,5.3,86.4,8.64,0.86
