Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Power Score,Sun Score
00:00:00,4.6950,1.9888,0.0259,0.0055,0.12,0.11,0.0,9.34,93.4,0.0
00:00:10,4.7020,1.9887,0.0519,0.0110,0.25,0.22,0.0,9.35,93.5,0.0
00:00:20,4.7070,1.9894,0.0779,0.0166,0.37,0.34,0.0,9.36,93.6,0.0
00:00:30,4.7070,1.9891,0.1039,0.0221,0.50,0.45,0.0,9.36,93.6,0.0
00:00:40,4.7060,1.9886,0.1299,0.0276,0.62,0.56,0.0,9.36,93.6,0.0
00:00:50,4.7060,1.9887,0.1559,0.0331,0.74,0.67,0.0,9.36,93.6,0.0
00:01:00,4.7050,1.9881,0.1819,0.0387,0.87,0.78,0.0,9.35,93.5,0.0
00:01:10,4.7040,1.9882,0.2079,0.0442,0.99,0.90,0.0,9.35,93.5,0.0
00:01:20,4.7040,1.9879,0.2339,0.0497,1.12,1.01,0.0,9.35,93.5,0.0
00:01:30,4.7030,1.9880,0.2598,0.0552,1.24,1.12,0.0,9.35,93.5,0.0
00:01:40,4.7030,1.9880,0.2858,0.0608,1.36,1.23,0.0,9.35,93.5,0.0
00:01:50,4.7030,1.9880,0.3118,0.0663,1.49,1.34,0.0,9.35,93.5,0.0
00:02:00,4.7020,1.9884,0.3377,0.0718,1.61,1.46,0.0,9.35,93.5,0.0
00:02:10,4.7010,1.9881,0.3637,0.0773,1.73,1.57,0.0,9.35,93.5,0.0
00:02:20,4.7010,1.9880,0.3897,0.0829,1.86,1.68,0.0,9.35,93.5,0.0
00:02:30,4.7010,1.9880,0.4156,0.0884,1.98,1.79,0.0,9.35,93.5,0.0
00:02:40,4.7000,1.9888,0.4416,0.0939,2.11,1.90,0.0,9.35,93.5,0.0
00:02:50,4.7000,1.9878,0.4675,0.0994,2.23,2.01,0.0,9.34,93.4,0.0
00:03:00,4.7000,1.9881,0.4935,0.1049,2.35,2.13,0.0,9.34,93.4,0.0
00:03:10,4.7000,1.9877,0.5194,0.1105,2.48,2.24,0.0,9.34,93.4,0.0
00:03:20,4.6990,1.9879,0.5454,0.1160,2.60,2.35,0.0,9.34,93.4,0.0
00:03:30,4.6990,1.9878,0.5713,0.1215,2.72,2.46,0.0,9.34,93.4,0.0
00:03:40,4.6990,1.9878,0.5973,0.1270,2.85,2.57,0.0,9.34,93.4,0.0
00:03:50,4.6980,1.9876,0.6232,0.1325,2.97,2.69,0.0,9.34,93.4,0.0
00:04:00,4.6970,1.9871,0.6492,0.1381,3.10,2.80,0.0,9.33,93.3,0.0
00:04:10,4.6970,1.9875,0.6751,0.1436,3.22,2.91,0.0,9.34,93.4,0.0
00:04:20,4.6970,1.9877,0.7010,0.1491,3.34,3.02,0.0,9.34,93.4,0.0
00:04:30,4.6960,1.9880,0.7270,0.1546,3.47,3.13,0.0,9.34,93.4,0.0
00:04:40,4.6960,1.9872,0.7529,0.1602,3.59,3.25,0.0,9.33,93.3,0.0
00:04:50,4.6950,1.9870,0.7788,0.1657,3.71,3.36,0.0,9.33,93.3,0.0
00:05:00,4.6950,1.9876,0.8047,0.1712,3.84,3.47,0.0,9.33,93.3,0.0
00:05:10,4.6950,1.9876,0.8306,0.1767,3.96,3.58,0.0,9.33,93.3,0.0
00:05:20,4.6950,1.9873,0.8565,0.1822,4.08,3.69,0.0,9.33,93.3,0.0
00:05:30,4.6950,1.9868,0.8825,0.1878,4.21,3.81,0.0,9.33,93.3,0.0
00:05:40,4.6950,1.9876,0.9084,0.1933,4.33,3.92,0.0,9.33,93.3,0.0
00:05:50,4.6950,1.9878,0.9343,0.1988,4.45,4.03,0.0,9.33,93.3,0.0
00:06:00,4.6950,1.9878,0.9602,0.2043,4.58,4.14,0.0,9.33,93.3,0.0
00:06:10,4.6950,1.9880,0.9862,0.2098,4.70,4.25,0.0,9.33,93.3,0.0
00:06:20,4.6950,1.9876,1.0121,0.2154,4.83,4.36,0.0,9.33,93.3,0.0
00:06:30,4.6940,1.9879,1.0380,0.2209,4.95,4.48,0.0,9.33,93.3,0.0
00:06:40,4.6940,1.9874,1.0639,0.2264,5.07,4.59,0.0,9.33,93.3,0.0
00:06:50,4.6940,1.9877,1.0898,0.2319,5.20,4.70,0.0,9.33,93.3,0.0
00:07:00,4.6940,1.9880,1.1157,0.2374,5.32,4.81,0.0,9.33,93.3,0.0
00:07:10,4.6940,1.9877,1.1417,0.2430,5.44,4.92,0.0,9.33,93.3,0.0
00:07:20,4.6940,1.9878,1.1676,0.2485,5.57,5.04,0.0,9.33,93.3,0.0
00:07:30,4.6930,1.9877,1.1935,0.2540,5.69,5.15,0.0,9.33,93.3,0.0
00:07:40,4.6930,1.9883,1.2194,0.2595,5.81,5.26,0.0,9.33,93.3,0.0
00:07:50,4.6930,1.9877,1.2453,0.2651,5.94,5.37,0.0,9.33,93.3,0.0
00:08:00,4.6920,1.9881,1.2712,0.2706,6.06,5.48,0.0,9.33,93.3,0.0
00:08:10,4.6920,1.9878,1.2971,0.2761,6.18,5.60,0.0,9.33,93.3,0.0
00:08:20,4.6920,1.9879,1.3231,0.2816,6.31,5.71,0.0,9.33,93.3,0.0
00:08:30,4.6910,1.9880,1.3490,0.2871,6.43,5.82,0.0,9.33,93.3,0.0
00:08:40,4.6910,1.9880,1.3749,0.2927,6.56,5.93,0.0,9.33,93.3,0.0
00:08:50,4.6910,1.9876,1.4008,0.2982,6.68,6.04,0.0,9.32,93.2,0.0
00:09:00,4.6900,1.9872,1.4267,0.3037,6.80,6.16,0.0,9.32,93.2,0.0
00:09:10,4.6900,1.9875,1.4525,0.3092,6.93,6.27,0.0,9.32,93.2,0.0
00:09:20,4.6890,1.9885,1.4784,0.3148,7.05,6.38,0.0,9.32,93.2,0.0
00:09:30,4.6890,1.9876,1.5043,0.3203,7.17,6.49,0.0,9.32,93.2,0.0
00:09:40,4.6890,1.9876,1.5302,0.3258,7.30,6.60,0.0,9.32,93.2,0.0
00:09:50,4.6900,1.9871,1.5561,0.3313,7.42,6.71,0.0,9.32,93.2,0.0
00:10:00,4.6900,1.9872,1.5820,0.3368,7.54,6.83,0.0,9.32,93.2,0.0
00:10:10,4.6900,1.9874,1.6079,0.3424,7.67,6.94,0.0,9.32,93.2,0.0
00:10:20,4.6900,1.9875,1.6338,0.3479,7.79,7.05,0.0,9.32,93.2,0.0
00:10:30,4.6900,1.9872,1.6597,0.3534,7.91,7.16,0.0,9.32,93.2,0.0
00:10:40,4.6900,1.9874,1.6856,0.3589,8.04,7.27,0.0,9.32,93.2,0.0
00:10:50,4.6890,1.9868,1.7114,0.3644,8.16,7.39,0.0,9.32,93.2,0.0
00:11:00,4.6880,1.9876,1.7373,0.3700,8.28,7.50,0.0,9.32,93.2,0.0
00:11:10,4.6870,1.9870,1.7632,0.3755,8.41,7.61,0.0,9.31,93.1,0.0
00:11:20,4.6870,1.9872,1.7891,0.3810,8.53,7.72,0.0,9.31,93.1,0.0
00:11:30,4.6860,1.9873,1.8149,0.3865,8.65,7.83,0.0,9.31,93.1,0.0
00:11:40,4.6860,1.9871,1.8408,0.3920,8.78,7.95,0.0,9.31,93.1,0.0
00:11:50,4.6860,1.9875,1.8667,0.3976,8.90,8.06,0.0,9.31,93.1,0.0
00:12:00,4.6860,1.9869,1.8925,0.4031,9.02,8.17,0.0,9.31,93.1,0.0
00:12:10,4.6870,1.9870,1.9184,0.4086,9.15,8.28,0.0,9.31,93.1,0.0
00:12:20,4.6880,1.9875,1.9443,0.4141,9.27,8.39,0.0,9.32,93.2,0.0
00:12:30,4.6880,1.9878,1.9702,0.4196,9.39,8.50,0.0,9.32,93.2,0.0
00:12:40,4.6880,1.9877,1.9961,0.4252,9.52,8.62,0.0,9.32,93.2,0.0
00:12:50,4.6880,1.9877,2.0219,0.4307,9.64,8.73,0.0,9.32,93.2,0.0
00:13:00,4.6870,1.9876,2.0478,0.4362,9.76,8.84,0.0,9.32,93.2,0.0
00:13:10,4.6870,1.9872,2.0737,0.4417,9.89,8.95,0.0,9.31,93.1,0.0
00:13:20,4.6860,1.9883,2.0996,0.4472,10.01,9.06,0.0,9.32,93.2,0.0
00:13:30,4.6870,1.9876,2.1254,0.4528,10.13,9.18,0.0,9.32,93.2,0.0
00:13:40,4.6870,1.9881,2.1513,0.4583,10.26,9.29,0.0,9.32,93.2,0.0
00:13:50,4.6870,1.9878,2.1772,0.4638,10.38,9.40,0.0,9.32,93.2,0.0
00:14:00,4.6860,1.9882,2.2031,0.4693,10.50,9.51,0.0,9.32,93.2,0.0
00:14:10,4.6860,1.9876,2.2290,0.4749,10.63,9.62,0.0,9.31,93.1,0.0
00:14:20,4.6850,1.9876,2.2548,0.4804,10.75,9.74,0.0,9.31,93.1,0.0
00:14:30,4.6850,1.9875,2.2807,0.4859,10.87,9.85,0.0,9.31,93.1,0.0
00:14:40,4.6850,1.9872,2.3066,0.4914,11.00,9.96,0.0,9.31,93.1,0.0
00:14:50,4.6850,1.9873,2.3324,0.4969,11.12,10.07,0.0,9.31,93.1,0.0
00:15:00,4.6850,1.9870,2.3583,0.5025,11.24,10.18,0.0,9.31,93.1,0.0
00:15:10,4.6840,1.9878,2.3841,0.5080,11.37,10.30,0.0,9.31,93.1,0.0
00:15:20,4.6840,1.9872,2.4100,0.5135,11.49,10.41,0.0,9.31,93.1,0.0
00:15:30,4.6840,1.9875,2.4359,0.5190,11.61,10.52,0.0,9.31,93.1,0.0
00:15:40,4.6840,1.9876,2.4617,0.5245,11.74,10.63,0.0,9.31,93.1,0.0
00:15:50,4.6840,1.9876,2.4876,0.5301,11.86,10.74,0.0,9.31,93.1,0.0
