Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Irradiance/100,Power(W),Efficiency(%),Power Score,Sun Score,Efficiency Score
00:00:00,4.6410,1.9902,0.0257,0.0055,100.00,2.58,793,7.93,9.24,0.71,79.3,88.0,-8.7
00:00:10,0.0000,0.2577,0.0257,0.0062,100.00,2.92,790,7.9,0.0,0.0,79.0,0.0,79.0
00:00:20,0.0000,0.2396,0.0257,0.0069,100.00,3.23,789,7.89,0.0,0.0,78.9,0.0,78.9
00:00:30,0.0000,0.2468,0.0257,0.0076,100.00,3.55,788,7.88,0.0,0.0,78.8,0.0,78.8
00:00:40,0.0000,0.1926,0.0257,0.0081,100.00,3.80,790,7.9,0.0,0.0,79.0,0.0,79.0
00:00:50,0.0000,0.2234,0.0257,0.0088,100.00,4.09,786,7.86,0.0,0.0,78.6,0.0,78.6
00:01:00,0.0000,0.2014,0.0257,0.0093,100.00,4.35,787,7.87,0.0,0.0,78.7,0.0,78.7
00:01:10,0.0000,0.1865,0.0257,0.0098,100.00,4.59,786,7.86,0.0,0.0,78.6,0.0,78.6
00:01:20,0.0000,0.1981,0.0257,0.0104,100.00,4.85,789,7.89,0.0,0.0,78.9,0.0,78.9
00:01:30,0.0000,0.2187,0.0257,0.0110,100.00,5.13,787,7.87,0.0,0.0,78.7,0.0,78.7
00:01:40,0.0000,0.1869,0.0257,0.0115,100.00,5.37,787,7.87,0.0,0.0,78.7,0.0,78.7
00:01:50,0.0000,0.1823,0.0257,0.0120,100.00,5.61,788,7.88,0.0,0.0,78.8,0.0,78.8
00:02:00,0.0000,0.1921,0.0257,0.0125,100.00,5.86,787,7.87,0.0,0.0,78.7,0.0,78.7
00:02:10,0.0000,0.2490,0.0257,0.0132,100.00,6.18,786,7.86,0.0,0.0,78.6,0.0,78.6
00:02:20,0.0000,0.2283,0.0257,0.0139,100.00,6.48,785,7.85,0.0,0.0,78.5,0.0,78.5
00:02:30,0.0000,0.2616,0.0257,0.0146,100.00,6.82,786,7.86,0.0,0.0,78.6,0.0,78.6
00:02:40,0.0000,0.1232,0.0257,0.0149,100.00,6.98,788,7.88,0.0,0.0,78.8,0.0,78.8
00:02:50,0.0000,0.3132,0.0257,0.0158,100.00,7.39,785,7.85,0.0,0.0,78.5,0.0,78.5
00:03:00,0.0000,0.1420,0.0257,0.0162,100.00,7.57,786,7.86,0.0,0.0,78.6,0.0,78.6
00:03:10,0.0000,0.1084,0.0257,0.0165,100.00,7.71,788,7.88,0.0,0.0,78.8,0.0,78.8
00:03:20,0.0000,0.2681,0.0257,0.0173,100.00,8.06,783,7.83,0.0,0.0,78.3,0.0,78.3
00:03:30,0.0000,0.2255,0.0257,0.0179,100.00,8.35,779,7.79,0.0,0.0,77.9,0.0,77.9
00:03:40,0.0000,0.2196,0.0257,0.0185,100.00,8.64,781,7.81,0.0,0.0,78.1,0.0,78.1
00:03:50,0.0000,0.3300,0.0257,0.0194,100.00,9.06,784,7.84,0.0,0.0,78.4,0.0,78.4
00:04:00,0.0000,0.0001,0.0257,0.0194,100.00,9.06,789,7.89,0.0,0.0,78.9,0.0,78.9
00:04:10,0.0000,0.0002,0.0257,0.0194,100.00,9.06,793,7.93,0.0,0.0,79.3,0.0,79.3
00:04:20,0.0000,0.0086,0.0257,0.0194,100.00,9.08,793,7.93,0.0,0.0,79.3,0.0,79.3
00:04:30,0.0000,0.2650,0.0257,0.0202,100.00,9.42,794,7.94,0.0,0.0,79.4,0.0,79.4
00:04:40,0.0000,0.1892,0.0257,0.0207,100.00,9.67,786,7.86,0.0,0.0,78.6,0.0,78.6
00:04:50,0.0000,0.0882,0.0257,0.0209,100.00,9.78,789,7.89,0.0,0.0,78.9,0.0,78.9
00:05:00,0.0000,0.1177,0.0257,0.0213,100.00,9.93,788,7.88,0.0,0.0,78.8,0.0,78.8
00:05:10,0.0000,0.1371,0.0257,0.0216,100.00,10.11,787,7.87,0.0,0.0,78.7,0.0,78.7
00:05:20,0.0000,0.1887,0.0257,0.0222,100.00,10.36,785,7.85,0.0,0.0,78.5,0.0,78.5
00:05:30,0.0000,0.1809,0.0257,0.0227,100.00,10.59,783,7.83,0.0,0.0,78.3,0.0,78.3
00:05:40,0.0000,0.1691,0.0257,0.0231,100.00,10.81,788,7.88,0.0,0.0,78.8,0.0,78.8
00:05:50,0.0000,0.2111,0.0257,0.0237,100.00,11.08,793,7.93,0.0,0.0,79.3,0.0,79.3
00:06:00,0.0000,0.1918,0.0257,0.0243,100.00,11.33,791,7.91,0.0,0.0,79.1,0.0,79.1
00:06:10,0.0000,0.1756,0.0257,0.0247,100.00,11.56,794,7.94,0.0,0.0,79.4,0.0,79.4
00:06:20,0.0000,0.2275,0.0257,0.0254,100.00,11.86,791,7.91,0.0,0.0,79.1,0.0,79.1
00:06:30,0.0000,0.1602,0.0257,0.0258,100.00,12.06,790,7.9,0.0,0.0,79.0,0.0,79.0
00:06:40,0.0000,0.1391,0.0257,0.0262,100.00,12.24,792,7.92,0.0,0.0,79.2,0.0,79.2
00:06:50,0.0000,0.1767,0.0257,0.0267,100.00,12.47,794,7.94,0.0,0.0,79.4,0.0,79.4
00:07:00,0.0000,0.1990,0.0257,0.0273,100.00,12.73,796,7.96,0.0,0.0,79.6,0.0,79.6
00:07:10,0.0000,0.1572,0.0257,0.0277,100.00,12.94,796,7.96,0.0,0.0,79.6,0.0,79.6
00:07:20,0.0000,0.2030,0.0257,0.0283,100.00,13.20,789,7.89,0.0,0.0,78.9,0.0,78.9
00:07:30,0.0000,0.1827,0.0257,0.0288,100.00,13.44,792,7.92,0.0,0.0,79.2,0.0,79.2
00:07:40,0.0000,0.1434,0.0257,0.0292,100.00,13.62,794,7.94,0.0,0.0,79.4,0.0,79.4
00:07:50,0.0000,0.2153,0.0257,0.0298,100.00,13.90,796,7.96,0.0,0.0,79.6,0.0,79.6
00:08:00,0.0000,0.1908,0.0257,0.0303,100.00,14.15,799,7.99,0.0,0.0,79.9,0.0,79.9
00:08:10,0.0000,0.1569,0.0257,0.0307,100.00,14.35,800,8.0,0.0,0.0,80.0,0.0,80.0
00:08:20,0.0000,0.1609,0.0257,0.0312,100.00,14.56,802,8.02,0.0,0.0,80.2,0.0,80.2
00:08:30,0.0000,0.1850,0.0257,0.0317,100.00,14.80,806,8.06,0.0,0.0,80.6,0.0,80.6
00:08:40,0.0000,0.1663,0.0257,0.0321,100.00,15.02,804,8.04,0.0,0.0,80.4,0.0,80.4
00:08:50,0.0000,0.1468,0.0257,0.0326,100.00,15.21,804,8.04,0.0,0.0,80.4,0.0,80.4
00:09:00,0.0000,0.1542,0.0257,0.0330,100.00,15.41,800,8.0,0.0,0.0,80.0,0.0,80.0
00:09:10,0.0000,0.1398,0.0257,0.0334,100.00,15.59,800,8.0,0.0,0.0,80.0,0.0,80.0
00:09:20,0.0000,0.1581,0.0257,0.0338,100.00,15.79,799,7.99,0.0,0.0,79.9,0.0,79.9
00:09:30,0.0000,0.1388,0.0257,0.0342,100.00,15.97,797,7.97,0.0,0.0,79.7,0.0,79.7
00:09:40,0.0000,0.1284,0.0257,0.0346,100.00,16.14,798,7.98,0.0,0.0,79.8,0.0,79.8
00:09:50,0.0000,0.1351,0.0257,0.0349,100.00,16.32,800,8.0,0.0,0.0,80.0,0.0,80.0
00:10:00,0.0000,0.1661,0.0257,0.0354,100.00,16.53,802,8.02,0.0,0.0,80.2,0.0,80.2
