Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance
0day00:00:00,4.8540,1.9933,0.0269,0.0055,0.24,0.23,819
0day00:00:10,3.2530,1.7793,0.0430,0.0105,0.38,0.44,776
0day00:00:20,2.8620,1.4919,0.0548,0.0146,0.49,0.62,277
0day00:00:30,2.7440,1.0594,0.0629,0.0176,0.56,0.74,182.5
0day00:00:40,2.7270,1.0206,0.0706,0.0204,0.63,0.86,172.8
0day00:00:50,2.7240,1.0432,0.0785,0.0233,0.70,0.98,172.4
0day00:01:00,2.7370,1.1201,0.0870,0.0264,0.78,1.11,179.5
0day00:01:10,4.9040,1.9906,0.1141,0.0319,1.02,1.35,242
0day00:01:20,4.9030,1.9921,0.1413,0.0375,1.26,1.58,674
0day00:01:30,4.8810,1.9911,0.1683,0.0430,1.50,1.81,764
0day00:01:40,4.8810,1.9910,0.1953,0.0485,1.75,2.05,783
0day00:01:50,3.2860,1.7442,0.2112,0.0534,1.89,2.25,707
0day00:02:00,4.0610,1.9883,0.2336,0.0589,2.09,2.48,446
0day00:02:10,4.8810,1.9904,0.2606,0.0644,2.33,2.72,800
0day00:02:20,4.9050,1.9916,0.2877,0.0700,2.57,2.95,764
0day00:02:30,4.9040,1.9909,0.3149,0.0755,2.81,3.18,786
0day00:02:40,4.9030,1.9900,0.3420,0.0810,3.06,3.42,777
0day00:02:50,4.9010,1.9916,0.3691,0.0866,3.30,3.65,766
0day00:03:00,4.9010,1.9907,0.3962,0.0921,3.54,3.88,766
0day00:03:10,4.8990,1.9898,0.4233,0.0976,3.78,4.11,764
0day00:03:20,4.9010,1.9909,0.4504,0.1031,4.03,4.35,760
0day00:03:30,4.9010,1.9899,0.4775,0.1087,4.27,4.58,756
0day00:03:40,4.9020,1.9901,0.5045,0.1142,4.51,4.81,755
0day00:03:50,4.9020,1.9914,0.5317,0.1197,4.75,5.05,751
0day00:04:00,4.9010,1.9910,0.5588,0.1253,4.99,5.28,750
0day00:04:10,4.9010,1.9914,0.5859,0.1308,5.24,5.51,752
0day00:04:20,4.9010,1.9915,0.6130,0.1363,5.48,5.75,746
0day00:04:30,4.9010,1.9911,0.6401,0.1419,5.72,5.98,742
0day00:04:40,4.9000,1.9912,0.6672,0.1474,5.96,6.21,739
0day00:04:50,4.9000,1.9906,0.6943,0.1529,6.21,6.45,738
0day00:05:00,4.9000,1.9905,0.7214,0.1584,6.45,6.68,742
0day00:05:10,4.9000,1.9904,0.7485,0.1640,6.69,6.91,747
0day00:05:20,4.9010,1.9908,0.7756,0.1695,6.93,7.14,753
0day00:05:30,2.6080,0.6864,0.7806,0.1714,6.98,7.23,470
0day00:05:40,2.6380,0.7825,0.7863,0.1736,7.03,7.32,121.6
0day00:05:50,2.6580,0.8510,0.7926,0.1759,7.08,7.42,137.3
0day00:06:00,2.7390,1.2020,0.8017,0.1793,7.17,7.56,154.2
0day00:06:10,2.9330,1.5832,0.8146,0.1837,7.28,7.74,178.5
0day00:06:20,2.6400,0.8277,0.8207,0.1860,7.33,7.84,193.5
0day00:06:30,2.6200,0.7554,0.8262,0.1881,7.38,7.93,131.0
0day00:06:40,2.6290,0.7966,0.8320,0.1903,7.44,8.02,129.7
0day00:06:50,3.8340,1.9466,0.8527,0.1957,7.62,8.25,149.4
0day00:07:00,2.6910,1.0946,0.8609,0.1987,7.69,8.38,536
0day00:07:10,2.6850,1.0429,0.8687,0.2016,7.76,8.50,172.9
0day00:07:20,2.6900,1.0722,0.8767,0.2046,7.84,8.63,175.7
0day00:07:30,2.6960,1.1079,0.8850,0.2077,7.91,8.75,180.7
0day00:07:40,2.7190,1.2241,0.8942,0.2111,7.99,8.90,190.8
0day00:07:50,2.7700,1.4301,0.9053,0.2151,8.09,9.07,251
0day00:08:00,4.9120,1.9894,0.9324,0.2206,8.33,9.30,485
0day00:08:10,4.9120,1.9896,0.9595,0.2261,8.58,9.53,794
0day00:08:20,4.9100,1.9901,0.9867,0.2316,8.82,9.76,822
0day00:08:30,4.9090,1.9904,1.0138,0.2372,9.06,10.00,818
0day00:08:40,4.9070,1.9905,1.0410,0.2427,9.30,10.23,813
0day00:08:50,4.9060,1.9902,1.0681,0.2482,9.55,10.46,811
0day00:09:00,4.9050,1.9905,1.0952,0.2538,9.79,10.70,811
0day00:09:10,4.9030,1.9905,1.1223,0.2593,10.03,10.93,802
0day00:09:20,4.9020,1.9904,1.1494,0.2648,10.27,11.16,804
0day00:09:30,4.9010,1.9906,1.1765,0.2704,10.51,11.40,800
0day00:09:40,4.8990,1.9903,1.2036,0.2759,10.76,11.63,798
0day00:09:50,4.8980,1.9906,1.2307,0.2814,11.00,11.86,800
0day00:10:00,4.8990,1.9904,1.2578,0.2869,11.24,12.10,780
0day00:10:10,4.8960,1.9899,1.2848,0.2925,11.48,12.33,805
0day00:10:20,4.8910,1.9903,1.3119,0.2980,11.72,12.56,617
0day00:10:30,4.8990,1.9906,1.3390,0.3035,11.97,12.79,761
0day00:10:40,4.8980,1.9906,1.3660,0.3091,12.21,13.03,811
0day00:10:50,4.8970,1.9904,1.3931,0.3146,12.45,13.26,820
0day00:11:00,4.8990,1.9905,1.4202,0.3201,12.69,13.49,827
0day00:11:10,4.8990,1.9908,1.4473,0.3256,12.94,13.73,842
0day00:11:20,4.8980,1.9907,1.4744,0.3312,13.18,13.96,734
0day00:11:30,2.7560,1.4090,1.4852,0.3351,13.27,14.12,633
0day00:11:40,2.7630,1.3638,1.4956,0.3389,13.37,14.28,230
0day00:11:50,2.7690,1.4141,1.5065,0.3428,13.46,14.45,403
0day00:12:00,4.9010,1.9903,1.5336,0.3483,13.71,14.68,611
0day00:12:10,4.9000,1.9905,1.5607,0.3539,13.95,14.92,755
0day00:12:20,4.9000,1.9903,1.5878,0.3594,14.19,15.15,882
0day00:12:30,4.8980,1.9906,1.6149,0.3649,14.43,15.38,879
0day00:12:40,4.8890,1.9904,1.6419,0.3704,14.67,15.62,759
0day00:12:50,2.8430,1.5502,1.6541,0.3748,14.78,15.80,339
0day00:13:00,4.8940,1.9900,1.6812,0.3803,15.03,16.03,766
0day00:13:10,4.8990,1.9901,1.7083,0.3858,15.27,16.26,868
0day00:13:20,3.7220,1.8672,1.7276,0.3910,15.44,16.48,511
0day00:13:30,2.7330,1.2649,1.7372,0.3945,15.53,16.63,255
0day00:13:40,3.7070,1.9146,1.7569,0.3998,15.70,16.85,298
0day00:13:50,3.1540,1.6912,1.7717,0.4045,15.83,17.05,380
0day00:14:00,4.7550,1.9902,1.7980,0.4101,16.07,17.28,563
0day00:14:10,2.6830,1.0875,1.8061,0.4131,16.14,17.41,220
0day00:14:20,2.6620,0.9946,1.8135,0.4158,16.21,17.53,191.5
