Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Power Score,Sun Score,Irradiance/100,Efficiency(%),Efficiency Score
00:00:00,4.8540,1.9933,0.0269,0.0055,0.24,0.23,819.0,9.68,80.7,81.9,8.19,0.68,1.2
00:00:10,3.2530,1.7793,0.0430,0.0105,0.38,0.44,776.0,5.79,48.3,77.6,7.76,0.43,29.3
00:00:20,2.8620,1.4919,0.0548,0.0146,0.49,0.62,277.0,4.27,35.6,27.7,2.77,0.88,-7.9
00:00:30,2.7440,1.0594,0.0629,0.0176,0.56,0.74,182.5,2.91,24.3,18.3,1.825,0.91,-6.0
00:00:40,2.7270,1.0206,0.0706,0.0204,0.63,0.86,172.8,2.78,23.2,17.3,1.728,0.92,-5.9
00:00:50,2.7240,1.0432,0.0785,0.0233,0.70,0.98,172.4,2.84,23.7,17.2,1.724,0.94,-6.5
00:01:00,2.7370,1.1201,0.0870,0.0264,0.78,1.11,179.5,3.07,25.6,18.0,1.795,0.98,-7.6
00:01:10,4.9040,1.9906,0.1141,0.0319,1.02,1.35,242.0,9.76,81.3,24.2,2.42,2.3,-57.1
00:01:20,4.9030,1.9921,0.1413,0.0375,1.26,1.58,674.0,9.77,81.4,67.4,6.74,0.83,-14.0
00:01:30,4.8810,1.9911,0.1683,0.0430,1.50,1.81,764.0,9.72,81.0,76.4,7.64,0.73,-4.6
00:01:40,4.8810,1.9910,0.1953,0.0485,1.75,2.05,783.0,9.72,81.0,78.3,7.83,0.71,-2.7
00:01:50,3.2860,1.7442,0.2112,0.0534,1.89,2.25,707.0,5.73,47.8,70.7,7.07,0.46,22.9
00:02:00,4.0610,1.9883,0.2336,0.0589,2.09,2.48,446.0,8.07,67.3,44.6,4.46,1.03,-22.7
00:02:10,4.8810,1.9904,0.2606,0.0644,2.33,2.72,800.0,9.72,81.0,80.0,8.0,0.69,-1.0
00:02:20,4.9050,1.9916,0.2877,0.0700,2.57,2.95,764.0,9.77,81.4,76.4,7.64,0.73,-5.0
00:02:30,4.9040,1.9909,0.3149,0.0755,2.81,3.18,786.0,9.76,81.3,78.6,7.86,0.71,-2.7
00:02:40,4.9030,1.9900,0.3420,0.0810,3.06,3.42,777.0,9.76,81.3,77.7,7.77,0.72,-3.6
00:02:50,4.9010,1.9916,0.3691,0.0866,3.30,3.65,766.0,9.76,81.3,76.6,7.66,0.73,-4.7
00:03:00,4.9010,1.9907,0.3962,0.0921,3.54,3.88,766.0,9.76,81.3,76.6,7.66,0.73,-4.7
00:03:10,4.8990,1.9898,0.4233,0.0976,3.78,4.11,764.0,9.75,81.3,76.4,7.64,0.73,-4.9
00:03:20,4.9010,1.9909,0.4504,0.1031,4.03,4.35,760.0,9.76,81.3,76.0,7.6,0.73,-5.3
00:03:30,4.9010,1.9899,0.4775,0.1087,4.27,4.58,756.0,9.75,81.3,75.6,7.56,0.74,-5.7
00:03:40,4.9020,1.9901,0.5045,0.1142,4.51,4.81,755.0,9.76,81.3,75.5,7.55,0.74,-5.8
00:03:50,4.9020,1.9914,0.5317,0.1197,4.75,5.05,751.0,9.76,81.3,75.1,7.51,0.74,-6.2
00:04:00,4.9010,1.9910,0.5588,0.1253,4.99,5.28,750.0,9.76,81.3,75.0,7.5,0.74,-6.3
00:04:10,4.9010,1.9914,0.5859,0.1308,5.24,5.51,752.0,9.76,81.3,75.2,7.52,0.74,-6.1
00:04:20,4.9010,1.9915,0.6130,0.1363,5.48,5.75,746.0,9.76,81.3,74.6,7.46,0.75,-6.7
00:04:30,4.9010,1.9911,0.6401,0.1419,5.72,5.98,742.0,9.76,81.3,74.2,7.42,0.75,-7.1
00:04:40,4.9000,1.9912,0.6672,0.1474,5.96,6.21,739.0,9.76,81.3,73.9,7.39,0.75,-7.4
00:04:50,4.9000,1.9906,0.6943,0.1529,6.21,6.45,738.0,9.75,81.3,73.8,7.38,0.75,-7.5
00:05:00,4.9000,1.9905,0.7214,0.1584,6.45,6.68,742.0,9.75,81.3,74.2,7.42,0.75,-7.1
00:05:10,4.9000,1.9904,0.7485,0.1640,6.69,6.91,747.0,9.75,81.3,74.7,7.47,0.75,-6.6
00:05:20,4.9010,1.9908,0.7756,0.1695,6.93,7.14,753.0,9.76,81.3,75.3,7.53,0.74,-6.0
00:05:30,2.6080,0.6864,0.7806,0.1714,6.98,7.23,470.0,1.79,14.9,47.0,4.7,0.22,32.1
00:05:40,2.6380,0.7825,0.7863,0.1736,7.03,7.32,121.6,2.06,17.2,12.2,1.216,0.97,-5.0
00:05:50,2.6580,0.8510,0.7926,0.1759,7.08,7.42,137.3,2.26,18.8,13.7,1.373,0.94,-5.1
00:06:00,2.7390,1.2020,0.8017,0.1793,7.17,7.56,154.2,3.29,27.4,15.4,1.542,1.22,-12.0
00:06:10,2.9330,1.5832,0.8146,0.1837,7.28,7.74,178.5,4.64,38.7,17.9,1.785,1.49,-20.8
00:06:20,2.6400,0.8277,0.8207,0.1860,7.33,7.84,193.5,2.19,18.3,19.4,1.935,0.65,1.1
00:06:30,2.6200,0.7554,0.8262,0.1881,7.38,7.93,131.0,1.98,16.5,13.1,1.31,0.86,-3.4
00:06:40,2.6290,0.7966,0.8320,0.1903,7.44,8.02,129.7,2.09,17.4,13.0,1.297,0.92,-4.4
00:06:50,3.8340,1.9466,0.8527,0.1957,7.62,8.25,149.4,7.46,62.2,14.9,1.494,2.85,-47.3
00:07:00,2.6910,1.0946,0.8609,0.1987,7.69,8.38,536.0,2.95,24.6,53.6,5.36,0.31,29.0
00:07:10,2.6850,1.0429,0.8687,0.2016,7.76,8.50,172.9,2.8,23.3,17.3,1.729,0.93,-6.0
00:07:20,2.6900,1.0722,0.8767,0.2046,7.84,8.63,175.7,2.88,24.0,17.6,1.757,0.94,-6.4
00:07:30,2.6960,1.1079,0.8850,0.2077,7.91,8.75,180.7,2.99,24.9,18.1,1.807,0.95,-6.8
00:07:40,2.7190,1.2241,0.8942,0.2111,7.99,8.90,190.8,3.33,27.8,19.1,1.908,1.0,-8.7
00:07:50,2.7700,1.4301,0.9053,0.2151,8.09,9.07,251.0,3.96,33.0,25.1,2.51,0.9,-7.9
00:08:00,4.9120,1.9894,0.9324,0.2206,8.33,9.30,485.0,9.77,81.4,48.5,4.85,1.15,-32.9
00:08:10,4.9120,1.9896,0.9595,0.2261,8.58,9.53,794.0,9.77,81.4,79.4,7.94,0.7,-2.0
00:08:20,4.9100,1.9901,0.9867,0.2316,8.82,9.76,822.0,9.77,81.4,82.2,8.22,0.68,0.8
00:08:30,4.9090,1.9904,1.0138,0.2372,9.06,10.00,818.0,9.77,81.4,81.8,8.18,0.68,0.4
00:08:40,4.9070,1.9905,1.0410,0.2427,9.30,10.23,813.0,9.77,81.4,81.3,8.13,0.69,-0.1
00:08:50,4.9060,1.9902,1.0681,0.2482,9.55,10.46,811.0,9.76,81.3,81.1,8.11,0.69,-0.2
00:09:00,4.9050,1.9905,1.0952,0.2538,9.79,10.70,811.0,9.76,81.3,81.1,8.11,0.69,-0.2
00:09:10,4.9030,1.9905,1.1223,0.2593,10.03,10.93,802.0,9.76,81.3,80.2,8.02,0.7,-1.1
00:09:20,4.9020,1.9904,1.1494,0.2648,10.27,11.16,804.0,9.76,81.3,80.4,8.04,0.69,-0.9
00:09:30,4.9010,1.9906,1.1765,0.2704,10.51,11.40,800.0,9.76,81.3,80.0,8.0,0.7,-1.3
00:09:40,4.8990,1.9903,1.2036,0.2759,10.76,11.63,798.0,9.75,81.3,79.8,7.98,0.7,-1.5
00:09:50,4.8980,1.9906,1.2307,0.2814,11.00,11.86,800.0,9.75,81.3,80.0,8.0,0.7,-1.3
00:10:00,4.8990,1.9904,1.2578,0.2869,11.24,12.10,780.0,9.75,81.3,78.0,7.8,0.71,-3.3
00:10:10,4.8960,1.9899,1.2848,0.2925,11.48,12.33,805.0,9.74,81.2,80.5,8.05,0.69,-0.7
00:10:20,4.8910,1.9903,1.3119,0.2980,11.72,12.56,617.0,9.73,81.1,61.7,6.17,0.9,-19.4
00:10:30,4.8990,1.9906,1.3390,0.3035,11.97,12.79,761.0,9.75,81.3,76.1,7.61,0.73,-5.2
00:10:40,4.8980,1.9906,1.3660,0.3091,12.21,13.03,811.0,9.75,81.3,81.1,8.11,0.69,-0.2
00:10:50,4.8970,1.9904,1.3931,0.3146,12.45,13.26,820.0,9.75,81.3,82.0,8.2,0.68,0.7
00:11:00,4.8990,1.9905,1.4202,0.3201,12.69,13.49,827.0,9.75,81.3,82.7,8.27,0.67,1.4
00:11:10,4.8990,1.9908,1.4473,0.3256,12.94,13.73,842.0,9.75,81.3,84.2,8.42,0.66,2.9
00:11:20,4.8980,1.9907,1.4744,0.3312,13.18,13.96,734.0,9.75,81.3,73.4,7.34,0.76,-7.9
00:11:30,2.7560,1.4090,1.4852,0.3351,13.27,14.12,633.0,3.88,32.3,63.3,6.33,0.35,31.0
00:11:40,2.7630,1.3638,1.4956,0.3389,13.37,14.28,230.0,3.77,31.4,23.0,2.3,0.94,-8.4
00:11:50,2.7690,1.4141,1.5065,0.3428,13.46,14.45,403.0,3.92,32.7,40.3,4.03,0.56,7.6
00:12:00,4.9010,1.9903,1.5336,0.3483,13.71,14.68,611.0,9.75,81.3,61.1,6.11,0.91,-20.2
00:12:10,4.9000,1.9905,1.5607,0.3539,13.95,14.92,755.0,9.75,81.3,75.5,7.55,0.74,-5.8
00:12:20,4.9000,1.9903,1.5878,0.3594,14.19,15.15,882.0,9.75,81.3,88.2,8.82,0.63,6.9
00:12:30,4.8980,1.9906,1.6149,0.3649,14.43,15.38,879.0,9.75,81.3,87.9,8.79,0.63,6.6
00:12:40,4.8890,1.9904,1.6419,0.3704,14.67,15.62,759.0,9.73,81.1,75.9,7.59,0.73,-5.2
00:12:50,2.8430,1.5502,1.6541,0.3748,14.78,15.80,339.0,4.41,36.8,33.9,3.39,0.74,-2.9
00:13:00,4.8940,1.9900,1.6812,0.3803,15.03,16.03,766.0,9.74,81.2,76.6,7.66,0.73,-4.6
00:13:10,4.8990,1.9901,1.7083,0.3858,15.27,16.26,868.0,9.75,81.3,86.8,8.68,0.64,5.5
00:13:20,3.7220,1.8672,1.7276,0.3910,15.44,16.48,511.0,6.95,57.9,51.1,5.11,0.78,-6.8
00:13:30,2.7330,1.2649,1.7372,0.3945,15.53,16.63,255.0,3.46,28.8,25.5,2.55,0.78,-3.3
00:13:40,3.7070,1.9146,1.7569,0.3998,15.70,16.85,298.0,7.1,59.2,29.8,2.98,1.36,-29.4
00:13:50,3.1540,1.6912,1.7717,0.4045,15.83,17.05,380.0,5.33,44.4,38.0,3.8,0.8,-6.4
00:14:00,4.7550,1.9902,1.7980,0.4101,16.07,17.28,563.0,9.46,78.8,56.3,5.63,0.96,-22.5
00:14:10,2.6830,1.0875,1.8061,0.4131,16.14,17.41,220.0,2.92,24.3,22.0,2.2,0.76,-2.3
00:14:20,2.6620,0.9946,1.8135,0.4158,16.21,17.53,191.5,2.65,22.1,19.2,1.915,0.79,-2.9
00:14:30,2.6480,0.9472,1.8204,0.4185,16.27,17.64,172.3,2.51,20.9,17.2,1.723,0.83,-3.7
00:14:40,2.6380,0.9275,1.8272,0.4210,16.33,17.75,167.0,2.45,20.4,16.7,1.67,0.84,-3.7
00:14:50,2.6390,0.9510,1.8342,0.4237,16.39,17.86,165.9,2.51,20.9,16.6,1.659,0.86,-4.3
00:15:00,2.7710,1.4481,1.8453,0.4277,16.49,18.03,178.1,4.01,33.4,17.8,1.781,1.29,-15.6
00:15:10,4.9050,1.9895,1.8725,0.4332,16.73,18.26,479.0,9.76,81.3,47.9,4.79,1.16,-33.4
00:15:20,4.9040,1.9895,1.8996,0.4388,16.98,18.49,600.0,9.76,81.3,60.0,6.0,0.93,-21.3
00:15:30,4.9030,1.9896,1.9267,0.4443,17.22,18.73,778.0,9.76,81.3,77.8,7.78,0.72,-3.5
00:15:40,4.8980,1.9902,1.9537,0.4498,17.46,18.96,823.0,9.75,81.3,82.3,8.23,0.68,1.0
00:15:50,4.9000,1.9907,1.9808,0.4553,17.70,19.19,715.0,9.75,81.3,71.5,7.15,0.78,-9.8
00:16:00,4.8990,1.9903,2.0079,0.4609,17.95,19.43,822.0,9.75,81.3,82.2,8.22,0.68,0.9
00:16:10,4.9000,1.9902,2.0350,0.4664,18.19,19.66,817.0,9.75,81.3,81.7,8.17,0.68,0.4
00:16:20,4.8980,1.9901,2.0621,0.4719,18.43,19.89,837.0,9.75,81.3,83.7,8.37,0.67,2.4
00:16:30,4.8970,1.9904,2.0892,0.4775,18.67,20.13,829.0,9.75,81.3,82.9,8.29,0.67,1.6
00:16:40,4.8960,1.9899,2.1162,0.4830,18.91,20.36,821.0,9.74,81.2,82.1,8.21,0.68,0.9
00:16:50,4.8960,1.9899,2.1433,0.4885,19.16,20.59,821.0,9.74,81.2,82.1,8.21,0.68,0.9
00:17:00,4.8960,1.9904,2.1703,0.4940,19.40,20.83,815.0,9.74,81.2,81.5,8.15,0.68,0.3
00:17:10,4.8960,1.9904,2.1974,0.4996,19.64,21.06,810.0,9.74,81.2,81.0,8.1,0.69,-0.2
00:17:20,4.8950,1.9902,2.2245,0.5051,19.88,21.29,803.0,9.74,81.2,80.3,8.03,0.69,-0.9
00:17:30,4.8940,1.9906,2.2515,0.5106,20.12,21.52,797.0,9.74,81.2,79.7,7.97,0.7,-1.5
00:17:40,4.8940,1.9903,2.2786,0.5162,20.36,21.76,792.0,9.74,81.2,79.2,7.92,0.7,-2.0
00:17:50,4.8920,1.9900,2.3056,0.5217,20.61,21.99,786.0,9.74,81.2,78.6,7.86,0.71,-2.6
00:18:00,4.8910,1.9902,2.3327,0.5272,20.85,22.22,782.0,9.73,81.1,78.2,7.82,0.71,-2.9
00:18:10,4.8900,1.9903,2.3597,0.5327,21.09,22.46,777.0,9.73,81.1,77.7,7.77,0.72,-3.4
00:18:20,4.8900,1.9907,2.3868,0.5383,21.33,22.69,772.0,9.73,81.1,77.2,7.72,0.72,-3.9
00:18:30,4.8900,1.9904,2.4138,0.5438,21.57,22.92,768.0,9.73,81.1,76.8,7.68,0.72,-4.3
00:18:40,4.8900,1.9904,2.4408,0.5493,21.81,23.16,766.0,9.73,81.1,76.6,7.66,0.73,-4.5
00:18:50,4.8900,1.9901,2.4679,0.5549,22.06,23.39,762.0,9.73,81.1,76.2,7.62,0.73,-4.9
00:19:00,4.8900,1.9904,2.4949,0.5604,22.30,23.62,760.0,9.73,81.1,76.0,7.6,0.73,-5.1
00:19:10,4.8900,1.9903,2.5219,0.5659,22.54,23.85,760.0,9.73,81.1,76.0,7.6,0.73,-5.1
00:19:20,4.8900,1.9904,2.5490,0.5714,22.78,24.09,760.0,9.73,81.1,76.0,7.6,0.73,-5.1
00:19:30,4.8900,1.9906,2.5760,0.5770,23.02,24.32,760.0,9.73,81.1,76.0,7.6,0.73,-5.1
00:19:40,4.8910,1.9904,2.6030,0.5825,23.26,24.55,761.0,9.74,81.2,76.1,7.61,0.73,-5.1
00:19:50,4.8920,1.9905,2.6301,0.5880,23.51,24.79,761.0,9.74,81.2,76.1,7.61,0.73,-5.1
00:20:00,4.8930,1.9910,2.6572,0.5936,23.75,25.02,757.0,9.74,81.2,75.7,7.57,0.74,-5.5
00:20:10,4.8930,1.9905,2.6842,0.5991,23.99,25.25,761.0,9.74,81.2,76.1,7.61,0.73,-5.1
00:20:20,4.8930,1.9907,2.7113,0.6046,24.23,25.49,762.0,9.74,81.2,76.2,7.62,0.73,-5.0
00:20:30,4.8930,1.9907,2.7383,0.6102,24.47,25.72,761.0,9.74,81.2,76.1,7.61,0.73,-5.1
00:20:40,4.8920,1.9908,2.7654,0.6157,24.72,25.95,761.0,9.74,81.2,76.1,7.61,0.73,-5.1
00:20:50,4.8920,1.9911,2.7924,0.6212,24.96,26.19,760.0,9.74,81.2,76.0,7.6,0.73,-5.2
00:21:00,4.8920,1.9903,2.8195,0.6267,25.20,26.42,766.0,9.74,81.2,76.6,7.66,0.73,-4.6
00:21:10,4.8930,1.9909,2.8465,0.6323,25.44,26.65,778.0,9.74,81.2,77.8,7.78,0.72,-3.4
00:21:20,2.7220,1.1828,2.8555,0.6356,25.52,26.79,758.0,3.22,26.8,75.8,7.58,0.24,49.0
00:21:30,2.6400,0.8003,2.8613,0.6378,25.57,26.88,146.9,2.11,17.6,14.7,1.469,0.82,-2.9
00:21:40,2.6060,0.6855,2.8663,0.6397,25.62,26.96,133.7,1.79,14.9,13.4,1.337,0.77,-1.5
00:21:50,2.5890,0.6166,2.8707,0.6414,25.66,27.04,112.5,1.6,13.3,11.3,1.125,0.81,-2.0
00:22:00,2.5920,0.6221,2.8752,0.6431,25.70,27.11,109.0,1.61,13.4,10.9,1.09,0.84,-2.5
00:22:10,2.6000,0.6531,2.8799,0.6449,25.74,27.19,111.0,1.7,14.2,11.1,1.11,0.88,-3.1
00:22:20,2.6430,0.8029,2.8858,0.6472,25.79,27.28,119.3,2.12,17.7,11.9,1.193,1.02,-5.8
00:22:30,2.7030,1.0710,2.8939,0.6501,25.86,27.41,189.2,2.89,24.1,18.9,1.892,0.87,-5.2
00:22:40,2.6820,0.9744,2.9011,0.6529,25.93,27.52,159.4,2.61,21.8,15.9,1.594,0.94,-5.9
00:22:50,4.8990,1.9903,2.9282,0.6584,26.17,27.75,371.0,9.75,81.3,37.1,3.71,1.5,-44.2
00:23:00,4.9030,1.9905,2.9553,0.6639,26.41,27.99,796.0,9.76,81.3,79.6,7.96,0.7,-1.7
00:23:10,4.9020,1.9904,2.9824,0.6694,26.66,28.22,801.0,9.76,81.3,80.1,8.01,0.7,-1.2
00:23:20,4.9000,1.9914,3.0095,0.6750,26.90,28.45,795.0,9.76,81.3,79.5,7.95,0.7,-1.8
00:23:30,4.8990,1.9904,3.0366,0.6805,27.14,28.68,791.0,9.75,81.3,79.1,7.91,0.7,-2.2
00:23:40,4.8990,1.9912,3.0637,0.6860,27.38,28.92,791.0,9.75,81.3,79.1,7.91,0.7,-2.2
00:23:50,4.8980,1.9910,3.0908,0.6916,27.62,29.15,789.0,9.75,81.3,78.9,7.89,0.71,-2.4
00:24:00,4.8960,1.9915,3.1179,0.6971,27.87,29.38,787.0,9.75,81.3,78.7,7.87,0.71,-2.6
00:24:10,4.8950,1.9911,3.1450,0.7026,28.11,29.62,784.0,9.75,81.3,78.4,7.84,0.71,-2.9
00:24:20,4.8950,1.9913,3.1720,0.7082,28.35,29.85,785.0,9.75,81.3,78.5,7.85,0.71,-2.8
00:24:30,4.8940,1.9910,3.1991,0.7137,28.59,30.08,782.0,9.74,81.2,78.2,7.82,0.71,-3.0
00:24:40,4.8930,1.9910,3.2262,0.7192,28.83,30.32,776.0,9.74,81.2,77.6,7.76,0.72,-3.6
00:24:50,4.8930,1.9907,3.2532,0.7247,29.08,30.55,771.0,9.74,81.2,77.1,7.71,0.72,-4.1
00:25:00,4.8930,1.9909,3.2803,0.7303,29.32,30.78,767.0,9.74,81.2,76.7,7.67,0.73,-4.5
00:25:10,4.8920,1.9911,3.3073,0.7358,29.56,31.02,759.0,9.74,81.2,75.9,7.59,0.73,-5.3
00:25:20,4.8920,1.9905,3.3344,0.7413,29.80,31.25,757.0,9.74,81.2,75.7,7.57,0.74,-5.5
00:25:30,4.8920,1.9905,3.3614,0.7469,30.04,31.48,757.0,9.74,81.2,75.7,7.57,0.74,-5.5
00:25:40,4.8910,1.9906,3.3885,0.7524,30.28,31.72,755.0,9.74,81.2,75.5,7.55,0.74,-5.7
