Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Power Score,Sun Score,Irradiance/100,Efficiency(%)
00:00:00,2.8180,1.3067,0.0102,0.0036,0.21,0.22,783.0,3.68,39.8,78.3,7.83,0.47
00:00:10,2.8110,1.3092,0.0205,0.0073,0.41,0.44,779.0,3.68,39.8,77.9,7.79,0.47
00:00:20,2.8000,1.3044,0.0306,0.0109,0.62,0.66,779.0,3.65,39.5,77.9,7.79,0.46
00:00:30,2.7900,1.3025,0.0407,0.0145,0.83,0.88,780.0,3.63,39.2,78.0,7.8,0.46
00:00:40,2.7810,1.3059,0.0508,0.0181,1.03,1.10,781.0,3.63,39.2,78.1,7.81,0.46
00:00:50,2.7750,1.3086,0.0609,0.0218,1.23,1.33,782.0,3.63,39.2,78.2,7.82,0.46
00:01:00,2.7680,1.3132,0.0710,0.0254,1.44,1.55,781.0,3.63,39.2,78.1,7.81,0.46
00:01:10,2.7630,1.3155,0.0811,0.0291,1.64,1.77,782.0,3.63,39.2,78.2,7.82,0.46
00:01:20,2.7580,1.3179,0.0912,0.0327,1.85,1.99,782.0,3.63,39.2,78.2,7.82,0.46
00:01:30,2.7510,1.3178,0.1012,0.0364,2.05,2.22,781.0,3.63,39.2,78.1,7.81,0.46
00:01:40,2.7460,1.3209,0.1113,0.0401,2.26,2.44,781.0,3.63,39.2,78.1,7.81,0.46
00:01:50,2.7390,1.3211,0.1214,0.0437,2.46,2.66,779.0,3.62,39.1,77.9,7.79,0.46
00:02:00,2.7320,1.3185,0.1314,0.0474,2.66,2.89,778.0,3.6,38.9,77.8,7.78,0.46
00:02:10,2.7920,1.3199,0.1416,0.0511,2.87,3.11,773.0,3.69,39.9,77.3,7.73,0.47
00:02:20,2.7940,1.3156,0.1518,0.0547,3.08,3.33,773.0,3.68,39.8,77.3,7.73,0.47
00:02:30,4.3450,0.4176,0.1568,0.0559,3.18,3.40,774.0,1.81,19.6,77.4,7.74,0.23
00:02:40,2.7420,1.3202,0.1669,0.0595,3.39,3.63,776.0,3.62,39.1,77.6,7.76,0.46
00:02:50,2.7350,1.3296,0.1770,0.0632,3.59,3.85,776.0,3.64,39.4,77.6,7.76,0.46
00:03:00,2.7310,1.3311,0.1871,0.0669,3.80,4.08,776.0,3.64,39.4,77.6,7.76,0.46
00:03:10,5.1660,0.0092,0.1872,0.0670,3.80,4.08,773.0,0.05,0.5,77.3,7.73,0.01
00:03:20,2.7370,1.3320,0.1974,0.0707,4.00,4.30,773.0,3.65,39.5,77.3,7.73,0.47
00:03:30,5.1630,0.2373,0.2008,0.0713,4.07,4.34,775.0,1.23,13.3,77.5,7.75,0.16
00:03:40,2.7380,1.3372,0.2109,0.0750,4.28,4.57,776.0,3.66,39.6,77.6,7.76,0.47
00:03:50,2.7370,1.3412,0.2211,0.0788,4.49,4.80,775.0,3.67,39.7,77.5,7.75,0.47
00:04:00,2.7400,1.3479,0.2314,0.0825,4.69,5.03,774.0,3.69,39.9,77.4,7.74,0.47
00:04:10,2.7370,1.3505,0.2417,0.0863,4.90,5.25,775.0,3.7,40.0,77.5,7.75,0.47
00:04:20,2.7370,1.3542,0.2520,0.0900,5.11,5.48,776.0,3.71,40.1,77.6,7.76,0.47
00:04:30,2.7350,1.3597,0.2623,0.0938,5.32,5.71,775.0,3.72,40.2,77.5,7.75,0.48
