Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Sunlight Level
00:00:00,4.6700,1.9906,0.0258,0.0055,0.14,0.14,858.0,9.3,8.58
00:00:10,4.6610,1.9901,0.0516,0.0111,0.28,0.27,861.0,9.28,8.61
00:00:20,4.6610,1.9910,0.0774,0.0166,0.42,0.41,858.0,9.28,8.58
00:00:30,4.6600,1.9909,0.1031,0.0221,0.56,0.55,862.0,9.28,8.62
00:00:40,4.6600,1.9911,0.1289,0.0276,0.70,0.68,860.0,9.28,8.6
00:00:50,4.6590,1.9919,0.1547,0.0332,0.84,0.82,860.0,9.28,8.6
00:01:00,4.6580,1.9912,0.1805,0.0387,0.99,0.96,857.0,9.28,8.57
00:01:10,4.6570,1.9910,0.2062,0.0442,1.13,1.09,854.0,9.27,8.54
00:01:20,4.6560,1.9907,0.2320,0.0498,1.27,1.23,853.0,9.27,8.53
00:01:30,4.6560,1.9897,0.2577,0.0553,1.41,1.37,854.0,9.26,8.54
00:01:40,4.6550,1.9908,0.2834,0.0608,1.55,1.50,857.0,9.27,8.57
00:01:50,4.6540,1.9903,0.3092,0.0664,1.69,1.64,849.0,9.26,8.49
00:02:00,4.6520,1.9898,0.3349,0.0719,1.83,1.78,848.0,9.26,8.48
00:02:10,4.6510,1.9896,0.3606,0.0774,1.97,1.91,843.0,9.25,8.43
00:02:20,4.6510,1.9898,0.3863,0.0829,2.11,2.05,842.0,9.25,8.42
00:02:30,4.6510,1.9894,0.4120,0.0885,2.25,2.19,839.0,9.25,8.39
00:02:40,4.6510,1.9898,0.4377,0.0940,2.39,2.32,838.0,9.25,8.38
00:02:50,4.6500,1.9894,0.4634,0.0995,2.53,2.46,840.0,9.25,8.4
00:03:00,4.6510,1.9895,0.4891,0.1050,2.67,2.60,843.0,9.25,8.43
00:03:10,4.6510,1.9897,0.5148,0.1106,2.81,2.73,848.0,9.25,8.48
00:03:20,4.6510,1.9897,0.5405,0.1161,2.95,2.87,851.0,9.25,8.51
00:03:30,4.6500,1.9901,0.5662,0.1216,3.09,3.01,850.0,9.25,8.5
00:03:40,4.6490,1.9897,0.5919,0.1272,3.23,3.14,842.0,9.25,8.42
00:03:50,4.6470,1.9895,0.6176,0.1327,3.37,3.28,841.0,9.25,8.41
00:04:00,4.6490,1.9890,0.6433,0.1382,3.51,3.42,840.0,9.25,8.4
00:04:10,4.6480,1.9899,0.6690,0.1437,3.65,3.55,840.0,9.25,8.4
00:04:20,4.6480,1.9898,0.6947,0.1493,3.79,3.69,842.0,9.25,8.42
00:04:30,4.6480,1.9897,0.7203,0.1548,3.93,3.83,843.0,9.25,8.43
00:04:40,4.6480,1.9900,0.7460,0.1603,4.07,3.96,844.0,9.25,8.44
00:04:50,4.6480,1.9901,0.7717,0.1658,4.22,4.10,849.0,9.25,8.49
00:05:00,4.6470,1.9898,0.7974,0.1714,4.36,4.24,849.0,9.25,8.49
00:05:10,4.6470,1.9898,0.8231,0.1769,4.50,4.37,849.0,9.25,8.49
00:05:20,4.6460,1.9895,0.8488,0.1824,4.64,4.51,843.0,9.24,8.43
00:05:30,4.6460,1.9897,0.8745,0.1880,4.78,4.65,832.0,9.24,8.32
00:05:40,4.6470,1.9900,0.9001,0.1935,4.92,4.78,836.0,9.25,8.36
00:05:50,4.6470,1.9898,0.9258,0.1990,5.06,4.92,843.0,9.25,8.43
00:06:00,4.6470,1.9896,0.9515,0.2045,5.20,5.06,855.0,9.25,8.55
00:06:10,4.6460,1.9903,0.9772,0.2101,5.34,5.19,868.0,9.25,8.68
00:06:20,4.6380,1.9899,1.0028,0.2156,5.48,5.33,721.0,9.23,7.21
00:06:30,2.6570,0.9408,1.0098,0.2182,5.52,5.39,310.0,2.5,3.1
00:06:40,2.7550,1.4020,1.0205,0.2221,5.57,5.49,461.0,3.86,4.61
00:06:50,2.6670,1.0301,1.0281,0.2250,5.62,5.56,413.0,2.75,4.13
00:07:00,2.5720,0.6121,1.0325,0.2267,5.64,5.60,183.0,1.57,1.83
00:07:10,2.5520,0.5620,1.0365,0.2282,5.66,5.64,173.5,1.43,1.735
00:07:20,2.5470,0.5530,1.0404,0.2298,5.68,5.68,163.2,1.41,1.632
00:07:30,2.5480,0.5588,1.0444,0.2313,5.70,5.72,163.8,1.42,1.638
00:07:40,2.5530,0.5770,1.0485,0.2329,5.73,5.76,166.1,1.47,1.661
00:07:50,2.6720,1.0237,1.0561,0.2358,5.77,5.83,181.1,2.74,1.811
00:08:00,4.6540,1.9894,1.0818,0.2413,5.91,5.96,759.0,9.26,7.59
00:08:10,4.6530,1.9900,1.1075,0.2468,6.05,6.10,860.0,9.26,8.6
00:08:20,4.6520,1.9895,1.1332,0.2523,6.19,6.24,863.0,9.26,8.63
00:08:30,4.6510,1.9901,1.1589,0.2579,6.33,6.37,864.0,9.26,8.64
00:08:40,4.6500,1.9901,1.1846,0.2634,6.47,6.51,862.0,9.25,8.62
00:08:50,4.6500,1.9906,1.2103,0.2689,6.61,6.65,865.0,9.26,8.65
00:09:00,4.6500,1.9902,1.2360,0.2744,6.75,6.78,867.0,9.25,8.67
00:09:10,4.6490,1.9902,1.2617,0.2800,6.89,6.92,869.0,9.25,8.69
00:09:20,4.6490,1.9903,1.2874,0.2855,7.03,7.06,874.0,9.25,8.74
00:09:30,4.6490,1.9906,1.3131,0.2910,7.17,7.19,873.0,9.25,8.73
00:09:40,4.6480,1.9909,1.3389,0.2966,7.31,7.33,873.0,9.25,8.73
00:09:50,4.6460,1.9914,1.3646,0.3021,7.45,7.47,869.0,9.25,8.69
00:10:00,4.6450,1.9903,1.3902,0.3076,7.59,7.60,870.0,9.24,8.7
00:10:10,4.6460,1.9896,1.4159,0.3132,7.73,7.74,869.0,9.24,8.69
00:10:20,4.6450,1.9903,1.4416,0.3187,7.87,7.88,870.0,9.24,8.7
00:10:30,4.6440,1.9900,1.4673,0.3242,8.01,8.01,875.0,9.24,8.75
00:10:40,4.6430,1.9900,1.4929,0.3297,8.15,8.15,879.0,9.24,8.79
00:10:50,4.6420,1.9898,1.5186,0.3353,8.29,8.29,884.0,9.24,8.84
00:11:00,4.6410,1.9896,1.5442,0.3408,8.43,8.42,877.0,9.23,8.77
00:11:10,4.6410,1.9895,1.5699,0.3463,8.57,8.56,878.0,9.23,8.78
