Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Power Score,Watts/oz,cW/oz,Sun Score,Irradiance/100,Efficiency(%)
00:00:00,4.6170,0.0094,0.0001,0.0000,0.01,0.00,187.7,0.04,0.6,0.0,0.0,18.8,1.877,0.03
00:00:10,4.6170,0.0094,0.0002,0.0001,0.01,0.01,188.0,0.04,0.6,0.0,0.0,18.8,1.88,0.03
00:00:20,5.1330,0.0096,0.0004,0.0001,0.02,0.01,191.2,0.05,0.7,0.0,0.0,19.1,1.912,0.04
00:00:30,4.6170,0.0094,0.0005,0.0001,0.03,0.01,190.7,0.04,0.6,0.0,0.0,19.1,1.907,0.03
00:00:40,4.6170,0.0094,0.0006,0.0001,0.03,0.02,189.8,0.04,0.6,0.0,0.0,19.0,1.898,0.03
00:00:50,4.6170,0.0095,0.0007,0.0002,0.04,0.02,190.4,0.04,0.6,0.0,0.0,19.0,1.904,0.03
00:01:00,4.6170,0.0093,0.0009,0.0002,0.05,0.02,190.8,0.04,0.6,0.0,0.0,19.1,1.908,0.03
00:01:10,4.6170,0.0095,0.0010,0.0002,0.05,0.03,191.1,0.04,0.6,0.0,0.0,19.1,1.911,0.03
00:01:20,4.6170,0.0093,0.0011,0.0002,0.06,0.03,191.2,0.04,0.6,0.0,0.0,19.1,1.912,0.03
00:01:30,5.1340,0.0096,0.0012,0.0003,0.07,0.03,191.4,0.05,0.7,0.0,0.0,19.1,1.914,0.04
00:01:40,4.6170,0.0094,0.0014,0.0003,0.07,0.04,190.7,0.04,0.6,0.0,0.0,19.1,1.907,0.03
00:01:50,4.0020,0.0435,0.0018,0.0004,0.10,0.05,190.5,0.17,2.4,0.01,0.1,19.1,1.905,0.12
00:02:00,4.6180,0.0095,0.0020,0.0004,0.11,0.06,190.5,0.04,0.6,0.0,0.0,19.1,1.905,0.03
00:02:10,5.1320,0.0095,0.0021,0.0005,0.11,0.06,190.9,0.05,0.7,0.0,0.0,19.1,1.909,0.04
00:02:20,4.2460,0.0390,0.0026,0.0006,0.14,0.08,192.4,0.17,2.4,0.01,0.1,19.2,1.924,0.12
00:02:30,4.6180,0.0095,0.0027,0.0006,0.14,0.08,193.5,0.04,0.6,0.0,0.0,19.4,1.935,0.03
00:02:40,5.1350,0.0096,0.0028,0.0006,0.15,0.08,196.0,0.05,0.7,0.0,0.0,19.6,1.96,0.03
00:02:50,3.7880,0.0553,0.0034,0.0008,0.18,0.10,198.2,0.21,3.0,0.01,0.1,19.8,1.982,0.14
00:03:00,4.6180,0.0094,0.0035,0.0008,0.19,0.11,201.0,0.04,0.6,0.0,0.0,20.1,2.01,0.03
00:03:10,4.6180,0.0095,0.0036,0.0008,0.20,0.11,202.0,0.04,0.6,0.0,0.0,20.2,2.02,0.03
00:03:20,2.7080,0.1110,0.0045,0.0011,0.24,0.15,202.0,0.3,4.3,0.02,0.2,20.2,2.02,0.2
00:03:30,4.0780,0.0569,0.0051,0.0013,0.28,0.17,203.0,0.23,3.3,0.01,0.1,20.3,2.03,0.15
00:03:40,2.5910,0.1134,0.0059,0.0016,0.32,0.21,204.0,0.29,4.1,0.02,0.2,20.4,2.04,0.19
00:03:50,5.1350,0.0090,0.0061,0.0016,0.33,0.22,206.0,0.05,0.7,0.0,0.0,20.6,2.06,0.03
00:04:00,4.3990,0.0344,0.0065,0.0017,0.35,0.23,208.0,0.15,2.1,0.01,0.1,20.8,2.08,0.1
00:04:10,4.6190,0.0096,0.0066,0.0018,0.36,0.23,209.0,0.04,0.6,0.0,0.0,20.9,2.09,0.03
00:04:20,4.6190,0.0095,0.0067,0.0018,0.36,0.24,217.0,0.04,0.6,0.0,0.0,21.7,2.17,0.02
00:04:30,4.6190,0.0094,0.0069,0.0018,0.37,0.24,518.0,0.04,0.6,0.0,0.0,51.8,5.18,0.01
00:04:40,5.0140,0.0095,0.0070,0.0018,0.38,0.24,842.0,0.05,0.7,0.0,0.0,84.2,8.42,0.01
00:04:50,2.4660,0.2054,0.0084,0.0024,0.45,0.32,858.0,0.51,7.3,0.03,0.3,85.8,8.58,0.08
00:05:00,4.6180,0.0095,0.0085,0.0024,0.46,0.32,297.0,0.04,0.6,0.0,0.0,29.7,2.97,0.02
00:05:10,4.6820,0.0095,0.0086,0.0025,0.47,0.33,241.0,0.04,0.6,0.0,0.0,24.1,2.41,0.02
00:05:20,4.6190,0.0095,0.0088,0.0025,0.47,0.33,207.0,0.04,0.6,0.0,0.0,20.7,2.07,0.03
00:05:30,4.6190,0.0096,0.0089,0.0025,0.48,0.33,235.0,0.04,0.6,0.0,0.0,23.5,2.35,0.02
00:05:40,4.6190,0.0094,0.0090,0.0025,0.49,0.34,246.0,0.04,0.6,0.0,0.0,24.6,2.46,0.02
00:05:50,4.6190,0.0096,0.0091,0.0026,0.49,0.34,239.0,0.04,0.6,0.0,0.0,23.9,2.39,0.02
00:06:00,4.6190,0.0094,0.0092,0.0026,0.50,0.34,225.0,0.04,0.6,0.0,0.0,22.5,2.25,0.02
00:06:10,5.1360,0.0096,0.0094,0.0026,0.51,0.35,207.0,0.05,0.7,0.0,0.0,20.7,2.07,0.03
00:06:20,4.5570,0.0210,0.0096,0.0027,0.52,0.35,199.5,0.1,1.4,0.01,0.1,20.0,1.995,0.07
00:06:30,4.6170,0.0168,0.0099,0.0027,0.53,0.36,194.5,0.08,1.1,0.01,0.1,19.5,1.945,0.06
00:06:40,4.6190,0.0093,0.0100,0.0027,0.54,0.36,190.0,0.04,0.6,0.0,0.0,19.0,1.9,0.03
00:06:50,2.7030,0.1144,0.0108,0.0031,0.58,0.41,185.0,0.31,4.4,0.02,0.2,18.5,1.85,0.23
00:07:00,4.4220,0.0457,0.0114,0.0032,0.62,0.42,180.0,0.2,2.9,0.01,0.1,18.0,1.8,0.15
00:07:10,3.6230,0.0682,0.0121,0.0034,0.65,0.45,177.9,0.25,3.6,0.02,0.2,17.8,1.779,0.19
00:07:20,5.1360,0.0096,0.0122,0.0034,0.66,0.45,177.1,0.05,0.7,0.0,0.0,17.7,1.771,0.04
00:07:30,2.7060,0.1160,0.0131,0.0037,0.71,0.49,177.4,0.31,4.4,0.02,0.2,17.7,1.774,0.24
00:07:40,2.7040,0.1147,0.0140,0.0041,0.75,0.54,178.7,0.31,4.4,0.02,0.2,17.9,1.787,0.23
00:07:50,4.6200,0.0095,0.0141,0.0041,0.76,0.54,180.1,0.04,0.6,0.0,0.0,18.0,1.801,0.03
00:08:00,4.6790,0.0094,0.0142,0.0041,0.77,0.54,180.5,0.04,0.6,0.0,0.0,18.1,1.805,0.03
00:08:10,2.6770,0.1160,0.0151,0.0044,0.81,0.59,182.2,0.31,4.4,0.02,0.2,18.2,1.822,0.23
00:08:20,4.6230,0.0095,0.0152,0.0045,0.82,0.59,186.4,0.04,0.6,0.0,0.0,18.6,1.864,0.03
00:08:30,5.1360,0.0096,0.0153,0.0045,0.83,0.59,200.0,0.05,0.7,0.0,0.0,20.0,2.0,0.03
00:08:40,4.6190,0.0094,0.0154,0.0045,0.83,0.60,809.0,0.04,0.6,0.0,0.0,80.9,8.09,0.01
00:08:50,5.0360,0.0096,0.0156,0.0045,0.84,0.60,936.0,0.05,0.7,0.0,0.0,93.6,9.36,0.01
00:09:00,4.8870,0.0095,0.0157,0.0046,0.85,0.60,942.0,0.05,0.7,0.0,0.0,94.2,9.42,0.01
00:09:10,4.8870,0.3383,0.0203,0.0055,1.09,0.73,941.0,1.65,23.6,0.1,1.0,94.1,9.41,0.24
00:09:20,5.0990,0.1249,0.0221,0.0058,1.19,0.77,932.0,0.64,9.1,0.04,0.4,93.2,9.32,0.09
00:09:30,5.0360,0.0096,0.0222,0.0059,1.20,0.78,920.0,0.05,0.7,0.0,0.0,92.0,9.2,0.01
00:09:40,5.1360,0.0095,0.0223,0.0059,1.20,0.78,921.0,0.05,0.7,0.0,0.0,92.1,9.21,0.01
00:09:50,5.0490,0.0096,0.0225,0.0059,1.21,0.78,918.0,0.05,0.7,0.0,0.0,91.8,9.18,0.01
00:10:00,5.0090,0.0096,0.0226,0.0060,1.22,0.79,918.0,0.05,0.7,0.0,0.0,91.8,9.18,0.01
00:10:10,4.8880,0.1975,0.0253,0.0065,1.36,0.86,912.0,0.97,13.9,0.06,0.6,91.2,9.12,0.14
