Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Power Score,Watts/oz,cW/oz,Sun Score,Irradiance/100,Efficiency(%)
00:00:00,4.4370,2.0004,0.0247,0.0056,1.04,0.91,803.0,8.88,111.0,0.56,5.6,80.3,8.03,1.01
00:00:10,5.2970,0.0496,0.0254,0.0057,1.07,0.94,807.0,0.26,3.3,0.02,0.2,80.7,8.07,0.03
00:00:20,4.3780,2.0010,0.0497,0.0113,2.09,1.85,810.0,8.76,109.5,0.55,5.5,81.0,8.1,0.98
00:00:30,5.2980,0.1421,0.0518,0.0116,2.18,1.91,803.0,0.75,9.4,0.05,0.5,80.3,8.03,0.08
00:00:40,4.3100,2.0011,0.0758,0.0172,3.19,2.83,811.0,8.62,107.7,0.54,5.4,81.1,8.11,0.97
00:00:50,4.2870,1.9583,0.0991,0.0226,4.17,3.72,796.0,8.4,105.0,0.53,5.3,79.6,7.96,0.96
00:01:00,4.2320,2.0015,0.1226,0.0282,5.16,4.64,783.0,8.47,105.9,0.53,5.3,78.3,7.83,0.98
00:01:10,4.1660,2.0016,0.1458,0.0338,6.13,5.55,777.0,8.34,104.3,0.52,5.2,77.7,7.77,0.98
00:01:20,4.1800,2.0009,0.1690,0.0393,7.11,6.46,774.0,8.36,104.5,0.52,5.2,77.4,7.74,0.98
00:01:30,4.1760,2.0000,0.1922,0.0449,8.09,7.38,792.0,8.35,104.4,0.52,5.2,79.2,7.92,0.96
00:01:40,4.1820,2.0017,0.2155,0.0504,9.06,8.29,797.0,8.37,104.6,0.52,5.2,79.7,7.97,0.95
00:01:50,5.3060,0.0092,0.2156,0.0505,9.07,8.29,800.0,0.05,0.6,0.0,0.0,80.0,8.0,0.01
00:02:00,4.2580,1.9120,0.2382,0.0558,10.02,9.17,802.0,8.14,101.8,0.51,5.1,80.2,8.02,0.92
00:02:10,5.3070,0.0092,0.2384,0.0558,10.03,9.17,801.0,0.05,0.6,0.0,0.0,80.1,8.01,0.01
00:02:20,4.1240,1.9993,0.2613,0.0614,10.99,10.08,798.0,8.25,103.1,0.52,5.2,79.8,7.98,0.94
00:02:30,4.1120,1.9979,0.2841,0.0669,11.95,11.00,794.0,8.22,102.8,0.51,5.1,79.4,7.94,0.94
00:02:40,5.3050,0.0091,0.2842,0.0669,11.96,11.00,801.0,0.05,0.6,0.0,0.0,80.1,8.01,0.01
00:02:50,5.3040,0.0982,0.2857,0.0672,12.02,11.05,794.0,0.52,6.5,0.03,0.3,79.4,7.94,0.06
00:03:00,5.3040,0.0092,0.2858,0.0672,12.02,11.05,798.0,0.05,0.6,0.0,0.0,79.8,7.98,0.01
00:03:10,5.3050,0.0092,0.2859,0.0673,12.03,11.05,804.0,0.05,0.6,0.0,0.0,80.4,8.04,0.01
00:03:20,4.0950,1.9976,0.3086,0.0728,12.98,11.97,811.0,8.18,102.3,0.51,5.1,81.1,8.11,0.92
00:03:30,5.3040,0.0092,0.3088,0.0728,12.99,11.97,811.0,0.05,0.6,0.0,0.0,81.1,8.11,0.01
00:03:40,4.0720,2.0002,0.3314,0.0784,13.94,12.88,812.0,8.14,101.8,0.51,5.1,81.2,8.12,0.91
00:03:50,5.3050,0.0092,0.3315,0.0784,13.95,12.89,813.0,0.05,0.6,0.0,0.0,81.3,8.13,0.01
00:04:00,5.3060,0.0093,0.3317,0.0784,13.95,12.89,811.0,0.05,0.6,0.0,0.0,81.1,8.11,0.01
00:04:10,4.0870,1.9999,0.3544,0.0840,14.91,13.81,812.0,8.17,102.1,0.51,5.1,81.2,8.12,0.91
00:04:20,4.0600,2.0011,0.3770,0.0896,15.86,14.72,812.0,8.12,101.5,0.51,5.1,81.2,8.12,0.91
00:04:30,5.3040,0.0091,0.3771,0.0896,15.86,14.72,811.0,0.05,0.6,0.0,0.0,81.1,8.11,0.01
00:04:40,4.0300,1.9996,0.3995,0.0951,16.80,15.64,807.0,8.06,100.8,0.5,5.0,80.7,8.07,0.91
00:04:50,5.1110,0.6044,0.4081,0.0968,17.16,15.91,805.0,3.09,38.6,0.19,1.9,80.5,8.05,0.35
