Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Power Score,Watts/oz,cW/oz,Sun Score,Irradiance/100,Efficiency(%)
00:00:00,3.9020,1.0182,0.0110,0.0028,0.08,0.09,338.0,3.97,33.1,0.24,2.4,33.8,3.38,0.98
00:00:10,3.7360,0.9384,0.0208,0.0054,0.15,0.18,363.0,3.51,29.3,0.21,2.1,36.3,3.63,0.81
00:00:20,4.0060,1.1600,0.0337,0.0087,0.25,0.28,417.0,4.65,38.8,0.28,2.8,41.7,4.17,0.93
00:00:30,3.7890,1.0711,0.0450,0.0116,0.33,0.38,404.0,4.06,33.8,0.24,2.4,40.4,4.04,0.84
00:00:40,3.7670,1.0758,0.0562,0.0146,0.41,0.48,401.0,4.05,33.8,0.24,2.4,40.1,4.01,0.84
00:00:50,3.8380,1.1005,0.0679,0.0177,0.50,0.58,404.0,4.22,35.2,0.25,2.5,40.4,4.04,0.87
00:01:00,3.9410,1.1459,0.0805,0.0209,0.59,0.68,406.0,4.52,37.7,0.27,2.7,40.6,4.06,0.93
00:01:10,3.9300,1.1407,0.0929,0.0240,0.68,0.79,407.0,4.48,37.3,0.27,2.7,40.7,4.07,0.92
00:01:20,5.3410,0.0090,0.0931,0.0241,0.68,0.79,413.0,0.05,0.4,0.0,0.0,41.3,4.13,0.01
00:01:30,5.3410,0.0092,0.0932,0.0241,0.68,0.79,424.0,0.05,0.4,0.0,0.0,42.4,4.24,0.01
00:01:40,5.3410,0.0092,0.0933,0.0241,0.69,0.79,432.0,0.05,0.4,0.0,0.0,43.2,4.32,0.01
00:01:50,4.0460,1.1947,0.1068,0.0274,0.78,0.90,440.0,4.83,40.3,0.29,2.9,44.0,4.4,0.91
00:02:00,3.8530,1.2685,0.1204,0.0309,0.88,1.02,452.0,4.89,40.8,0.29,2.9,45.2,4.52,0.9
00:02:10,5.3400,0.0092,0.1205,0.0310,0.89,1.02,476.0,0.05,0.4,0.0,0.0,47.6,4.76,0.01
00:02:20,2.8850,1.5689,0.1331,0.0353,0.98,1.16,507.0,4.53,37.8,0.27,2.7,50.7,5.07,0.74
00:02:30,3.1890,1.6598,0.1478,0.0399,1.09,1.31,525.0,5.29,44.1,0.32,3.2,52.5,5.25,0.84
00:02:40,3.5860,1.8471,0.1662,0.0451,1.22,1.48,595.0,6.62,55.2,0.4,4.0,59.5,5.95,0.93
00:02:50,3.4550,1.7787,0.1832,0.0500,1.35,1.64,590.0,6.15,51.3,0.37,3.7,59.0,5.9,0.87
00:03:00,4.9760,1.9885,0.2107,0.0555,1.55,1.82,649.0,9.89,82.4,0.59,5.9,64.9,6.49,1.27
00:03:10,4.9750,1.9894,0.2382,0.0611,1.75,2.00,713.0,9.9,82.5,0.59,5.9,71.3,7.13,1.16
00:03:20,3.7560,1.9503,0.2586,0.0665,1.90,2.18,673.0,7.33,61.1,0.44,4.4,67.3,6.73,0.91
00:03:30,3.4590,1.7989,0.2758,0.0715,2.03,2.35,601.0,6.22,51.8,0.37,3.7,60.1,6.01,0.86
00:03:40,3.3960,1.7670,0.2925,0.0764,2.15,2.51,584.0,6.0,50.0,0.36,3.6,58.4,5.84,0.86
00:03:50,3.3440,1.7365,0.3086,0.0812,2.27,2.67,582.0,5.81,48.4,0.35,3.5,58.2,5.82,0.83
00:04:00,2.8880,1.5766,0.3213,0.0856,2.36,2.81,531.0,4.55,37.9,0.27,2.7,53.1,5.31,0.71
00:04:10,3.3480,1.7571,0.3376,0.0905,2.48,2.97,557.0,5.88,49.0,0.35,3.5,55.7,5.57,0.88
00:04:20,3.5780,1.8611,0.3561,0.0956,2.62,3.14,588.0,6.66,55.5,0.4,4.0,58.8,5.88,0.94
00:04:30,0.5280,0.0000,0.3561,0.0956,2.62,3.14,711.0,0.0,0.0,0.0,0.0,71.1,7.11,0.0
00:04:40,4.9710,2.0016,0.3838,0.1012,2.82,3.32,816.0,9.95,82.9,0.6,6.0,81.6,8.16,1.02
00:04:50,4.9700,2.0014,0.4114,0.1068,3.02,3.50,827.0,9.95,82.9,0.6,6.0,82.7,8.27,1.0
00:05:00,4.9700,2.0023,0.4390,0.1123,3.23,3.69,798.0,9.95,82.9,0.6,6.0,79.8,7.98,1.04
00:05:10,4.9700,2.0010,0.4667,0.1179,3.43,3.87,805.0,9.94,82.8,0.6,6.0,80.5,8.05,1.03
00:05:20,4.9700,2.0018,0.4943,0.1234,3.63,4.05,763.0,9.95,82.9,0.6,6.0,76.3,7.63,1.09
00:05:30,4.9700,2.0013,0.5219,0.1290,3.83,4.23,722.0,9.95,82.9,0.6,6.0,72.2,7.22,1.15
00:05:40,4.1010,2.0007,0.5447,0.1346,4.00,4.42,682.0,8.2,68.3,0.49,4.9,68.2,6.82,1.0
00:05:50,3.6900,1.9204,0.5644,0.1399,4.15,4.59,651.0,7.09,59.1,0.43,4.3,65.1,6.51,0.91
00:06:00,3.4670,1.8327,0.5821,0.1450,4.28,4.76,624.0,6.35,52.9,0.38,3.8,62.4,6.24,0.85
00:06:10,3.0460,1.6218,0.5958,0.1495,4.38,4.91,561.0,4.94,41.2,0.3,3.0,56.1,5.61,0.73
00:06:20,2.8580,1.3970,0.6069,0.1534,4.46,5.03,479.0,3.99,33.3,0.24,2.4,47.9,4.79,0.69
00:06:30,1.2320,0.0004,0.6069,0.1534,4.46,5.03,426.0,0.0,0.0,0.0,0.0,42.6,4.26,0.0
00:06:40,3.3960,1.1740,0.6179,0.1566,4.54,5.14,410.0,3.99,33.3,0.24,2.4,41.0,4.1,0.81
00:06:50,5.3360,0.0092,0.6181,0.1567,4.54,5.14,411.0,0.05,0.4,0.0,0.0,41.1,4.11,0.01
