Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Power Score,Watts/oz,cW/oz,Sun Score,Irradiance/100,Efficiency(%)
00:00:00,2.7040,0.6312,0.0047,0.0018,0.69,0.85,804.0,1.71,17.1,0.18,1.8,80.4,8.04,0.16
00:00:10,2.7060,0.6258,0.0094,0.0035,1.37,1.68,806.0,1.69,16.9,0.18,1.8,80.6,8.06,0.16
00:00:20,5.1440,0.0093,0.0096,0.0035,1.39,1.70,807.0,0.05,0.5,0.01,0.1,80.7,8.07,0.0
00:00:30,5.1450,0.0092,0.0097,0.0035,1.41,1.71,805.0,0.05,0.5,0.01,0.1,80.5,8.05,0.0
00:00:40,5.1450,0.0092,0.0098,0.0036,1.43,1.72,801.0,0.05,0.5,0.01,0.1,80.1,8.01,0.0
00:00:50,5.1450,0.0092,0.0100,0.0036,1.45,1.73,799.0,0.05,0.5,0.01,0.1,79.9,7.99,0.0
00:01:00,5.1450,0.0092,0.0101,0.0036,1.47,1.74,797.0,0.05,0.5,0.01,0.1,79.7,7.97,0.0
00:01:10,5.1450,0.0092,0.0102,0.0036,1.49,1.76,798.0,0.05,0.5,0.01,0.1,79.8,7.98,0.0
00:01:20,5.1460,0.0092,0.0104,0.0037,1.51,1.77,797.0,0.05,0.5,0.01,0.1,79.7,7.97,0.0
00:01:30,5.1460,0.0092,0.0105,0.0037,1.52,1.78,798.0,0.05,0.5,0.01,0.1,79.8,7.98,0.0
00:01:40,4.3680,0.3551,0.0148,0.0047,2.15,2.26,792.0,1.55,15.5,0.16,1.6,79.2,7.92,0.15
00:01:50,5.1460,0.0092,0.0149,0.0047,2.17,2.27,789.0,0.05,0.5,0.01,0.1,78.9,7.89,0.0
00:02:00,5.1440,0.1953,0.0177,0.0053,2.57,2.53,787.0,1.0,10.0,0.11,1.1,78.7,7.87,0.1
00:02:10,5.1460,0.0093,0.0179,0.0053,2.59,2.54,784.0,0.05,0.5,0.01,0.1,78.4,7.84,0.0
00:02:20,4.2040,0.4019,0.0226,0.0064,3.28,3.08,789.0,1.69,16.9,0.18,1.8,78.9,7.89,0.16
00:02:30,5.1460,0.0092,0.0227,0.0064,3.29,3.09,782.0,0.05,0.5,0.01,0.1,78.2,7.82,0.0
00:02:40,5.1460,0.0093,0.0228,0.0064,3.31,3.11,781.0,0.05,0.5,0.01,0.1,78.1,7.81,0.0
00:02:50,5.1470,0.0089,0.0229,0.0065,3.33,3.12,780.0,0.05,0.5,0.01,0.1,78.0,7.8,0.0
00:03:00,4.9640,0.2347,0.0262,0.0071,3.80,3.43,776.0,1.17,11.7,0.12,1.2,77.6,7.76,0.11
00:03:10,5.1470,0.0093,0.0263,0.0071,3.82,3.45,781.0,0.05,0.5,0.01,0.1,78.1,7.81,0.0
00:03:20,5.1470,0.0092,0.0264,0.0072,3.84,3.46,781.0,0.05,0.5,0.01,0.1,78.1,7.81,0.0
00:03:30,5.1470,0.0091,0.0266,0.0072,3.86,3.47,780.0,0.05,0.5,0.01,0.1,78.0,7.8,0.0
