Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Sunlight Level
00:00:00,2.0310,0.1289,0.0007,0.0004,0.05,0.08,166.5,0.26,1.665
00:00:10,2.1540,0.1291,0.0015,0.0007,0.10,0.16,165.0,0.28,1.65
00:00:20,5.2280,0.0094,0.0016,0.0007,0.10,0.16,163.2,0.05,1.632
00:00:30,5.2280,0.0093,0.0018,0.0008,0.11,0.17,164.7,0.05,1.647
00:00:40,3.5030,0.1911,0.0036,0.0013,0.23,0.29,168.0,0.67,1.68
00:00:50,4.9550,0.2251,0.0067,0.0019,0.43,0.42,178.4,1.12,1.784
00:01:00,5.2280,0.0087,0.0069,0.0019,0.44,0.43,884.0,0.05,8.84
00:01:10,5.2280,0.0093,0.0070,0.0020,0.45,0.44,897.0,0.05,8.97
00:01:20,5.2290,0.0089,0.0071,0.0020,0.46,0.44,896.0,0.05,8.96
00:01:30,5.2290,0.0093,0.0073,0.0020,0.46,0.45,895.0,0.05,8.95
00:01:40,5.2290,0.0093,0.0074,0.0021,0.47,0.45,895.0,0.05,8.95
00:01:50,5.1600,0.2532,0.0110,0.0028,0.70,0.61,897.0,1.31,8.97
00:02:00,2.7100,1.0174,0.0187,0.0056,1.19,1.23,899.0,2.76,8.99
00:02:10,2.6640,0.7182,0.0240,0.0076,1.53,1.67,902.0,1.91,9.02
00:02:20,2.5710,0.8263,0.0299,0.0099,1.91,2.18,906.0,2.12,9.06
00:02:30,4.0070,0.2738,0.0329,0.0106,2.11,2.34,907.0,1.1,9.07
00:02:40,5.2300,0.0093,0.0331,0.0107,2.12,2.35,909.0,0.05,9.09
00:02:50,5.2300,0.0092,0.0332,0.0107,2.12,2.35,909.0,0.05,9.09
00:03:00,5.2300,0.0091,0.0333,0.0107,2.13,2.36,910.0,0.05,9.1
00:03:10,5.2280,0.1290,0.0352,0.0111,2.25,2.44,910.0,0.67,9.1
00:03:20,3.3670,1.3635,0.0480,0.0149,3.07,3.27,915.0,4.59,9.15
00:03:30,2.4990,0.7264,0.0530,0.0169,3.39,3.72,896.0,1.82,8.96
00:03:40,5.2300,0.0089,0.0531,0.0169,3.40,3.72,820.0,0.05,8.2
00:03:50,2.8170,1.5139,0.0650,0.0211,4.16,4.65,396.0,4.26,3.96
00:04:00,2.8330,1.6577,0.0780,0.0257,4.99,5.67,331.0,4.7,3.31
00:04:10,3.6670,0.3644,0.0817,0.0267,5.23,5.89,781.0,1.34,7.81
00:04:20,5.2300,0.0093,0.0819,0.0267,5.24,5.89,216.0,0.05,2.16
00:04:30,5.2310,0.0085,0.0820,0.0268,5.25,5.90,214.0,0.04,2.14
00:04:40,4.1630,0.1959,0.0843,0.0273,5.39,6.02,214.0,0.82,2.14
00:04:50,4.1560,0.1690,0.0862,0.0278,5.52,6.12,217.0,0.7,2.17
00:05:00,2.9810,2.0718,0.1034,0.0335,6.61,7.39,306.0,6.18,3.06
00:05:10,2.5140,0.7586,0.1087,0.0356,6.95,7.86,931.0,1.91,9.31
00:05:20,2.7520,1.2620,0.1183,0.0391,7.57,8.63,271.0,3.47,2.71
00:05:30,3.7080,1.1082,0.1297,0.0422,8.30,9.31,663.0,4.11,6.63
00:05:40,4.7240,0.2794,0.1334,0.0430,8.53,9.48,232.0,1.32,2.32
00:05:50,2.7930,1.4871,0.1449,0.0471,9.27,10.39,328.0,4.15,3.28
00:06:00,5.2310,0.0093,0.1451,0.0472,9.28,10.39,209.0,0.05,2.09
00:06:10,5.2310,0.0092,0.1452,0.0472,9.29,10.40,202.0,0.05,2.02
00:06:20,5.2310,0.0094,0.1453,0.0472,9.30,10.40,196.0,0.05,1.96
00:06:30,5.2310,0.0092,0.1455,0.0472,9.31,10.41,192.0,0.05,1.92
00:06:40,5.2310,0.0094,0.1456,0.0473,9.32,10.42,188.0,0.05,1.88
00:06:50,5.2310,0.0093,0.1457,0.0473,9.32,10.42,187.0,0.05,1.87
00:07:00,2.1970,0.1589,0.1467,0.0477,9.39,10.52,184.5,0.35,1.845
00:07:10,5.2310,0.0090,0.1468,0.0478,9.39,10.52,183.0,0.05,1.83
00:07:20,5.2310,0.0094,0.1470,0.0478,9.40,10.53,182.0,0.05,1.82
00:07:30,5.2310,0.0085,0.1471,0.0478,9.41,10.54,183.5,0.04,1.835
00:07:40,4.9840,0.1397,0.1490,0.0482,9.54,10.62,184.5,0.7,1.845
00:07:50,3.6490,0.1668,0.1507,0.0487,9.64,10.72,186.5,0.61,1.865
00:08:00,2.3090,0.2714,0.1525,0.0494,9.75,10.89,190.5,0.63,1.905
00:08:10,2.7750,1.2627,0.1622,0.0529,10.38,11.66,210.0,3.5,2.1
00:08:20,5.2300,0.0094,0.1623,0.0529,10.39,11.67,231.0,0.05,2.31
00:08:30,2.7700,1.3122,0.1724,0.0566,11.03,12.47,426.0,3.63,4.26
00:08:40,2.7570,1.2712,0.1822,0.0601,11.66,13.25,305.0,3.5,3.05
00:08:50,2.8830,1.8411,0.1969,0.0652,12.60,14.38,510.0,5.31,5.1
00:09:00,5.2310,0.0093,0.1971,0.0653,12.61,14.38,219.0,0.05,2.19
00:09:10,5.2300,0.0374,0.1976,0.0654,12.64,14.41,203.0,0.2,2.03
00:09:20,5.2310,0.0093,0.1977,0.0654,12.65,14.41,190.5,0.05,1.905
00:09:30,5.2310,0.0089,0.1979,0.0654,12.66,14.42,188.0,0.05,1.88
00:09:40,5.2310,0.0093,0.1980,0.0654,12.67,14.42,195.5,0.05,1.955
00:09:50,5.2300,0.0093,0.1981,0.0655,12.68,14.43,585.0,0.05,5.85
00:10:00,5.2310,0.0093,0.1983,0.0655,12.68,14.43,891.0,0.05,8.91
00:10:10,5.2290,0.1077,0.1998,0.0658,12.78,14.50,891.0,0.56,8.91
00:10:20,2.6170,0.8767,0.2062,0.0682,13.19,15.04,890.0,2.29,8.9
00:10:30,5.2310,0.0093,0.2063,0.0683,13.20,15.04,887.0,0.05,8.87
00:10:40,5.2310,0.0089,0.2065,0.0683,13.21,15.05,886.0,0.05,8.86
00:10:50,4.9600,0.8927,0.2188,0.0708,14.00,15.59,883.0,4.43,8.83
00:11:00,2.5210,0.7047,0.2237,0.0727,14.31,16.02,885.0,1.78,8.85
00:11:10,5.2310,0.0092,0.2238,0.0727,14.32,16.03,887.0,0.05,8.87
00:11:20,5.2310,0.0093,0.2240,0.0728,14.33,16.04,885.0,0.05,8.85
00:11:30,5.2310,0.0337,0.2245,0.0729,14.36,16.06,883.0,0.18,8.83
00:11:40,3.8400,1.3426,0.2388,0.0766,15.28,16.88,882.0,5.16,8.82
00:11:50,2.4240,0.6166,0.2429,0.0783,15.54,17.26,881.0,1.49,8.81
00:12:00,5.2310,0.0090,0.2431,0.0783,15.55,17.26,875.0,0.05,8.75
00:12:10,5.2310,0.0094,0.2432,0.0784,15.56,17.27,874.0,0.05,8.74
00:12:20,5.2310,0.0093,0.2433,0.0784,15.57,17.27,871.0,0.05,8.71
00:12:30,5.2300,0.1815,0.2460,0.0789,15.74,17.38,866.0,0.95,8.66
00:12:40,2.7100,0.9636,0.2532,0.0816,16.20,17.97,868.0,2.61,8.68
00:12:50,4.8040,0.1347,0.2550,0.0819,16.32,18.06,867.0,0.65,8.67
00:13:00,5.2310,0.0091,0.2552,0.0820,16.32,18.06,869.0,0.05,8.69
00:13:10,5.2310,0.0093,0.2553,0.0820,16.33,18.07,858.0,0.05,8.58
00:13:20,2.8240,1.4508,0.2667,0.0860,17.06,18.96,388.0,4.1,3.88
00:13:30,5.2310,0.0093,0.2668,0.0860,17.07,18.96,578.0,0.05,5.78
00:13:40,5.2320,0.0093,0.2669,0.0861,17.08,18.97,764.0,0.05,7.64
00:13:50,3.8790,1.2702,0.2806,0.0896,17.95,19.74,870.0,4.93,8.7
00:14:00,4.2200,0.2190,0.2832,0.0902,18.12,19.88,862.0,0.92,8.62
00:14:10,5.2320,0.0093,0.2833,0.0902,18.13,19.88,862.0,0.05,8.62
00:14:20,5.2320,0.0091,0.2835,0.0903,18.14,19.89,852.0,0.05,8.52
00:14:30,4.0800,1.1882,0.2969,0.0936,19.00,20.62,869.0,4.85,8.69
00:14:40,0.8810,0.0001,0.2969,0.0936,19.00,20.62,875.0,0.0,8.75
00:14:50,5.2310,0.0093,0.2971,0.0936,19.01,20.62,887.0,0.05,8.87
00:15:00,5.2320,0.0093,0.2972,0.0936,19.01,20.63,605.0,0.05,6.05
00:15:10,2.6070,0.5655,0.3013,0.0952,19.28,20.98,707.0,1.47,7.07
00:15:20,5.2310,0.0093,0.3014,0.0952,19.28,20.98,516.0,0.05,5.16
00:15:30,3.1000,1.1868,0.3117,0.0985,19.94,21.71,865.0,3.68,8.65
00:15:40,2.8060,1.4143,0.3227,0.1024,20.64,22.57,392.0,3.97,3.92
00:15:50,5.2310,0.0094,0.3228,0.1025,20.65,22.58,730.0,0.05,7.3
00:16:00,5.2320,0.0093,0.3229,0.1025,20.66,22.58,869.0,0.05,8.69
00:16:10,5.2320,0.0512,0.3237,0.1026,20.71,22.62,870.0,0.27,8.7
00:16:20,2.4290,0.5293,0.3273,0.1041,20.94,22.94,874.0,1.29,8.74
00:16:30,5.2320,0.0087,0.3274,0.1041,20.95,22.95,876.0,0.05,8.76
00:16:40,5.2290,0.1430,0.3295,0.1045,21.08,23.03,876.0,0.75,8.76
00:16:50,2.8890,0.4366,0.3330,0.1057,21.30,23.30,872.0,1.26,8.72
00:17:00,5.2320,0.0093,0.3331,0.1058,21.31,23.31,872.0,0.05,8.72
00:17:10,5.2320,0.0093,0.3332,0.1058,21.32,23.31,868.0,0.05,8.68
00:17:20,2.6160,0.8321,0.3393,0.1081,21.71,23.82,868.0,2.18,8.68
00:17:30,5.2320,0.0092,0.3394,0.1081,21.72,23.83,843.0,0.05,8.43
00:17:40,2.7310,1.0673,0.3475,0.1111,22.23,24.48,238.0,2.91,2.38
00:17:50,5.2320,0.0089,0.3476,0.1111,22.24,24.49,168.6,0.05,1.686
00:18:00,5.2330,0.0086,0.3478,0.1111,22.25,24.49,161.1,0.05,1.611
00:18:10,4.9710,0.0880,0.3490,0.1114,22.33,24.54,161.6,0.44,1.616
00:18:20,2.9710,0.1834,0.3505,0.1119,22.42,24.66,163.9,0.54,1.639
00:18:30,5.2320,0.0093,0.3506,0.1119,22.43,24.66,175.3,0.05,1.753
00:18:40,5.2320,0.0086,0.3508,0.1119,22.44,24.67,834.0,0.04,8.34
00:18:50,5.2320,0.0589,0.3516,0.1121,22.50,24.70,842.0,0.31,8.42
00:19:00,2.8210,1.4096,0.3627,0.1160,23.20,25.57,520.0,3.98,5.2
00:19:10,5.2330,0.0094,0.3628,0.1160,23.21,25.57,186.0,0.05,1.86
00:19:20,5.2330,0.0093,0.3629,0.1161,23.22,25.58,154.5,0.05,1.545
00:19:30,5.2330,0.0093,0.3631,0.1161,23.23,25.58,170.8,0.05,1.708
00:19:40,4.5040,0.0612,0.3638,0.1163,23.28,25.62,149.8,0.28,1.498
00:19:50,3.6530,0.1828,0.3657,0.1168,23.40,25.73,151.3,0.67,1.513
00:20:00,5.2330,0.0089,0.3658,0.1168,23.40,25.74,149.3,0.05,1.493
00:20:10,5.2320,0.0093,0.3660,0.1168,23.41,25.74,147.9,0.05,1.479
00:20:20,5.2330,0.0087,0.3661,0.1168,23.42,25.75,182.4,0.05,1.824
00:20:30,5.2320,0.0085,0.3662,0.1169,23.43,25.75,160.6,0.04,1.606
00:20:40,5.2330,0.0092,0.3663,0.1169,23.44,25.76,198.0,0.05,1.98
00:20:50,5.2310,0.0093,0.3665,0.1169,23.45,25.77,472.0,0.05,4.72
00:21:00,2.8770,1.7044,0.3801,0.1217,24.32,26.81,467.0,4.9,4.67
00:21:10,2.8100,1.4256,0.3912,0.1256,25.03,27.68,403.0,4.01,4.03
00:21:20,2.9010,1.8639,0.4062,0.1308,25.99,28.82,329.0,5.41,3.29
00:21:30,3.8460,1.2635,0.4197,0.1343,26.85,29.60,756.0,4.86,7.56
00:21:40,4.8880,0.0935,0.4210,0.1346,26.94,29.65,667.0,0.46,6.67
00:21:50,5.2320,0.0093,0.4211,0.1346,26.94,29.66,177.9,0.05,1.779
00:22:00,2.9040,1.9129,0.4366,0.1399,27.93,30.83,385.0,5.56,3.85
00:22:10,5.2320,0.0093,0.4367,0.1399,27.94,30.84,813.0,0.05,8.13
00:22:20,2.9800,1.1873,0.4465,0.1432,28.57,31.56,684.0,3.54,6.84
00:22:30,5.2320,0.0088,0.4467,0.1432,28.58,31.57,800.0,0.05,8.0
00:22:40,5.2320,0.0090,0.4468,0.1433,28.58,31.57,800.0,0.05,8.0
00:22:50,3.7830,1.2797,0.4602,0.1468,29.45,32.36,793.0,4.84,7.93
00:23:00,5.0410,0.0730,0.4613,0.1470,29.51,32.40,792.0,0.37,7.92
00:23:10,5.2320,0.0093,0.4614,0.1471,29.52,32.41,783.0,0.05,7.83
00:23:20,5.2320,0.0094,0.4615,0.1471,29.53,32.41,792.0,0.05,7.92
00:23:30,2.6110,0.8426,0.4677,0.1494,29.92,32.93,793.0,2.2,7.93
00:23:40,5.2320,0.0094,0.4678,0.1494,29.93,32.94,799.0,0.05,7.99
00:23:50,5.2320,0.0093,0.4679,0.1495,29.94,32.94,798.0,0.05,7.98
00:24:00,3.0640,1.1396,0.4776,0.1526,30.56,33.64,799.0,3.49,7.99
00:24:10,3.1000,0.3796,0.4809,0.1537,30.77,33.87,799.0,1.18,7.99
00:24:20,5.2320,0.0090,0.4810,0.1537,30.77,33.88,801.0,0.05,8.01
00:24:30,5.2320,0.0092,0.4812,0.1537,30.78,33.88,803.0,0.05,8.03
00:24:40,3.3370,1.2963,0.4932,0.1573,31.55,34.68,803.0,4.33,8.03
00:24:50,5.2320,0.0086,0.4933,0.1574,31.56,34.68,801.0,0.04,8.01
00:25:00,5.2330,0.0090,0.4934,0.1574,31.57,34.69,802.0,0.05,8.02
00:25:10,3.5580,1.3100,0.5064,0.1610,32.40,35.49,803.0,4.66,8.03
00:25:20,5.2320,0.0085,0.5065,0.1611,32.40,35.49,802.0,0.04,8.02
00:25:30,5.2320,0.0089,0.5066,0.1611,32.41,35.50,802.0,0.05,8.02
00:25:40,5.1750,0.2072,0.5096,0.1617,32.60,35.63,802.0,1.07,8.02
00:25:50,5.2320,0.0087,0.5097,0.1617,32.61,35.63,801.0,0.05,8.01
00:26:00,5.2320,0.0092,0.5099,0.1617,32.62,35.64,800.0,0.05,8.0
00:26:10,5.0960,0.4680,0.5165,0.1630,33.04,35.92,800.0,2.38,8.0
00:26:20,3.6210,0.3074,0.5196,0.1639,33.24,36.11,801.0,1.11,8.01
00:26:30,5.2320,0.0093,0.5197,0.1639,33.25,36.12,801.0,0.05,8.01
