Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W),Sunlight Level
00:00:00,2.1700,0.8005,0.0048,0.0022,0.08,0.11,445.0,1.74,4.45
00:00:10,2.9730,0.6051,0.0098,0.0039,0.16,0.20,228.0,1.8,2.28
00:00:20,2.7730,1.3791,0.0204,0.0077,0.33,0.40,307.0,3.82,3.07
00:00:30,2.6970,0.9765,0.0278,0.0104,0.45,0.54,593.0,2.63,5.93
00:00:40,5.3410,0.0092,0.0279,0.0105,0.45,0.54,233.0,0.05,2.33
00:00:50,3.0120,2.3861,0.0479,0.0171,0.78,0.88,752.0,7.19,7.52
00:01:00,2.9440,2.0436,0.0646,0.0228,1.05,1.17,753.0,6.02,7.53
00:01:10,2.4630,0.6723,0.0692,0.0246,1.13,1.27,490.0,1.66,4.9
00:01:20,2.3490,0.4706,0.0722,0.0260,1.18,1.33,172.9,1.11,1.729
00:01:30,2.3530,0.4755,0.0754,0.0273,1.23,1.40,174.5,1.12,1.745
00:01:40,2.3580,0.4855,0.0785,0.0286,1.28,1.47,177.3,1.14,1.773
00:01:50,2.3660,0.4814,0.0817,0.0300,1.33,1.54,181.7,1.14,1.817
00:02:00,2.3690,0.5099,0.0851,0.0314,1.39,1.61,185.1,1.21,1.851
00:02:10,2.3750,0.5124,0.0884,0.0328,1.44,1.69,195.6,1.22,1.956
00:02:20,2.3770,0.5257,0.0919,0.0343,1.50,1.76,191.1,1.25,1.911
00:02:30,2.4040,0.5829,0.0958,0.0359,1.56,1.84,200.0,1.4,2.0
00:02:40,2.6460,0.8666,0.1022,0.0383,1.67,1.97,301.0,2.29,3.01
00:02:50,2.7970,1.5538,0.1142,0.0426,1.86,2.19,486.0,4.35,4.86
00:03:00,2.9410,2.0362,0.1309,0.0483,2.13,2.48,594.0,5.99,5.94
00:03:10,2.9980,2.3243,0.1502,0.0547,2.45,2.81,707.0,6.97,7.07
00:03:20,2.9790,2.3280,0.1695,0.0612,2.76,3.14,762.0,6.94,7.62
00:03:30,2.9960,2.3980,0.1894,0.0678,3.09,3.49,751.0,7.18,7.51
00:03:40,3.0230,2.4432,0.2100,0.0746,3.42,3.84,775.0,7.39,7.75
00:03:50,3.0740,2.4558,0.2309,0.0815,3.77,4.19,785.0,7.55,7.85
00:04:00,3.0400,2.4580,0.2517,0.0883,4.10,4.54,784.0,7.47,7.84
00:04:10,3.0370,2.4550,0.2724,0.0951,4.44,4.89,784.0,7.46,7.84
00:04:20,3.0480,2.4629,0.2933,0.1019,4.78,5.24,784.0,7.51,7.84
00:04:30,3.0670,2.4723,0.3143,0.1088,5.13,5.59,787.0,7.58,7.87
