Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance(W/m2),Power(W)
00:00:00,4.9310,2.0109,0.0055,0.0011,0.04,0.04,0.0,9.92
00:00:10,4.9280,2.0561,0.0332,0.0067,0.25,0.23,0.0,10.13
00:00:20,4.8500,2.4076,0.0647,0.0132,0.49,0.45,0.0,11.68
00:00:30,4.8510,2.3971,0.0970,0.0199,0.74,0.68,0.0,11.63
00:00:40,4.8520,2.3969,0.1276,0.0265,0.97,0.91,0.0,11.63
00:00:50,4.8520,2.3968,0.1469,0.0305,1.12,1.05,0.0,11.63
00:01:00,4.8510,2.3966,0.1792,0.0371,1.36,1.28,0.0,11.63
00:01:10,4.8500,2.3963,0.2115,0.0438,1.61,1.51,0.0,11.62
00:01:20,4.8500,2.3957,0.2438,0.0504,1.85,1.74,0.0,11.62
00:01:30,4.8490,2.3956,0.2761,0.0571,2.10,1.96,0.0,11.62
00:01:40,4.8490,2.3951,0.3083,0.0638,2.34,2.19,0.0,11.61
00:01:50,4.8490,2.3955,0.3406,0.0704,2.58,2.42,0.0,11.62
00:02:00,4.8480,2.3956,0.3729,0.0771,2.83,2.65,0.0,11.61
00:02:10,4.8470,2.3959,0.4051,0.0837,3.07,2.88,0.0,11.61
00:02:20,4.8460,2.3957,0.4374,0.0904,3.32,3.11,0.0,11.61
00:02:30,4.8460,2.3952,0.4696,0.0970,3.56,3.34,0.0,11.61
00:02:40,4.8450,2.3949,0.5019,0.1037,3.81,3.57,0.0,11.6
00:02:50,4.8450,2.3950,0.5341,0.1103,4.05,3.80,0.0,11.6
00:03:00,4.8360,2.3945,0.5663,0.1170,4.30,4.02,0.0,11.58
00:03:10,4.8020,2.3940,0.5983,0.1236,4.54,4.25,0.0,11.5
00:03:20,4.7980,2.3940,0.6302,0.1303,4.78,4.48,0.0,11.49
00:03:30,4.7510,2.3939,0.6619,0.1369,5.02,4.71,0.0,11.37
00:03:40,4.7480,2.3941,0.6935,0.1436,5.26,4.94,0.0,11.37
00:03:50,4.7120,2.3941,0.7249,0.1502,5.50,5.17,0.0,11.28
00:04:00,4.7010,2.3932,0.7562,0.1569,5.74,5.40,0.0,11.25
00:04:10,4.6970,2.3937,0.7875,0.1635,5.98,5.63,0.0,11.24
00:04:20,4.6990,2.3932,0.8187,0.1702,6.21,5.85,0.0,11.25
00:04:30,4.7080,2.3939,0.8500,0.1768,6.45,6.08,0.0,11.27
00:04:40,4.6970,2.3936,0.8812,0.1835,6.69,6.31,0.0,11.24
00:04:50,4.6700,2.3932,0.9124,0.1901,6.92,6.54,0.0,11.18
00:05:00,4.6590,2.3935,0.9434,0.1968,7.16,6.77,0.0,11.15
00:05:10,4.6660,2.3928,0.9743,0.2034,7.39,7.00,0.0,11.16
00:05:20,4.6610,2.3937,1.0053,0.2101,7.63,7.23,0.0,11.16
00:05:30,4.6660,2.3939,1.0364,0.2167,7.87,7.46,0.0,11.17
00:05:40,4.6570,2.3937,1.0674,0.2234,8.10,7.68,0.0,11.15
00:05:50,4.6570,2.3946,1.0983,0.2300,8.34,7.91,0.0,11.15
00:06:00,4.6570,2.3934,1.1293,0.2367,8.57,8.14,0.0,11.15
00:06:10,4.6540,2.3929,1.1602,0.2433,8.81,8.37,0.0,11.14
00:06:20,4.6500,2.3933,1.1912,0.2500,9.04,8.60,0.0,11.13
00:06:30,4.6520,2.3931,1.2221,0.2566,9.27,8.83,0.0,11.13
00:06:40,4.6530,2.3933,1.2530,0.2633,9.51,9.06,0.0,11.14
00:06:50,4.6500,2.3930,1.2839,0.2699,9.74,9.29,0.0,11.13
00:07:00,4.6330,2.3928,1.3148,0.2766,9.98,9.51,0.0,11.09
00:07:10,4.6210,2.3935,1.3455,0.2832,10.21,9.74,0.0,11.06
00:07:20,4.6060,2.3924,1.3762,0.2898,10.44,9.97,0.0,11.02
00:07:30,4.5810,2.3929,1.4067,0.2965,10.68,10.20,0.0,10.96
00:07:40,4.5780,2.3934,1.4371,0.3031,10.91,10.43,0.0,10.96
00:07:50,4.5640,2.3933,1.4675,0.3098,11.14,10.66,0.0,10.92
00:08:00,4.5630,2.3937,1.4978,0.3164,11.37,10.89,0.0,10.92
00:08:10,4.5580,2.3938,1.5282,0.3231,11.60,11.11,0.0,10.91
00:08:20,4.5570,2.3939,1.5584,0.3297,11.83,11.34,0.0,10.91
00:08:30,4.5510,2.3935,1.5887,0.3364,12.06,11.57,0.0,10.89
00:08:40,4.5540,2.3932,1.6190,0.3430,12.29,11.80,0.0,10.9
00:08:50,4.5510,2.3930,1.6492,0.3497,12.52,12.03,0.0,10.89
00:09:00,4.5470,2.3928,1.6795,0.3563,12.75,12.26,0.0,10.88
00:09:10,4.5560,2.3932,1.7097,0.3630,12.98,12.49,0.0,10.9
00:09:20,4.5700,2.3937,1.7401,0.3696,13.21,12.72,0.0,10.94
00:09:30,4.5910,2.3939,1.7706,0.3763,13.44,12.94,0.0,10.99
00:09:40,4.6000,2.3933,1.8011,0.3829,13.67,13.17,0.0,11.01
00:09:50,4.6110,2.3934,1.8318,0.3896,13.90,13.40,0.0,11.04
00:10:00,4.6220,2.3936,1.8625,0.3962,14.13,13.63,0.0,11.06
00:10:10,4.6280,2.3933,1.8932,0.4029,14.37,13.86,0.0,11.08
00:10:20,4.6320,2.3937,1.9240,0.4095,14.60,14.09,0.0,11.09
00:10:30,4.6250,2.3935,1.9548,0.4162,14.83,14.32,0.0,11.07
00:10:40,4.6240,2.3935,1.9856,0.4228,15.07,14.55,0.0,11.07
00:10:50,4.6190,2.3948,2.0163,0.4295,15.30,14.77,0.0,11.06
00:11:00,4.6140,2.3939,2.0470,0.4361,15.53,15.00,0.0,11.05
00:11:10,4.6170,2.3928,2.0777,0.4428,15.77,15.23,0.0,11.05
00:11:20,4.6250,2.3929,2.1084,0.4494,16.00,15.46,0.0,11.07
00:11:30,4.6200,2.3934,2.1391,0.4561,16.23,15.69,0.0,11.06
00:11:40,4.6220,2.3925,2.1698,0.4627,16.47,15.92,0.0,11.06
00:11:50,4.6210,2.3928,2.2006,0.4694,16.70,16.15,0.0,11.06
00:12:00,4.6160,2.3926,2.2312,0.4760,16.93,16.38,0.0,11.04
00:12:10,4.6240,2.3931,2.2620,0.4826,17.17,16.60,0.0,11.07
00:12:20,4.6210,2.3932,2.2927,0.4893,17.40,16.83,0.0,11.06
00:12:30,4.6170,2.3930,2.3234,0.4959,17.63,17.06,0.0,11.05
00:12:40,4.6160,2.3929,2.3541,0.5026,17.87,17.29,0.0,11.05
00:12:50,4.6090,2.3941,2.3848,0.5092,18.10,17.52,0.0,11.03
00:13:00,4.6040,2.3931,2.4154,0.5159,18.33,17.75,0.0,11.02
00:13:10,4.6090,2.3931,2.4460,0.5225,18.56,17.98,0.0,11.03
00:13:20,4.6100,2.3933,2.4766,0.5292,18.80,18.20,0.0,11.03
00:13:30,4.6070,2.3933,2.5073,0.5358,19.03,18.43,0.0,11.03
00:13:40,4.6110,2.3935,2.5379,0.5425,19.26,18.66,0.0,11.04
00:13:50,4.6200,2.3935,2.5686,0.5491,19.49,18.89,0.0,11.06
00:14:00,4.6180,2.3936,2.5993,0.5558,19.73,19.12,0.0,11.05
00:14:10,4.6180,2.3930,2.6300,0.5624,19.96,19.35,0.0,11.05
00:14:20,4.6120,2.3933,2.6607,0.5691,20.19,19.58,0.0,11.04
00:14:30,4.6040,2.3929,2.6913,0.5757,20.42,19.81,0.0,11.02
00:14:40,4.6010,2.3938,2.7219,0.5824,20.66,20.03,0.0,11.01
00:14:50,4.5950,2.3935,2.7525,0.5890,20.89,20.26,0.0,11.0
00:15:00,4.6060,2.3939,2.7831,0.5957,21.12,20.49,0.0,11.03
00:15:10,4.6120,2.3924,2.8137,0.6023,21.35,20.72,0.0,11.03
00:15:20,4.6100,2.3927,2.8444,0.6090,21.59,20.95,0.0,11.03
00:15:30,4.6000,2.3931,2.8750,0.6156,21.82,21.18,0.0,11.01
00:15:40,4.5740,2.3935,2.9055,0.6223,22.05,21.41,0.0,10.95
00:15:50,4.5520,2.3928,2.9358,0.6289,22.28,21.64,0.0,10.89
00:16:00,4.5610,2.3935,2.9661,0.6356,22.51,21.86,0.0,10.92
00:16:10,4.5670,2.3931,2.9965,0.6422,22.74,22.09,0.0,10.93
00:16:20,4.5750,2.3931,3.0269,0.6489,22.97,22.32,0.0,10.95
00:16:30,4.5860,2.3922,3.0513,0.6542,23.16,22.50,0.0,10.97
00:16:40,4.5430,2.3928,3.0816,0.6608,23.39,22.73,0.0,10.87
00:16:50,4.5400,2.3931,3.1118,0.6675,23.62,22.96,0.0,10.86
00:17:00,4.5550,2.3923,3.1388,0.6733,23.82,23.16,0.0,10.9
00:17:10,4.5610,2.3936,3.1691,0.6800,24.05,23.39,0.0,10.92
00:17:20,4.5700,2.3936,3.1994,0.6866,24.28,23.62,0.0,10.94
00:17:30,4.5940,2.3938,3.2299,0.6933,24.51,23.85,0.0,11.0
00:17:40,4.6110,2.3939,3.2605,0.6999,24.74,24.08,0.0,11.04
00:17:50,4.6300,2.3946,3.2913,0.7066,24.98,24.31,0.0,11.09
00:18:00,4.6520,2.3933,3.3221,0.7132,25.21,24.54,0.0,11.13
00:18:10,5.0190,1.4591,3.3448,0.7180,25.38,24.70,0.0,7.32
00:18:20,4.6830,2.3934,3.3759,0.7247,25.62,24.93,0.0,11.21
00:18:30,4.6800,2.3940,3.4071,0.7313,25.86,25.16,0.0,11.2
00:18:40,4.6820,2.3933,3.4382,0.7380,26.09,25.39,0.0,11.21
00:18:50,4.6820,2.3931,3.4693,0.7446,26.33,25.62,0.0,11.2
00:19:00,4.7060,2.3939,3.5005,0.7513,26.57,25.84,0.0,11.27
00:19:10,4.7160,2.3933,3.5319,0.7579,26.80,26.07,0.0,11.29
